Kód kraja,Názov kraja,Kód územného obvodu,Názov územného obvodu,Kód okresu,Názov okresu,Kód obce,Názov obce,Poradie na hlasovacom lístku,Meno,Priezvisko,Počet platných hlasov,Podiel platných hlasov v %,Poznámka
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,1,Andrej,Danko,4,0.01,X
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,2,Patrik,Dubovský,217,0.85,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,3,Krisztián,Forró,104,0.4,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,4,Štefan,Harabin,1382,5.43,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,5,Ivan,Korčok,18367,72.17,P
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,6,Marian,Kotleba,54,0.21,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,7,Ján,Kubiš,692,2.71,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,8,Igor,Matovič,308,1.21,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,9,Milan,Náhlik,12,0.04,
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,10,Peter,Pellegrini,4302,16.9,P
1,Bratislavský kraj,101,Bratislava,101,Bratislava I,528595,Bratislava - Staré Mesto,11,Róbert,Švec,6,0.02,X
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,1,Andrej,Danko,2,0.01,X
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,2,Patrik,Dubovský,56,0.51,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,3,Krisztián,Forró,199,1.84,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,4,Štefan,Harabin,991,9.19,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,5,Ivan,Korčok,6184,57.39,P
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,6,Marian,Kotleba,40,0.37,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,7,Ján,Kubiš,265,2.45,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,8,Igor,Matovič,189,1.75,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,9,Milan,Náhlik,12,0.11,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,10,Peter,Pellegrini,2828,26.24,P
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529311,Bratislava - Podunajské Biskupice,11,Róbert,Švec,8,0.07,X
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,1,Andrej,Danko,5,0.01,X
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,2,Patrik,Dubovský,275,0.64,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,3,Krisztián,Forró,155,0.36,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,4,Štefan,Harabin,3049,7.1,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,5,Ivan,Korčok,29503,68.71,P
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,6,Marian,Kotleba,94,0.21,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,7,Ján,Kubiš,1101,2.56,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,8,Igor,Matovič,513,1.19,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,9,Milan,Náhlik,27,0.06,
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,10,Peter,Pellegrini,8207,19.11,P
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529320,Bratislava - Ružinov,11,Róbert,Švec,7,0.01,X
1,Bratislavský kraj,101,Bratislava,102,Bratislava II,529338,Bratislava - Vrakuňa,1,Andrej,Danko,1,0.01,X
