Kód obce,Názov obce,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %
500739,Močenok,3515,1905,54.19
500747,Sľažany,1386,858,61.9
500755,Slepčany,665,403,60.6
500780,Šurianky,495,341,68.88
500798,Tajná,231,143,61.9
500810,Tesárske Mlyňany,1382,786,56.87
500828,Topoľčianky,2206,1336,60.56
500836,Velčice,694,417,60.08
500844,Veľká Dolina,591,344,58.2
500887,Veľké Zálužie,3488,1924,55.16
500895,Veľký Cetín,1347,649,48.18
500909,Vieska nad Žitavou,359,234,65.18
500917,Vinodol,1568,772,49.23
500925,Volkovce,840,469,55.83
500933,Vráble,6883,3862,56.1
500941,Výčapy - Opatovce,1748,1090,62.35
500950,Zbehy,1846,1093,59.2
500968,Zlaté Moravce,9724,5217,53.65
500976,Zlatno,182,121,66.48
500984,Žikava,431,251,58.23
500992,Žirany,1118,563,50.35
501018,Žitavce,358,195,54.46
501026,Komárno,26643,9572,35.92
501034,Bajč,999,389,38.93
501042,Bodza,306,82,26.79
501069,Brestovec,411,142,34.54
501077,Búč,954,368,38.57
501085,Čalovec,926,360,38.87
501093,Číčov,1027,308,29.99
501107,Dedina Mládeže,345,122,35.36
501115,Svätý Peter,2232,857,38.39
501123,Dulovce,1291,488,37.8
501140,Hurbanovo,5896,2373,40.24
501158,Chotín,1166,410,35.16
501166,Imeľ,1706,637,37.33
501174,Iža,1416,482,34.03
501182,Kameničná,1551,444,28.62
501191,Klížska Nemá,357,124,34.73
501204,Kolárovo,8572,2491,29.05
501212,Kravany nad Dunajom,589,231,39.21
501221,Lipové,128,81,63.28
501239,Marcelová,3097,857,27.67
501247,Martovce,590,211,35.76
501255,Moča,949,300,31.61
501263,Modrany,1061,208,19.6
501271,Mudroňovo,91,40,43.95
501280,Nesvady,3978,1272,31.97
501301,Okoličná na Ostrove,1190,322,27.05
501310,Patince,487,216,44.35
501328,Pribeta,2265,745,32.89
501336,Radvaň nad Dunajom,595,235,39.49
501344,Sokolce,1000,305,30.5
501352,Šrobárová,416,232,55.76
501361,Tôň,633,236,37.28
501379,Trávnik,565,146,25.84
501387,Veľké Kosihy,797,292,36.63
501395,Bátorove Kosihy,2719,737,27.1
501409,Vrbová nad Váhom,457,144,31.5
501417,Zemianska Olča,1899,427,22.48
501425,Zlatná na Ostrove,2032,493,24.26
501433,Dunajská Streda,19102,6245,32.69
501441,Báč,464,248,53.44
501450,Baka,967,367,37.95
501468,Baloň,633,207,32.7
501484,Blahová,373,179,47.98
501492,Blatná na Ostrove,812,356,43.84
501506,Boheľov,299,115,38.46
501514,Čakany,497,239,48.08
501522,Veľký Meder,6881,1714,24.9
501531,Čiližská Radvaň,966,209,21.63
501549,Dobrohošť,452,242,53.53
501557,Dolný Bar,807,259,32.09
501573,Gabčíkovo,4296,1363,31.72
501581,Holice,1754,710,40.47
501590,Horná Potôň,1843,738,40.04
501603,Horný Bar,1098,449,40.89
501611,Dolný Štál,1622,401,24.72
501620,Hubice,528,276,52.27
501638,Hviezdoslavov,2681,1661,61.95
501654,Jahodná,1408,430,30.53
501662,Janíky,766,448,58.48
501671,Jurová,413,144,34.86
501689,Kľúčovec,292,111,38.01
501697,Kostolné Kračany,1209,405,33.49
501701,Kráľovičove Kračany,929,299,32.18
501719,Kútniky,1211,428,35.34
501727,Kvetoslavov,1572,1003,63.8
501735,Lehnice,2566,1079,42.04
501743,Lúč na Ostrove,631,221,35.02
501760,Medveďov,469,129,27.5
501778,Mierovo,376,190,50.53
501786,Michal na Ostrove,914,354,38.73
501808,Nový Život,1840,717,38.96
501816,Ohrady,1138,343,30.14
501824,Okoč,3122,834,26.71
501832,Oľdza,484,273,56.4
501859,Orechová Potôň,1421,474,33.35
501867,Padáň,742,189,25.47
501875,Sap,434,182,41.93
501883,Pataš,635,192,30.23
501891,Rohovce,878,345,39.29
501905,Šamorín,10895,5177,47.51
501913,Štvrtok na Ostrove,1451,563,38.8
501921,Topoľníky,2595,790,30.44
501930,Ňárad,536,217,40.48
501956,Trnávka,441,192,43.53
501964,Trstená na Ostrove,526,207,39.35
501972,Veľká Paka,819,450,54.94
501981,Veľké Blahovo,1276,361,28.29
501999,Vojka nad Dunajom,436,233,53.44
502006,Vrakúň,2379,735,30.89
502014,Vydrany,1568,473,30.16
502022,Zlaté Klasy,2721,550,20.21
502031,Levice,25738,13174,51.18
502049,Bajka,241,68,28.21
502057,Bátovce,980,515,52.55
502065,Beša,512,213,41.6
502073,Bielovce,179,78,43.57
502090,Bory,262,137,52.29
502103,Brhlovce,245,157,64.08
502111,Čajkov,769,492,63.97
502120,Čaka,600,278,46.33
502154,Demandice,729,318,43.62
502162,Devičany,333,209,62.76
502171,Dolná Seč,444,209,47.07
502189,Dolné Semerovce,437,110,25.17
502197,Dolný Pial,737,363,49.25
502201,Domadice,200,118,59
502219,Drženice,327,199,60.85
502227,Farná,1119,421,37.62
502243,Hokovce,397,191,48.11
502251,Hontianska Vrbica,476,219,46
502260,Horná Seč,498,321,64.45
502278,Horné Semerovce,490,174,35.51
502286,Horné Turovce,464,184,39.65
502294,Horný Pial,237,94,39.66
502324,Hronovce,1174,440,37.47
502332,Hronské Kľačany,1138,698,61.33
502341,Hronské Kosihy,632,320,50.63
502359,Iňa,183,114,62.29
502367,Ipeľské Úľany,224,112,50
502375,Ipeľský Sokolec,659,218,33.08
502383,Jabloňovce,190,120,63.15
502391,Jur nad Hronom,804,403,50.12
502413,Kalná nad Hronom,1658,801,48.31
502421,Kozárovce,1645,882,53.61
502430,Krškany,679,370,54.49
502448,Kubáňovo,218,78,35.77
502456,Kukučínov,447,148,33.1
502464,Kuraľany,409,226,55.25
502472,Keť,475,222,46.73
502481,Lok,836,319,38.15
502499,Lontov,500,137,27.4
502502,Lula,145,80,55.17
502511,Málaš,402,138,34.32
502537,Malé Ludince,138,55,39.85
502570,Mýtne Ludany,807,326,40.39
502588,Nová Dedina,1197,734,61.31
502596,Nový Tekov,748,439,58.68
502600,Nýrovce,435,163,37.47
502618,Ondrejovce,350,173,49.42
502626,Pastovce,433,119,27.48
502634,Pečenice,112,80,71.42
502642,Plášťovce,1250,478,38.24
502651,Plavé Vozokany,575,239,41.56
502669,Podlužany,633,388,61.29
502677,Pohronský Ruskov,987,359,36.37
502693,Pukanec,1556,856,55.01
502707,Rybník,1153,715,62.01
502715,Santovka,603,333,55.22
502723,Sazdice,349,122,34.95
502731,Sikenica,499,119,23.84
502740,Slatina,240,72,30
502758,Starý Hrádok,167,75,44.91
502766,Starý Tekov,1264,799,63.21
502782,Šahy,5759,2048,35.56
502791,Šalov,263,44,16.73
502804,Šarovce,1276,306,23.98
502812,Tehla,377,177,46.94
502821,Tekovské Lužany,2280,863,37.85
502847,Tekovský Hrádok,313,118,37.69
502863,Tlmače,2990,1607,53.74
502871,Tupá,476,229,48.1
502880,Turá,187,72,38.5
502898,Uhliská,173,84,48.55
502910,Veľké Ludince,1231,415,33.71
502928,Veľké Turovce,639,277,43.34
502936,Veľký Ďur,1065,567,53.23
502944,Vyškovce nad Ipľom,541,181,33.45
502952,Vyšné nad Hronom,143,68,47.55
502961,Zalaba,110,62,56.36
502979,Zbrojníky,411,180,43.79
502987,Želiezovce,5619,2317,41.23
502995,Žemberovce,1008,521,51.68
503002,Žemliare,129,74,57.36
503011,Nové Zámky,30419,14690,48.29
503029,Andovce,1401,660,47.1
503037,Bajtava,304,92,30.26
503045,Bánov,2902,1590,54.78
503053,Bardoňovo,587,266,45.31
503061,Belá,286,115,40.2
503070,Bešeňov,1325,454,34.26
503088,Bíňa,1172,366,31.22
503096,Branovo,480,285,59.37
503100,Bruty,482,177,36.72
503118,Čechy,240,126,52.5
503126,Černík,843,539,63.93
503134,Dedinka,552,305,55.25
503151,Dolný Ohaj,1251,735,58.75
503169,Dubník,1240,415,33.46
503177,Dvory nad Žitavou,4033,1470,36.44
503185,Gbelce,1739,674,38.75
503193,Hul,1009,568,56.29
503207,Chľaba,590,195,33.05
503215,Jasová,941,530,56.32
503223,Jatov,618,364,58.89
503231,Kamenica nad Hronom,1031,283,27.44
503240,Kamenín,1219,309,25.34
503258,Kamenný Most,864,310,35.87
503266,Kmeťovo,700,447,63.85
503274,Kolta,1077,589,54.68
503282,Komjatice,3321,1763,53.08
503291,Komoča,790,300,37.97
503312,Leľa,294,142,48.29
503321,Lipová,1293,698,53.98
503339,Ľubá,339,137,40.41
503347,Malá nad Hronom,314,121,38.53
503355,Malé Kosihy,286,78,27.27
503363,Maňa,1632,845,51.77
503371,Michal nad Žitavou,583,396,67.92
503380,Veľký Kýr,2458,1118,45.48
503398,Mojzesovo,1072,534,49.81
503401,Mužla,1502,462,30.75
503436,Nová Vieska,562,264,46.97
503452,Palárikovo,3428,1619,47.22
503461,Bodíky,306,169,55.22
503479,Podhájska,908,529,58.25
503487,Pozba,390,216,55.38
503495,Radava,667,405,60.71
503509,Rastislavice,798,461,57.76
503517,Rúbaň,705,243,34.46
503525,Salka,778,216,27.76
503533,Semerovo,1052,502,47.71
503541,Sikenička,363,123,33.88
503550,Strekov,1593,534,33.52
503568,Svodín,1997,562,28.14
503576,Šarkan,288,84,29.16
503584,Štúrovo,8038,3076,38.26
503592,Šurany,7721,4191,54.28
503606,Trávnica,886,515,58.12
503614,Tvrdošovce,4154,1538,37.02
503631,Veľké Lovce,1500,704,46.93
503649,Zemné,1729,552,31.92
503665,Galanta,12598,6330,50.24
503673,Abrahám,923,565,61.21
503681,Boldog,441,276,62.58
503690,Čierna Voda,1148,456,39.72
503703,Čierny Brod,1366,449,32.86
503711,Diakovce,1954,882,45.13
503720,Dlhá nad Váhom,769,424,55.13
503746,Dolné Saliby,1704,705,41.37
503754,Dolný Chotár,271,95,35.05
503762,Gáň,697,420,60.25
503771,Horné Saliby,2636,1202,45.59
503789,Hoste,388,236,60.82
503797,Hrubá Borša,1253,790,63.04
503801,Hrubý Šúr,840,466,55.47
503819,Hurbanova Ves,517,362,70.01
503827,Jánovce,410,252,61.46
503835,Jelka,3273,1273,38.89
503843,Kajal,1277,561,43.93
503851,Kostolná pri Dunaji,633,376,59.39
503860,Košúty,1580,736,46.58
503878,Kráľov Brod,912,343,37.6
503886,Kráľová nad Váhom,1503,771,51.29
503894,Kráľová pri Senci,1719,985,57.3
503924,Mostová,1313,532,40.51
503932,Neded,2575,815,31.65
503959,Pata,2601,1431,55.01
503967,Pusté Sady,518,270,52.12
503975,Pusté Úľany,1512,858,56.74
503983,Reca,1349,744,55.15
503991,Selice,2276,493,21.66
504009,Sereď,12710,6737,53
504017,Sládkovičovo,4385,1837,41.89
504025,Šaľa,16786,8732,52.01
504033,Šalgočka,360,180,50
504041,Šintava,1421,844,59.39
504050,Šoporňa,3391,1667,49.15
504068,Tešedíkovo,3030,1093,36.07
504076,Tomášikovo,1375,461,33.52
504084,Topoľnica,788,435,55.2
504092,Trnovec nad Váhom,2220,994,44.77
504106,Trstice,3206,1085,33.84
504114,Váhovce,1734,735,42.38
504122,Veľká Mača,2085,979,46.95
504131,Veľké Úľany,3962,1899,47.93
504149,Veľký Grob,1150,656,57.04
504157,Vinohrady nad Váhom,1368,720,52.63
504165,Vlčany,2646,949,35.86
504173,Vozokany,925,411,44.43
504181,Zemianske Sady,661,369,55.82
504190,Žihárec,1502,537,35.75
504203,Senica,15965,8136,50.96
504211,Bílkove Humence,200,126,63
504220,Borský Svätý Jur,1374,710,51.67
504238,Borský Mikuláš,3281,1663,50.68
504254,Brestovec,820,496,60.48
504262,Brezová pod Bradlom,3970,2150,54.15
504271,Brodské,1868,979,52.4
504289,Bukovec,349,216,61.89
504297,Cerová,966,597,61.8
504319,Čáry,1029,460,44.7
504327,Častkov,443,296,66.81
504335,Dojč,1110,598,53.87
504343,Dubovce,508,310,61.02
504351,Gbely,4087,1996,48.83
504360,Hlboké,860,467,54.3
504378,Holíč,9010,4504,49.98
504386,Hradište pod Vrátnom,557,310,55.65
504394,Chropov,303,182,60.06
504408,Chvojnica,263,151,57.41
504416,Jablonica,1814,956,52.7
504424,Jablonka,418,246,58.85
504432,Kátov,493,286,58.01
504459,Kopčany,2022,970,47.97
504467,Košariská,353,234,66.28
504475,Koválov,578,329,56.92
504483,Koválovec,127,72,56.69
504491,Kuklov,610,211,34.59
504513,Kúty,4331,2687,62.04
504521,Lakšárska Nová Ves,949,470,49.52
504530,Letničie,402,251,62.43
504548,Lopašov,254,186,73.22
504556,Malé Leváre,1456,713,48.96
504564,Mokrý Háj,573,330,57.59
504572,Moravský Svätý Ján,1831,1014,55.37
504581,Myjava,8916,4938,55.38
504599,Oreské,303,201,66.33
504602,Osuské,500,206,41.2
504611,Petrova Ves,849,488,57.47
504629,Plavecké Podhradie,619,388,62.68
504637,Plavecký Mikuláš,636,419,65.88
504645,Plavecký Peter,510,296,58.03
504653,Podbranč,529,336,63.51
504661,Polianka,327,182,55.65
504670,Popudinské Močidľany,777,395,50.83
504688,Poriadie,610,375,61.47
504696,Priepasné,291,179,61.51
504700,Prietrž,613,369,60.19
504718,Prietržka,454,289,63.65
504726,Prievaly,785,478,60.89
504734,Radimov,423,253,59.81
504742,Radošovce,1425,851,59.71
504769,Rohožník,2887,1421,49.22
504777,Rovensko,370,253,68.37
504793,Rudník,700,398,56.85
504815,Skalica,12684,6659,52.49
504823,Smolinské,761,438,57.55
504831,Smrdáky,512,345,67.38
504840,Sobotište,1252,760,60.7
504858,Sološnica,1378,775,56.24
504866,Stará Myjava,658,452,68.69
504874,Studienka,1483,822,55.42
504882,Šajdíkove Humence,935,496,53.04
504891,Šaštín - Stráže,4047,1800,44.47
504904,Štefanov,1285,626,48.71
504912,Trnovec,243,148,60.9
504939,Unín,987,578,58.56
504947,Veľké Leváre,3064,1476,48.17
504963,Vrádište,673,381,56.61
504971,Vrbovce,1203,693,57.6
504980,Závod,2356,1192,50.59
504998,Topoľčany,20368,11041,54.2
505021,Lipovník,269,167,62.08
505048,Ludanice,1433,769,53.66
505056,Ľutov,152,109,71.71
505064,Lužany,190,116,61.05
505072,Malá Hradná,318,208,65.4
505102,Malé Hoste,345,199,57.68
505129,Malé Kršteňany,445,251,56.4
505137,Malé Ripňany,455,282,61.97
505153,Miezgovce,235,141,60
505170,Nadlice,496,308,62.09
505196,Nedanovce,507,315,62.13
505200,Nedašovce,353,217,61.47
505226,Nemečky,287,167,58.18
505234,Nitrianska Blatnica,1036,574,55.4
505242,Nitrianska Streda,618,399,64.56
505251,Norovce,281,156,55.51
505277,Omastiná,41,27,65.85
505285,Oponice,697,384,55.09
505307,Ostratice,640,338,52.81
505315,Partizánske,17377,9248,53.21
505323,Pažiť,392,225,57.39
505331,Pečeňany,434,249,57.37
505340,Podhradie,244,136,55.73
505358,Podlužany,743,461,62.04
505374,Prašice,1692,989,58.45
505382,Pravotice,282,177,62.76
505404,Preseľany,1224,685,55.96
505412,Prusy,530,307,57.92
505421,Radošina,1556,890,57.19
505439,Rajčany,431,246,57.07
505447,Ruskovce,435,288,66.2
505455,Rybany,1203,676,56.19
505463,Skačany,1028,524,50.97
505471,Slatina nad Bebravou,376,225,59.84
505480,Slatinka nad Bebravou,174,124,71.26
505498,Solčany,2004,1289,64.32
505510,Súlovce,447,265,59.28
505536,Šalgovce,395,204,51.64
505544,Šípkov,136,73,53.67
505552,Šišov,399,222,55.63
505561,Tesáre,620,395,63.7
505579,Timoradza,411,251,61.07
505595,Trebichava,48,33,68.75
505617,Tvrdomestice,373,204,54.69
505625,Uhrovec,1230,752,61.13
505633,Uhrovské Podhradie,41,30,73.17
505641,Urmince,1153,694,60.19
505676,Veľké Dvorany,604,379,62.74
505684,Veľké Hoste,454,260,57.26
505692,Veľké Chlievany,398,239,60.05
505706,Veľké Kršteňany,475,238,50.1
505714,Veľké Ripňany,1697,962,56.68
505722,Veľké Uherce,1673,987,58.99
505731,Veľký Klíž,725,446,61.51
505749,Velušovce,455,260,57.14
505757,Vozokany,268,161,60.07
505765,Vysočany,99,66,66.66
505773,Závada,478,259,54.18
505790,Zlatníky,566,340,60.07
505803,Žabokreky nad Nitrou,1350,752,55.7
505811,Žitná - Radiša,380,242,63.68
505820,Trenčín,44884,26683,59.44
505838,Adamovské Kochanovce,675,448,66.37
505846,Beckov,1189,736,61.9
505854,Bobot,599,356,59.43
505871,Bošáca,1097,642,58.52
505889,Brunovce,508,293,57.67
505897,Bzince pod Javorinou,1702,944,55.46
505901,Čachtice,2913,1635,56.12
505919,Častkovce,1302,733,56.29
505935,Dolná Poruba,644,366,56.83
505943,Dolná Súča,2447,1456,59.5
505951,Dolné Srnie,775,456,58.83
505960,Drietoma,1821,1023,56.17
505978,Dubodiel,856,590,68.92
505994,Hôrka nad Váhom,652,344,52.76
506001,Horná Streda,1179,671,56.91
506010,Horná Súča,2688,1499,55.76
506028,Horňany,337,189,56.08
506036,Horné Srnie,2194,1316,59.98
506044,Hrabovka,367,227,61.85
506052,Hrádok,594,357,60.1
506061,Hrachovište,535,263,49.15
506079,Hrašné,423,236,55.79
506087,Chocholná - Velčice,1389,896,64.5
506095,Ivanovce,816,483,59.19
506109,Kálnica,845,515,60.94
506125,Kočovce,1419,887,62.5
506133,Kostolná - Záriečie,551,375,68.05
506141,Kostolné,511,290,56.75
506150,Krajné,1222,686,56.13
506168,Krivosúd - Bodovka,294,189,64.28
506184,Lubina,1274,722,56.67
506206,Lúka,610,380,62.29
506231,Mníchova Lehota,997,587,58.87
506249,Modrová,418,251,60.04
506257,Modrovka,174,110,63.21
506265,Moravské Lieskové,2097,1250,59.6
506273,Motešice,690,408,59.13
506281,Nemšová,5091,3056,60.02
506290,Neporadza,654,389,59.48
506303,Nová Bošáca,876,495,56.5
506311,Nová Lehota,191,122,63.87
506338,Nové Mesto nad Váhom,15621,8915,57.07
506346,Očkov,388,241,62.11
506354,Omšenie,1507,860,57.06
506371,Opatovce,342,216,63.15
506401,Pobedim,910,486,53.4
506419,Podkylava,241,159,65.97
506427,Podolie,1565,844,53.92
506435,Potvorice,569,342,60.1
506443,Považany,1028,557,54.18
506478,Selec,826,477,57.74
506508,Soblahov,1877,1136,60.52
506516,Stará Lehota,157,98,62.42
506524,Stará Turá,7130,4033,56.56
506532,Svinná,1298,769,59.24
506541,Štvrtok,368,216,58.69
506559,Trenčianska Teplá,3408,1954,57.33
506567,Trenčianska Turná,2782,1869,67.18
506583,Trenčianske Bohuslavice,738,448,60.7
506591,Trenčianske Jastrabie,1102,720,65.33
506605,Trenčianske Mitice,688,414,60.17
506613,Trenčianske Teplice,3504,2118,60.44
506630,Vaďovce,601,337,56.07
506648,Veľká Hradná,584,388,66.43
506656,Veľké Bierovce,546,356,65.2
506672,Višňové,136,83,61.02
506745,Trnava,51393,29999,58.37
506788,Bíňovce,529,322,60.86
506796,Bohdanovce nad Trnavou,1193,700,58.67
506800,Bojničky,1168,640,54.79
506818,Boleráz,1921,1068,55.59
506826,Borová,363,234,64.46
506834,Borovce,956,526,55.02
506842,Brestovany,2027,1128,55.64
506851,Bučany,1963,1126,57.36
506869,Buková,593,363,61.21
506877,Cífer,3859,2432,63.02
506885,Červeník,1348,836,62.01
506893,Dechtice,1452,972,66.94
506915,Dobrá Voda,696,454,65.22
506923,Dolná Krupá,2063,1232,59.71
506931,Dolné Dubové,615,363,59.02
506940,Dolné Orešany,1131,703,62.15
506958,Dolné Otrokovce,312,179,57.37
506966,Dolné Trhovište,487,284,58.31
506982,Dolný Lopašov,798,431,54.01
506991,Drahovce,2165,1133,52.33
507008,Dubovany,859,498,57.97
507024,Dvorníky,1613,788,48.85
507032,Hlohovec,16432,9062,55.14
507041,Horná Krupá,417,256,61.39
507059,Horné Dubové,300,191,63.66
507067,Horné Orešany,1615,975,60.37
507075,Horné Otrokovce,733,441,60.16
507121,Chtelnica,2102,1296,61.65
507130,Jalšové,405,215,53.08
507156,Jaslovské Bohunice,1888,1169,61.91
507164,Kátlovce,947,613,64.73
507172,Kľačany,907,524,57.77
507199,Kočín - Lančár,400,263,65.75
507202,Koplotovce,642,417,64.95
507211,Košolná,694,381,54.89
507229,Krakovany,1145,718,62.7
507253,Leopoldov,3490,2168,62.12
507288,Madunice,1855,1116,60.16
507296,Majcichov,1689,1002,59.32
507300,Ivachnová,549,339,61.74
507318,Malženice,1183,716,60.52
507326,Merašice,356,194,54.49
507342,Moravany nad Váhom,2014,1186,58.88
507351,Naháč,364,223,61.26
507369,Nižná,456,241,52.85
507385,Ostrov,998,558,55.91
507393,Konská,189,121,64.02
507407,Turík,215,148,68.83
507415,Pastuchov,726,342,47.1
507431,Pečeňady,454,264,58.14
507440,Piešťany,22696,13093,57.68
507466,Prašník,688,390,56.68
507482,Rakovice,500,279,55.8
507491,Ratnovce,880,428,48.63
507512,Ružindol,1346,888,65.97
507521,Sasinkovo,687,363,52.83
507539,Siladice,564,325,57.62
507555,Smolenice,2696,1650,61.2
507563,Sokolovce,1133,590,52.07
507571,Suchá nad Parnou,1807,1123,62.14
507601,Špačince,2611,1677,64.22
507636,Šúrovce,1816,1059,58.31
507661,Trakovice,1226,753,61.41
507679,Trebatice,1083,632,58.35
507687,Trstín,1162,641,55.16
507709,Veľké Kostoľany,2310,1230,53.24
507725,Veselé,995,572,57.48
507741,Voderady,1352,792,58.57
507750,Vrbové,4649,2642,56.82
507768,Zavar,1772,1015,57.27
507776,Zeleneč,2181,1250,57.31
507792,Žlkovce,524,312,59.54
507806,Báhoň,1475,859,58.23
507814,Bernolákovo,7278,4697,64.53
507822,Blatné,1440,869,60.34
507831,Borinka,729,488,66.94
507849,Budmerice,1977,1201,60.74
507857,Častá,1939,1200,61.88
507865,Čataj,973,653,67.11
507873,Doľany,903,567,62.79
507881,Dubová,943,586,62.14
507890,Gajary,2495,1186,47.53
507903,Hamuliakovo,2203,1354,61.46
507911,Chorvátsky Grob,5402,3775,69.88
507938,Ivanka pri Dunaji,5477,3575,65.27
507946,Jablonec,825,478,57.93
507954,Jablonové,1099,653,59.41
507962,Jakubov,1420,801,56.4
507989,Svätý Jur,4631,2939,63.46
507997,Kalinkovo,1237,783,63.29
508012,Kostolište,1722,1025,59.52
508021,Kuchyňa,1493,821,54.98
508039,Láb,1691,1109,65.58
508047,Limbach,1839,1202,65.36
508055,Lozorno,2563,1379,53.8
508063,Malacky,14969,8231,54.98
508071,Malinovo,2946,1913,64.93
508080,Marianka,1796,1257,69.98
508098,Miloslavov,4441,3091,69.6
508101,Modra,7622,4699,61.65
508110,Most pri Bratislave,3242,2134,65.82
508136,Nová Dedinka,2671,1661,62.18
508161,Pernek,743,432,58.14
508179,Pezinok,19509,12087,61.95
508187,Píla,319,203,63.63
508195,Plavecký Štvrtok,2119,946,44.64
508209,Rovinka,4423,2904,65.65
508217,Senec,15462,9064,58.62
508225,Slovenský Grob,4229,2822,66.72
508233,Stupava,9583,6013,62.74
508241,Suchohrad,583,310,53.17
508250,Šenkvice,4210,2653,63.01
508268,Štefanová,324,192,59.25
508276,Tomášov,2264,1323,58.43
508284,Tureň,987,581,58.86
508292,Veľký Biel,2350,1337,56.89
508306,Viničné,2171,1371,63.15
508314,Vinosady,1260,807,64.04
508322,Vištuk,1106,604,54.61
508331,Vlky,366,184,50.27
508349,Vysoká pri Morave,1804,911,50.49
508365,Záhorská Ves,1478,590,39.91
508381,Zohor,2959,1644,55.55
508438,Banská Bystrica,60685,35534,58.55
508446,Bacúch,763,380,49.8
508454,Badín,1705,1054,61.81
508462,Beňuš,961,482,50.15
508471,Baláže,198,126,63.63
508489,Braväcovo,540,304,56.29
508497,Brezno,16204,7876,48.6
508519,Čerín,377,261,69.23
508527,Čierny Balog,3998,1950,48.77
508535,Dolná Lehota,612,358,58.49
508543,Dolná Mičiná,399,254,63.65
508551,Dolný Harmanec,230,129,56.08
508560,Donovaly,569,483,84.88
508578,Drábsko,138,70,50.72
508586,Dúbravica,327,177,54.12
508594,Harmanec,707,319,45.12
508608,Heľpa,2020,1072,53.06
508616,Hiadeľ,412,238,57.76
508624,Horná Lehota,489,250,51.12
508632,Horná Mičiná,546,338,61.9
508641,Horné Pršany,316,207,65.5
508659,Hrochoť,1175,554,47.14
508667,Hronec,951,477,50.15
508675,Brusno,1784,1104,61.88
508691,Jarabá,54,40,74.07
508705,Jasenie,945,531,56.19
508713,Kordíky,400,286,71.5
508721,Králiky,615,394,64.06
508730,Lom nad Rimavicou,205,138,67.31
508748,Ľubietová,1043,626,60.01
508756,Lučatín,585,371,63.41
508764,Medzibrod,1155,725,62.77
508772,Michalová,1033,520,50.33
508781,Môlča,344,147,42.73
508799,Moštenica,219,143,65.29
508802,Motyčky,97,69,71.13
508811,Mýto pod Ďumbierom,468,312,66.66
508829,Nemecká,1403,768,54.73
508837,Oravce,145,99,68.27
508845,Osrblie,302,206,68.21
508853,Podbrezová,2984,1529,51.23
508861,Podkonice,761,445,58.47
508870,Pohorelá,1793,916,51.08
508888,Pohronská Polhora,1330,598,44.96
508896,Pohronský Bukovec,102,66,64.7
508900,Polomka,2202,986,44.77
508918,Poniky,1253,713,56.9
508926,Povrazník,120,88,73.33
508934,Predajná,1073,570,53.12
508942,Priechod,836,477,57.05
508951,Ráztoka,230,116,50.43
508969,Riečka,667,450,67.46
508977,Sebedín - Bečov,307,166,54.07
508985,Selce,1734,1049,60.49
508993,Sihla,153,85,55.55
509001,Slovenská Ľupča,2627,1528,58.16
509019,Staré Hory,462,290,62.77
509027,Strelníky,630,424,67.3
509035,Špania Dolina,207,136,65.7
509043,Šumiac,968,376,38.84
509051,Telgárt,884,305,34.5
509060,Tajov,566,386,68.19
509086,Valaská,2876,1386,48.19
509094,Vaľkovňa,302,83,27.48
509124,Závadka nad Hronom,1700,706,41.52
509132,Čadca,18532,9101,49.1
509159,Čierne,3572,1939,54.28
509167,Dlhá nad Kysucou,510,245,48.03
