Kód obce,Názov obce,Počet zapísaných voličov,Počet zúčastnených voličov,Účasť voličov v %
500011,Nitra,63455,36606,57.68
500020,Alekšince,1472,729,49.52
500046,Báb,978,555,56.74
500062,Beladice,1360,792,58.23
500071,Branč,1820,925,50.82
500101,Čakajovce,938,545,58.1
500127,Čaradice,415,219,52.77
500135,Čeľadice,886,485,54.74
500151,Čierne Kľačany,941,566,60.14
500160,Čifáre,502,224,44.62
500194,Dolné Obdokovce,930,465,50
500232,Golianovo,1523,933,61.26
500241,Hájske,1082,575,53.14
500267,Záhorie (vojenský obvod),132,76,57.57
500283,Hostie,966,575,59.52
500305,Hosťovce,601,357,59.4
500313,Hruboňovo,456,261,57.23
500321,Choča,411,241,58.63
500348,Zubák,693,338,48.77
500356,Jarok,1703,953,55.96
500364,Jedľové Kostoľany,758,420,55.4
500372,Jelenec,1738,863,49.65
500381,Jelšovce,821,420,51.15
500399,Kapince,154,93,60.38
500402,Klasov,1032,565,54.74
500411,Kolíňany,1257,606,48.21
500429,Kostoľany pod Tribečom,294,186,63.26
500437,Ladice,645,312,48.37
500453,Lehota,1983,1191,60.06
500461,Lovce,581,349,60.06
500470,Lúčnica nad Žitavou,819,486,59.34
500488,Lukáčovce,972,504,51.85
500500,Machulince,886,549,61.96
500518,Veľké Chyndice,280,160,57.14
500534,Malé Zálužie,243,149,61.31
500542,Mankovce,410,262,63.9
500551,Martin nad Žitavou,473,274,57.92
500569,Melek,454,277,61.01
500577,Mojmírovce,2361,1163,49.25
500585,Nemčiňany,541,308,56.93
500593,Neverice,552,320,57.97
500607,Nevidzany,477,293,61.42
500631,Nová Ves nad Žitavou,1115,640,57.39
500640,Nové Sady,1067,694,65.04
500658,Obyce,1220,729,59.75
500666,Paňa,337,188,55.78
500674,Podhorany,969,544,56.14
500682,Pohranice,936,548,58.54
500691,Poľný Kesov,550,324,58.9
500704,Rišňovce,1711,972,56.8
500712,Rumanová,707,430,60.82
500721,Skýcov,780,473,60.64
