IDN4,obec,populace,centroid-lat,centroid-lon
500828,Topoľčianky,2704,48.4496145,18.3991927
500836,Velčice,851,48.4437958,18.2807966
500844,Veľká Dolina,683,48.1786892,18.0134097
500887,Veľké Zálužie,4350,48.3119222,17.9389566
500895,Veľký Cetín - Nagycétény,1626,48.225392,18.1970849
500909,Vieska nad Žitavou,463,48.3178919,18.3554573
500917,Vinodol,2061,48.189896,18.2144296
500925,Volkovce,1013,48.3412547,18.466489
500933,Vráble,8593,48.2426443,18.3114002
500941,Výčapy-Opatovce,2197,48.4151188,18.0745855
500950,Zbehy,2222,48.3662476,18.0001247
500968,Zlaté Moravce,11946,48.3756252,18.3982496
500976,Zlatno (ZM),211,48.4663634,18.3113504
500984,Žikava,528,48.4545141,18.3809451
500992,Žirany - Zsére,1360,48.3790657,18.1762059
501018,Žitavce,412,48.1906958,18.3152051
501026,Komárno - Komárom,32967,47.7854073,18.1018126
501034,Bajč - Bajcs,1223,47.929,18.2267971
501042,Bodza - Bogya,381,47.8483476,17.8526635
501069,Brestovec (KN) - Szilas,485,47.8760369,17.8354078
501077,Búč - Búcs,1148,47.8032691,18.4692484
501085,Čalovec - Megyercs,1114,47.8360003,17.967073
501093,Číčov - Csicsó,1231,47.7832232,17.7581597
501107,Dedina Mládeže - Ifjúságfalva,438,47.9528371,17.989867
501115,Svätý Peter - Komáromszentpéter,2735,47.8347701,18.2318868
501123,Dulovce,1648,47.873165,18.2675265
501140,Hurbanovo - Ógyalla,7467,47.8673848,18.189955
501158,Chotín - Hetény,1375,47.8104386,18.2279099
501166,Imeľ - Ímely,1982,47.8960651,18.1332512
501174,Iža - Izsa,1781,47.7642938,18.2296398
501182,Kameničná - Keszegfalva,1934,47.8425925,18.0068291
501191,Klížska Nemá - Kolozsnéma,449,47.7560045,17.833828
501204,Kolárovo - Gúta,10572,47.968649,18.0145144
501212,Kravany nad Dunajom - Karva,718,47.7737494,18.4825165
501221,Lipové,142,47.8457766,17.871058
501239,Marcelová - Marcelháza,3802,47.7916157,18.2889398
501247,Martovce - Martos,694,47.8640466,18.1094253
501255,Moča - Dunamocs,1132,47.7729754,18.4084843
501263,Modrany - Madar,1315,47.8170837,18.3551084
501271,Mudroňovo,124,47.8299536,18.3220448
501280,Nesvady - Naszvad,5014,47.9271767,18.1048316
501301,Okoličná na Ostrove - Ekel,1440,47.8157165,17.9235321
501310,Patince - Pat,527,47.7439357,18.2920231
501328,Pribeta - Perbete,2745,47.9005598,18.3140815
501336,Radvaň nad Dunajom - Dunaradvány,711,47.7599096,18.3557923
501344,Sokolce - Lakszakállas,1203,47.8772367,17.8624852
501352,Šrobárová,505,47.8052235,18.3220504
501361,Tôň - Tany,737,47.8030855,17.8276298
501379,Trávnik - Komáromfüss,683,47.7675602,17.7942617
501387,Veľké Kosihy - Nagykeszi,945,47.7673067,17.8830318
501395,Bátorove Kosihy - Bátorkeszi,3323,47.8396073,18.4041733
501409,Vrbová nad Váhom - Vágfüzes,543,47.8539933,18.0594026
501417,Zemianska Olča - Nemesócsa,2317,47.8287121,17.883916
501425,Zlatná na Ostrove - Csallóközaranyos,2428,47.7742499,17.9624712
501433,Dunajská Streda - Dunaszerdahely,23044,48.0152783,17.6312798
501441,Báč - Bacsfa,546,48.0074168,17.3758017
501450,Baka - Baka,1136,47.8919146,17.5203255
501468,Baloň - Balony,720,47.8426503,17.6546568
501484,Blahová - Sárrét,360,48.0938924,17.5530887
501492,Blatná na Ostrove - Sárosfa,981,47.9675052,17.4524126
501506,Boheľov - Bögellő,343,47.9051435,17.6962805
501514,Čakany - Pozsonycsákány,651,48.1153643,17.373445
501522,Veľký Meder - Nagymegyer,8446,47.8577623,17.7490698
501531,Čiližská Radvaň - Csilizradvány,1175,47.8315833,17.7061411
501549,Dobrohošť - Doborgaz,517,47.986708,17.3618509
501557,Dolný Bar - Albár,819,47.9657611,17.7029015
501573,Gabčíkovo - Bős,5232,47.8755834,17.5824056
501581,Holice - Egyházgelle,2144,47.9896172,17.4776484
501590,Horná Potôň - Felsőpatony,2114,48.0586086,17.529611
501603,Horný Bar - Felbár,1244,47.9459343,17.46176
501611,Dolný Štál - Alistál,1908,47.9348569,17.7373169
501620,Hubice - Nemesgomba,626,48.0957629,17.3981366
501638,Hviezdoslavov,2472,48.0713267,17.3556563
501654,Jahodná - Pozsonyeperjes,1654,48.0467292,17.7189146
501662,Janíky - Jányok,915,48.1436946,17.4027415
501671,Jurová - Dercsika,480,47.935046,17.5274187
501689,Kľúčovec - Kulcsod,362,47.7871753,17.7097084
501697,Kostolné Kračany - Egyházkarcsa,1419,47.9696754,17.5750086
501701,Kráľovičove Kračany - Királyfiakarcsa,1093,47.9798488,17.5478317
501719,Kútniky - Hegyéte,1466,47.9770338,17.6669565
501727,Kvetoslavov,1744,48.051478,17.3385232
501735,Lehnice - Lég,2965,48.0559811,17.4606648
501743,Lúč na Ostrove - Lúcs,711,47.9652393,17.5120216
501760,Medveďov - Medve,532,47.7981282,17.6727199
501778,Mierovo - Béke,444,48.0650681,17.3915571
501786,Michal na Ostrove - Szentmihályfa,1031,48.0434571,17.5420091
501808,Nový Život - Illésháza,2306,48.1141019,17.4827096
501816,Ohrady - Csallóközkürt,1359,48.0029355,17.7064239
501824,Okoč - Ekecs,3704,47.9125061,17.8197288
501832,Oľdza - Olgya,559,48.0826234,17.4226667
501859,Orechová Potôň - Diósförgepatony,1705,48.0835374,17.6655532
501867,Padáň - Padány,912,47.9166057,17.6715416
501875,Sap - Szap,508,47.8214388,17.6054715
501883,Pataš - Csilizpatas,808,47.8695798,17.6648134
501891,Rohovce - Nagyszarva,1108,47.9773255,17.4170938
501905,Šamorín - Somorja,13628,48.0195397,17.3119962
501913,Štvrtok na Ostrove - Csallóközcsütörtök,1714,48.1016468,17.3428251
501921,Topoľníky - Nyárasd,3116,47.9651673,17.8078449
501930,Ňárad - Csiliznyárad,631,47.8343171,17.6248801
501956,Trnávka (DS) - Csallóköztárnok,522,48.0166356,17.4035745
501964,Trstená na Ostrove - Csallóköznádasd,578,47.919986,17.5048588
501972,Veľká Paka - Nagypaka,984,48.0411995,17.3999255
