geometry,code
"{""type"":""Polygon"",""coordinates"":[[[17.073468,48.174502],[17.073916,48.142412],[17.11738,48.138249],[17.129242,48.140195],[17.125171,48.156067],[17.085498,48.165],[17.073468,48.174502]]]}",101
"{""type"":""Polygon"",""coordinates"":[[[17.125171,48.156067],[17.129242,48.140195],[17.11738,48.138249],[17.142696,48.132258],[17.13975,48.099978],[17.155775,48.074445],[17.187393,48.053793],[17.211703,48.082142],[17.217168,48.103381],[17.245541,48.112252],[17.276171,48.100121],[17.28455,48.116683],[17.265016,48.123835],[17.258698,48.135712],[17.237458,48.144177],[17.235496,48.166562],[17.217938,48.18183],[17.224456,48.191746],[17.174635,48.187038],[17.156461,48.168273],[17.125171,48.156067]]]}",102
"{""type"":""Polygon"",""coordinates"":[[[17.073468,48.174502],[17.085498,48.165],[17.125171,48.156067],[17.156461,48.168273],[17.174635,48.187038],[17.224456,48.191746],[17.227169,48.204044],[17.164607,48.244548],[17.153354,48.238377],[17.134241,48.242834],[17.108653,48.237937],[17.104164,48.222505],[17.075591,48.223275],[17.065738,48.211774],[17.064182,48.191392],[17.073468,48.174502]]]}",103
"{""type"":""Polygon"",""coordinates"":[[[16.957281,48.263479],[16.946085,48.237105],[16.96096,48.222449],[16.976604,48.188589],[16.976249,48.17177],[17.012945,48.153153],[17.02685,48.141394],[17.057378,48.141791],[17.073916,48.142412],[17.073468,48.174502],[17.064182,48.191392],[17.065738,48.211774],[17.075591,48.223275],[17.104164,48.222505],[17.108653,48.237937],[17.134241,48.242834],[17.137227,48.247447],[17.122276,48.24463],[17.080938,48.24964],[17.07669,48.235913],[17.042767,48.251081],[17.01839,48.248049],[16.987241,48.252247],[16.957281,48.263479]]]}",104
"{""type"":""Polygon"",""coordinates"":[[[17.057378,48.141791],[17.072896,48.110289],[17.092734,48.099638],[17.071579,48.080924],[17.072257,48.070449],[17.086815,48.065359],[17.068269,48.055396],[17.087814,48.045678],[17.067442,48.031431],[17.089885,48.019787],[17.11008,48.031226],[17.1364,48.022913],[17.160799,48.006657],[17.201803,48.020069],[17.226648,48.016229],[17.241789,48.022465],[17.224942,48.038074],[17.187393,48.053793],[17.155775,48.074445],[17.13975,48.099978],[17.142696,48.132258],[17.11738,48.138249],[17.073916,48.142412],[17.057378,48.141791]]]}",105
"{""type"":""Polygon"",""coordinates"":[[[16.949777,48.535801],[16.941666,48.520886],[16.920013,48.519282],[16.916979,48.495459],[16.897178,48.497192],[16.888893,48.475767],[16.88148,48.477801],[16.849441,48.447624],[16.863656,48.419651],[16.85027,48.407996],[16.850662,48.383488],[16.834645,48.383103],[16.843448,48.351078],[16.871396,48.348963],[16.870472,48.338845],[16.907741,48.326625],[16.895408,48.313545],[16.908175,48.287688],[16.924657,48.27147],[16.957281,48.263479],[16.987241,48.252247],[17.01839,48.248049],[17.042767,48.251081],[17.07669,48.235913],[17.080938,48.24964],[17.122276,48.24463],[17.137227,48.247447],[17.164529,48.279109],[17.150974,48.297967],[17.160881,48.313984],[17.173672,48.310788],[17.187431,48.321891],[17.181809,48.334085],[17.197351,48.341428],[17.188731,48.351624],[17.196688,48.371034],[17.209892,48.378972],[17.237174,48.381508],[17.258548,48.405771],[17.251753,48.409617],[17.259469,48.42862],[17.27698,48.426572],[17.295208,48.447209],[17.314324,48.455971],[17.302192,48.46594],[17.314142,48.481072],[17.328899,48.48024],[17.336607,48.497689],[17.355044,48.506591],[17.326207,48.514681],[17.309914,48.532282],[17.279769,48.543464],[17.318355,48.561836],[17.371401,48.602887],[17.376745,48.612052],[17.369339,48.632158],[17.35531,48.645397],[17.327749,48.653997],[17.295267,48.607838],[17.282446,48.608472],[17.265736,48.589503],[17.234487,48.580775],[17.235785,48.567414],[17.220896,48.568376],[17.15647,48.551313],[17.125256,48.546733],[17.103789,48.563387],[17.090805,48.558448],[17.052308,48.563817],[17.058746,48.555554],[16.982979,48.551541],[16.96658,48.54722],[16.970887,48.537647],[16.949777,48.535801]]]}",106
"{""type"":""Polygon"",""coordinates"":[[[17.314324,48.455971],[17.295208,48.447209],[17.27698,48.426572],[17.259469,48.42862],[17.251753,48.409617],[17.258548,48.405771],[17.237174,48.381508],[17.209892,48.378972],[17.196688,48.371034],[17.188731,48.351624],[17.197351,48.341428],[17.181809,48.334085],[17.187431,48.321891],[17.173672,48.310788],[17.160881,48.313984],[17.150974,48.297967],[17.164529,48.279109],[17.137227,48.247447],[17.134241,48.242834],[17.153354,48.238377],[17.164607,48.244548],[17.227169,48.204044],[17.243051,48.208094],[17.219349,48.224392],[17.237348,48.227074],[17.257514,48.241787],[17.317711,48.238875],[17.346866,48.254227],[17.348923,48.278526],[17.367202,48.27384],[17.405944,48.295386],[17.424531,48.286442],[17.459711,48.305812],[17.44928,48.319612],[17.462135,48.325129],[17.477538,48.352578],[17.452168,48.374478],[17.437293,48.370092],[17.420623,48.386651],[17.417236,48.404996],[17.401619,48.410714],[17.379895,48.429178],[17.392505,48.438636],[17.361576,48.438545],[17.346497,48.451884],[17.314324,48.455971]]]}",107
"{""type"":""Polygon"",""coordinates"":[[[17.459711,48.305812],[17.424531,48.286442],[17.405944,48.295386],[17.367202,48.27384],[17.348923,48.278526],[17.346866,48.254227],[17.317711,48.238875],[17.257514,48.241787],[17.237348,48.227074],[17.219349,48.224392],[17.243051,48.208094],[17.227169,48.204044],[17.224456,48.191746],[17.217938,48.18183],[17.235496,48.166562],[17.237458,48.144177],[17.258698,48.135712],[17.265016,48.123835],[17.28455,48.116683],[17.276171,48.100121],[17.245541,48.112252],[17.217168,48.103381],[17.211703,48.082142],[17.187393,48.053793],[17.224942,48.038074],[17.241789,48.022465],[17.247451,48.012014],[17.281735,48.042793],[17.306426,48.049787],[17.29652,48.066161],[17.313999,48.059968],[17.353694,48.092174],[17.326569,48.08884],[17.307141,48.099408],[17.31345,48.115332],[17.304381,48.12318],[17.340484,48.118445],[17.366761,48.133693],[17.379051,48.13053],[17.39082,48.142859],[17.374197,48.160364],[17.380084,48.170071],[17.408155,48.161797],[17.398991,48.153339],[17.423155,48.151847],[17.431991,48.144701],[17.467432,48.152317],[17.485568,48.17222],[17.500163,48.168337],[17.514308,48.174952],[17.520544,48.203078],[17.5007,48.205286],[17.520571,48.225548],[17.473291,48.235082],[17.482698,48.252881],[17.513757,48.279077],[17.459711,48.305812]]]}",108
"{""type"":""Polygon"",""coordinates"":[[[17.247451,48.012014],[17.251943,48.000964],[17.277271,47.9943],[17.335082,47.992923],[17.380315,47.956633],[17.403534,47.947348],[17.43256,47.920784],[17.45438,47.884971],[17.502409,47.866802],[17.522788,47.867316],[17.542013,47.853574],[17.549589,47.83216],[17.567148,47.815376],[17.60842,47.821891],[17.630944,47.803407],[17.692835,47.772201],[17.705436,47.758991],[17.730068,47.775777],[17.726428,47.793825],[17.73765,47.808818],[17.759172,47.802752],[17.770708,47.814192],[17.792832,47.820602],[17.800396,47.833646],[17.796203,47.854818],[17.806382,47.869246],[17.832751,47.875066],[17.846312,47.891866],[17.886915,47.910444],[17.887779,47.919292],[17.871433,47.927909],[17.885343,47.942395],[17.875614,47.960573],[17.854173,47.976885],[17.83156,47.98485],[17.81435,48.006251],[17.781624,48.020302],[17.761119,48.035548],[17.759517,48.05263],[17.715694,48.061541],[17.681722,48.065074],[17.667341,48.077273],[17.666742,48.08845],[17.613411,48.093447],[17.618524,48.103759],[17.605497,48.110797],[17.594634,48.092161],[17.585774,48.105693],[17.541843,48.10565],[17.543903,48.122078],[17.528617,48.114313],[17.489538,48.126727],[17.484553,48.143731],[17.466752,48.143704],[17.467432,48.152317],[17.431991,48.144701],[17.423155,48.151847],[17.398991,48.153339],[17.408155,48.161797],[17.380084,48.170071],[17.374197,48.160364],[17.39082,48.142859],[17.379051,48.13053],[17.366761,48.133693],[17.340484,48.118445],[17.304381,48.12318],[17.31345,48.115332],[17.307141,48.099408],[17.326569,48.08884],[17.353694,48.092174],[17.313999,48.059968],[17.29652,48.066161],[17.306426,48.049787],[17.281735,48.042793],[17.247451,48.012014]]]}",201
"{""type"":""Polygon"",""coordinates"":[[[17.758012,48.340823],[17.749792,48.317061],[17.730072,48.320143],[17.705269,48.316226],[17.687428,48.303925],[17.69764,48.300268],[17.68942,48.283623],[17.655395,48.279268],[17.652695,48.269322],[17.616823,48.266678],[17.606833,48.270417],[17.583156,48.250873],[17.561481,48.239763],[17.513757,48.279077],[17.482698,48.252881],[17.473291,48.235082],[17.520571,48.225548],[17.5007,48.205286],[17.520544,48.203078],[17.514308,48.174952],[17.500163,48.168337],[17.485568,48.17222],[17.467432,48.152317],[17.466752,48.143704],[17.484553,48.143731],[17.489538,48.126727],[17.528617,48.114313],[17.543903,48.122078],[17.541843,48.10565],[17.585774,48.105693],[17.594634,48.092161],[17.605497,48.110797],[17.618524,48.103759],[17.613411,48.093447],[17.666742,48.08845],[17.667341,48.077273],[17.681722,48.065074],[17.715694,48.061541],[17.759517,48.05263],[17.761119,48.035548],[17.781624,48.020302],[17.81435,48.006251],[17.83156,47.98485],[17.854173,47.976885],[17.875614,47.960573],[17.880307,47.986278],[17.869639,48.005476],[17.868637,48.022495],[17.884483,48.034278],[17.871449,48.053107],[17.838479,48.063396],[17.843567,48.076839],[17.814634,48.065393],[17.802805,48.076212],[17.820116,48.105757],[17.777684,48.13956],[17.754778,48.148335],[17.778041,48.15817],[17.800201,48.148469],[17.828976,48.16719],[17.800577,48.18574],[17.820489,48.201052],[17.837658,48.182738],[17.876877,48.200894],[17.882035,48.214934],[17.853553,48.231168],[17.84628,48.24621],[17.859094,48.252596],[17.850664,48.261327],[17.865619,48.280691],[17.839771,48.288731],[17.832965,48.297576],[17.847109,48.306625],[17.849356,48.332084],[17.857084,48.347235],[17.843577,48.340447],[17.822776,48.355154],[17.803017,48.347506],[17.813767,48.329384],[17.788622,48.322197],[17.758012,48.340823]]]}",202
