"Kód kraja","Názov kraja","Kód územného obvodu","Názov územného obvodu","Kód okresu","Názov okresu","Kód obce","Názov obce","Okrsok","Poradie na hlasovacom lístku","Meno","Priezvisko","Počet platných hlasov","Podiel platných hlasov v %"
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",19,2,"Peter","Pellegrini",157,21.01
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",20,1,"Ivan","Korčok",718,81.77
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",20,2,"Peter","Pellegrini",160,18.22
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",21,1,"Ivan","Korčok",621,77.72
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",21,2,"Peter","Pellegrini",178,22.27
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",22,1,"Ivan","Korčok",659,76.53
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",22,2,"Peter","Pellegrini",202,23.46
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",23,1,"Ivan","Korčok",475,71.10
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",23,2,"Peter","Pellegrini",193,28.89
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",24,1,"Ivan","Korčok",544,75.55
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",24,2,"Peter","Pellegrini",176,24.44
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",25,1,"Ivan","Korčok",537,75.84
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",25,2,"Peter","Pellegrini",171,24.15
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",26,1,"Ivan","Korčok",826,80.90
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",26,2,"Peter","Pellegrini",195,19.09
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",27,1,"Ivan","Korčok",771,74.78
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",27,2,"Peter","Pellegrini",260,25.21
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",28,1,"Ivan","Korčok",569,76.37
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",28,2,"Peter","Pellegrini",176,23.62
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",29,1,"Ivan","Korčok",882,71.82
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",29,2,"Peter","Pellegrini",346,28.17
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",30,1,"Ivan","Korčok",572,75.06
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",30,2,"Peter","Pellegrini",190,24.93
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",31,1,"Ivan","Korčok",650,77.01
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",31,2,"Peter","Pellegrini",194,22.98
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",32,1,"Ivan","Korčok",703,74.62
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",32,2,"Peter","Pellegrini",239,25.37
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",33,1,"Ivan","Korčok",671,75.99
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",33,2,"Peter","Pellegrini",212,24.00
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",34,1,"Ivan","Korčok",640,74.24
1,"Bratislavský kraj",101,"Bratislava",101,"Bratislava I",528595,"Bratislava - Staré Mesto",34,2,"Peter","Pellegrini",222,25.75
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",1,1,"Ivan","Korčok",544,63.25
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",1,2,"Peter","Pellegrini",316,36.74
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",2,1,"Ivan","Korčok",502,61.97
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",2,2,"Peter","Pellegrini",308,38.02
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",3,1,"Ivan","Korčok",593,68.39
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",3,2,"Peter","Pellegrini",274,31.60
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",4,1,"Ivan","Korčok",605,67.97
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",4,2,"Peter","Pellegrini",285,32.02
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",5,1,"Ivan","Korčok",572,67.53
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",5,2,"Peter","Pellegrini",275,32.46
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",6,1,"Ivan","Korčok",435,54.10
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",6,2,"Peter","Pellegrini",369,45.89
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",7,1,"Ivan","Korčok",352,53.41
1,"Bratislavský kraj",101,"Bratislava",102,"Bratislava II",529311,"Bratislava - Podunajské Biskupice",7,2,"Peter","Pellegrini",307,46.58
