,OKRES,1,2,sum,NOKRES
0,101,76.13,23.87,28114,Bratislava I
1,102,69.08,30.92,72660,Bratislava II
2,103,69.65,30.35,44122,Bratislava III
3,104,68.04,31.96,61518,Bratislava IV
4,105,65.95,34.05,67385,Bratislava V
5,106,53.66,46.34,41593,Malacky
6,107,58.91,41.09,39973,Pezinok
7,108,65.1,34.9,56943,Senec
8,201,46.36,53.64,45221,Dunajská Streda
9,202,46.2,53.8,43222,Galanta
10,203,41.11,58.89,23711,Hlohovec
11,204,49.12,50.88,34428,Piešťany
12,205,51.56,48.44,33282,Senica
13,206,56.97,43.03,24805,Skalica
14,207,52.71,47.29,74405,Trnava
15,301,36.91,63.09,19623,Bánovce nad Bebravou
16,302,37.91,62.09,31846,Ilava
17,303,47.11,52.89,14214,Myjava
18,304,44.38,55.62,33852,Nové Mesto nad Váhom
19,305,38.15,61.85,23420,Partizánske
20,306,37.17,62.83,33875,Považská Bystrica
21,307,39.47,60.53,69583,Prievidza
22,308,37.65,62.35,24394,Púchov
23,309,49.91,50.09,64896,Trenčín
24,401,36.61,63.39,32136,Komárno
25,402,42.24,57.76,49221,Levice
26,403,46.46,53.54,88800,Nitra
27,404,40.27,59.73,60925,Nové Zámky
28,405,47.4,52.6,21926,Šaľa
29,406,33.45,66.55,38430,Topoľčany
30,407,35.27,64.73,22447,Zlaté Moravce
31,501,35.37,64.63,17042,Bytča
32,502,29.79,70.21,45642,Čadca
33,503,54.26,45.74,20313,Dolný Kubín
34,504,32.31,67.69,17984,Kysucké Nové Mesto
35,505,45.76,54.24,39285,Liptovský Mikuláš
36,506,46.07,53.93,51522,Martin
37,507,47.12,52.88,28912,Námestovo
38,508,49.32,50.68,30043,Ružomberok
39,509,36.09,63.91,8996,Turčianske Teplice
40,510,46.62,53.38,18321,Tvrdošín
41,511,48.08,51.92,90418,Žilina
42,601,49.41,50.59,59858,Banská Bystrica
43,602,43.12,56.88,8426,Banská Štiavnica
44,603,34.16,65.84,28334,Brezno
45,604,30.78,69.22,16775,Detva
46,605,35.46,64.54,10912,Krupina
47,606,38.17,61.83,26570,Lučenec
48,607,24.61,75.39,9875,Poltár
49,608,27.93,72.07,12931,Revúca
50,609,30.13,69.87,26499,Rimavská Sobota
51,610,31.28,68.72,16948,Veľký Krtíš
52,611,47.52,52.48,34506,Zvolen
53,612,36.35,63.65,13284,Žarnovica
54,613,41.88,58.12,22885,Žiar nad Hronom
55,701,42.23,57.77,34969,Bardejov
56,702,34.09,65.91,27383,Humenné
57,703,47.81,52.19,26160,Kežmarok
58,704,45.53,54.47,13889,Levoča
59,705,23.2,76.8,4840,Medzilaborce
60,706,51.42,48.58,48390,Poprad
61,707,53.98,46.02,81450,Prešov
62,708,39.77,60.23,24158,Sabinov
63,709,25.32,74.68,15409,Snina
64,710,38.61,61.39,21988,Stará Ľubovňa
65,711,31.68,68.32,9063,Stropkov
66,712,27.23,72.77,14361,Svidník
67,713,28.57,71.43,31957,Vranov nad Topľou
68,801,32.97,67.03,11620,Gelnica
69,802,62.9,37.1,31308,Košice I
70,803,59.67,40.33,35685,Košice II
71,804,55.66,44.34,13200,Košice III
72,805,58.45,41.55,27797,Košice IV
73,806,47.4,52.6,52410,Košice - okolie
74,807,30.68,69.32,41273,Michalovce
75,808,38.7,61.3,21026,Rožňava
76,809,22.71,77.29,9866,Sobrance
77,810,45.33,54.67,37620,Spišská Nová Ves
78,811,31.53,68.47,35008,Trebišov
