IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
512320,Jazernica,5,SK,93.5%,0.0%,0.0%,0.0%,512320.0,Pellegrini,0.0,0.0,0.0,14.74,34.74,1.05,2.11,0.53,0.0,46.32,0.53
512338,Kaľamenová,5,SK,98.8%,0.0%,0.0%,0.0%,512338.0,Pellegrini,0.0,0.0,0.0,20.0,35.56,2.22,2.22,0.0,0.0,40.0,0.0
512346,Karlová,5,SK,100.0%,0.0%,0.0%,0.0%,512346.0,Korčok,0.0,0.0,0.0,25.76,39.39,0.0,0.0,0.0,0.0,33.33,1.52
512354,Kláštor pod Znievom,5,SK,95.8%,0.2%,0.2%,0.0%,512354.0,Korčok,0.24,0.73,0.0,14.39,41.84,0.97,3.14,0.97,0.12,37.36,0.24
512371,Košťany nad Turcom,5,SK,94.8%,0.1%,0.1%,0.1%,512371.0,Korčok,0.14,0.14,0.41,15.94,48.91,0.41,3.0,1.36,0.0,29.7,0.0
512389,Krpeľany,5,SK,98.3%,0.0%,0.0%,0.0%,512389.0,Pellegrini,0.2,0.2,0.0,15.23,26.56,0.59,3.52,0.78,0.39,52.34,0.2
512397,Laskár,5,SK,96.7%,0.0%,0.0%,0.0%,512397.0,Korčok,0.0,0.0,0.0,25.37,40.3,1.49,0.0,1.49,0.0,31.34,0.0
512419,Ležiachov,5,SK,99.4%,0.0%,0.0%,0.0%,512419.0,Pellegrini,0.0,0.0,1.06,29.79,28.72,1.06,2.13,1.06,0.0,36.17,0.0
512427,Liešno,5,SK,100.0%,0.0%,0.0%,0.0%,512427.0,Pellegrini,0.0,0.0,3.33,16.67,23.33,0.0,0.0,0.0,0.0,56.67,0.0
512435,Lipovec (MT),5,SK,95.2%,0.0%,0.0%,0.0%,512435.0,Korčok,0.21,0.21,0.0,15.87,43.01,0.84,2.3,1.46,0.21,35.91,0.0
512443,Malý Čepčín,5,SK,98.9%,0.2%,0.0%,0.0%,512443.0,Pellegrini,0.33,0.0,0.0,13.67,20.0,0.67,2.67,2.33,0.0,60.33,0.0
512451,Moškovec,5,SK,98.6%,0.0%,0.0%,0.0%,512451.0,Pellegrini,0.0,0.0,0.0,20.0,24.0,0.0,0.0,0.0,0.0,56.0,0.0
512460,Mošovce,5,SK,97.3%,0.1%,0.0%,0.1%,512460.0,Pellegrini,0.0,0.28,0.0,14.16,32.86,1.27,1.42,0.57,0.0,49.43,0.0
512478,Necpaly,5,SK,96.0%,0.0%,0.0%,0.0%,512478.0,Pellegrini,0.0,0.2,0.0,10.08,40.93,1.01,2.02,0.81,0.2,44.76,0.0
512486,Nolčovo,5,SK,96.1%,0.4%,0.0%,0.0%,512486.0,Pellegrini,0.0,0.79,0.0,13.39,27.56,1.57,0.0,2.36,0.0,54.33,0.0
512494,Ondrašová,5,SK,89.1%,0.0%,0.0%,0.0%,512494.0,Pellegrini,0.0,0.0,0.0,28.57,26.79,5.36,3.57,1.79,0.0,33.93,0.0
512508,Podhradie (MT),5,SK,98.2%,0.1%,0.0%,0.0%,512508.0,Pellegrini,0.89,0.0,0.0,15.13,26.11,0.59,2.67,1.19,0.0,53.41,0.0
512524,Príbovce,5,SK,94.7%,0.1%,0.0%,0.0%,512524.0,Pellegrini,0.0,0.9,0.0,13.33,33.15,1.26,3.6,0.72,0.0,47.03,0.0
