IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
500011,Nitra,4,SK,90.7%,1.0%,0.1%,0.0%,500011.0,Korčok,0.05,0.76,0.25,10.09,48.5,0.38,2.02,1.39,0.09,36.38,0.08
500020,Alekšince,4,SK,91.3%,0.4%,0.1%,0.0%,500020.0,Pellegrini,0.14,0.41,0.14,11.0,28.06,1.38,1.1,1.24,0.41,56.12,0.0
500046,Báb,4,SK,95.5%,0.3%,0.0%,0.0%,500046.0,Pellegrini,0.0,0.0,0.0,18.87,30.13,0.18,1.45,3.09,0.0,46.28,0.0
500062,Beladice,4,SK,91.4%,0.6%,1.3%,0.0%,500062.0,Pellegrini,0.13,0.51,0.13,13.42,32.78,1.14,0.89,1.14,0.63,49.24,0.0
500071,Branč,4,SK,83.2%,13.8%,0.3%,0.0%,500071.0,Korčok,0.11,0.33,6.45,12.35,42.19,0.33,0.98,3.61,0.11,33.55,0.0
500101,Čakajovce,4,SK,93.6%,0.2%,0.3%,0.0%,500101.0,Pellegrini,0.0,0.74,0.0,12.92,33.95,0.55,1.48,2.03,0.0,47.79,0.55
500127,Čaradice,4,SK,92.0%,0.4%,0.0%,0.0%,500127.0,Pellegrini,0.46,0.46,0.0,11.52,39.17,0.92,4.15,2.76,0.46,40.09,0.0
500135,Čeľadice,4,SK,95.7%,1.2%,0.1%,0.0%,500135.0,Pellegrini,0.0,0.21,0.0,14.43,34.43,0.82,2.27,0.62,0.21,45.98,1.03
500151,Čierne Kľačany,4,SK,98.1%,0.3%,0.1%,0.1%,500151.0,Pellegrini,0.18,2.13,0.0,16.49,31.74,0.89,1.77,0.53,0.0,46.28,0.0
500160,Čifáre,4,SK,78.5%,17.1%,0.0%,0.0%,500160.0,Pellegrini,0.45,0.45,5.36,12.5,32.14,0.45,0.0,0.45,0.45,46.43,1.34
500194,Dolné Obdokovce - Alsóbodok,4,SK,49.9%,45.9%,0.0%,0.0%,500194.0,Korčok,0.22,0.43,24.13,6.96,43.26,0.0,1.52,3.7,0.22,19.57,0.0
500232,Golianovo,4,SK,96.4%,1.0%,0.0%,0.1%,500232.0,Pellegrini,0.22,1.72,0.32,10.99,37.18,0.0,1.4,1.94,0.22,45.8,0.22
500241,Hájske,4,SK,91.0%,0.8%,0.3%,0.1%,500241.0,Pellegrini,0.17,0.52,0.0,12.37,37.28,0.87,1.92,1.74,0.0,44.77,0.35
500267,Záhorie (vojenský obvod),1,SK,90.5%,0.0%,0.0%,0.0%,500267.0,Pellegrini,0.0,1.32,0.0,21.05,18.42,2.63,5.26,0.0,0.0,51.32,0.0
500283,Hostie,4,SK,97.4%,0.0%,0.0%,0.0%,500283.0,Pellegrini,0.17,0.52,0.0,14.83,29.84,1.05,1.22,1.75,0.17,50.44,0.0
500305,Hosťovce (ZM),4,SK,93.9%,0.4%,0.0%,0.0%,500305.0,Pellegrini,0.56,0.28,0.0,15.41,28.01,0.28,0.56,1.12,0.28,53.22,0.28
500313,Hruboňovo,4,SK,95.4%,0.0%,0.0%,0.0%,500313.0,Pellegrini,0.0,0.38,0.0,16.15,34.62,0.38,0.77,1.54,0.0,46.15,0.0
500321,Choča,4,SK,94.2%,0.0%,1.6%,0.0%,500321.0,Pellegrini,0.0,0.42,0.42,15.25,25.85,0.0,1.27,0.42,0.0,55.93,0.42
500348,Zubák,3,SK,98.1%,0.0%,0.0%,0.0%,500348.0,Pellegrini,0.6,2.08,0.0,19.35,27.68,0.3,0.89,2.38,0.3,46.43,0.0
500356,Jarok,4,SK,96.4%,0.4%,0.0%,0.0%,500356.0,Korčok,0.0,0.95,0.11,11.25,41.75,0.53,2.1,2.73,0.0,40.38,0.21
500364,Jedľové Kostoľany,4,SK,97.3%,0.0%,0.0%,0.0%,500364.0,Pellegrini,0.24,0.48,0.0,18.94,22.3,0.48,2.88,0.24,0.0,54.44,0.0
500372,Jelenec - Gímes,4,SK,72.0%,21.7%,0.0%,0.0%,500372.0,Korčok,0.0,0.81,9.78,10.94,39.35,0.81,1.63,2.56,0.0,33.99,0.12
500381,Jelšovce,4,SK,94.2%,1.4%,0.1%,0.0%,500381.0,Pellegrini,0.48,0.24,0.48,13.67,38.37,0.96,1.2,3.12,1.2,40.05,0.24
500399,Kapince,4,SK,98.4%,1.1%,0.0%,0.5%,500399.0,Pellegrini,0.0,0.0,0.0,12.9,25.81,1.08,0.0,0.0,0.0,60.22,0.0
500402,Klasov - Kalász,4,SK,67.7%,23.1%,0.0%,0.0%,500402.0,Korčok,0.18,0.35,10.27,8.5,42.48,0.0,1.24,2.12,0.35,34.16,0.35
500411,Kolíňany - Kolon,4,SK,56.7%,39.4%,0.0%,0.0%,500411.0,Korčok,0.0,0.17,15.42,8.79,46.43,0.17,1.16,3.15,0.33,24.05,0.33
500429,Kostoľany pod Tribečom,4,SK,96.5%,2.0%,0.0%,0.0%,500429.0,Pellegrini,0.0,0.0,0.0,11.35,30.81,0.0,2.7,2.16,0.0,52.97,0.0
500437,Ladice - Barslédec,4,SK,69.4%,24.3%,0.0%,0.0%,500437.0,Korčok,0.0,0.32,8.97,15.71,38.14,0.32,0.32,4.17,0.0,32.05,0.0
500453,Lehota,4,SK,94.5%,0.2%,0.0%,0.0%,500453.0,Pellegrini,0.0,0.76,0.08,15.14,33.73,0.5,2.1,1.01,0.08,46.43,0.17
500461,Lovce,4,SK,97.7%,0.6%,0.0%,0.3%,500461.0,Pellegrini,0.29,0.0,0.0,12.64,23.56,0.29,2.3,1.72,0.29,58.91,0.0
500470,Lúčnica nad Žitavou,4,SK,92.5%,0.6%,0.4%,0.0%,500470.0,Pellegrini,0.0,0.41,0.0,20.82,27.63,0.0,1.86,1.86,0.0,47.42,0.0
500488,Lukáčovce,4,SK,97.3%,0.1%,0.3%,0.0%,500488.0,Pellegrini,0.0,1.2,0.2,15.94,38.45,0.2,1.39,2.59,0.0,40.04,0.0
500500,Machulince,4,SK,96.8%,0.1%,0.0%,0.0%,500500.0,Pellegrini,0.0,1.28,0.0,15.66,34.61,0.18,2.19,4.55,0.0,41.53,0.0
500518,Veľké Chyndice,4,SK,86.4%,10.4%,0.0%,0.0%,500518.0,Pellegrini,0.0,0.62,0.62,11.25,33.12,0.0,0.62,3.12,0.0,50.62,0.0
500534,Malé Zálužie,4,SK,94.7%,0.0%,0.0%,0.0%,500534.0,Pellegrini,0.0,0.0,0.0,12.24,33.33,0.0,1.36,0.0,0.0,53.06,0.0
500542,Mankovce,4,SK,97.3%,0.2%,0.0%,0.0%,500542.0,Pellegrini,0.0,0.0,0.0,7.63,24.81,0.38,1.15,3.82,0.38,61.83,0.0
500551,Martin nad Žitavou,4,SK,97.4%,0.2%,0.2%,0.0%,500551.0,Pellegrini,0.0,0.73,0.0,17.52,27.74,2.19,0.36,4.74,0.36,46.35,0.0
500569,Melek,4,SK,93.0%,0.0%,0.2%,0.0%,500569.0,Pellegrini,0.36,0.73,0.36,13.14,32.12,0.0,1.46,2.92,0.73,47.81,0.36
500577,Mojmírovce,4,SK,92.0%,0.5%,0.0%,0.0%,500577.0,Pellegrini,0.17,1.04,0.09,11.93,29.3,0.35,1.82,2.42,0.0,52.9,0.0
500585,Nemčiňany,4,SK,92.7%,0.2%,0.3%,0.0%,500585.0,Pellegrini,0.0,0.33,0.0,16.34,27.45,0.0,0.65,1.31,0.0,53.59,0.33
500593,Neverice,4,SK,96.8%,0.6%,0.0%,0.0%,500593.0,Pellegrini,0.0,0.0,0.0,11.99,24.92,0.95,0.63,2.21,0.32,58.99,0.0
500607,Nevidzany (ZM),4,SK,96.6%,1.0%,0.0%,0.0%,500607.0,Pellegrini,0.0,1.03,0.0,14.38,37.67,0.68,1.03,2.05,0.0,43.15,0.0
500631,Nová Ves nad Žitavou,4,SK,89.9%,0.2%,0.0%,0.0%,500631.0,Pellegrini,0.31,0.63,0.0,8.46,29.62,0.63,2.04,1.88,0.0,56.11,0.31
500640,Nové Sady,4,SK,94.8%,0.2%,0.0%,0.0%,500640.0,Pellegrini,0.0,0.43,0.0,15.03,30.2,0.14,1.59,1.3,0.14,50.87,0.29
500658,Obyce,4,SK,96.7%,0.0%,0.0%,0.0%,500658.0,Pellegrini,0.41,0.55,0.14,17.08,30.58,0.41,1.52,0.69,0.0,48.21,0.41
500666,Paňa,4,SK,92.1%,3.8%,0.0%,0.3%,500666.0,Pellegrini,0.0,0.0,2.14,11.23,38.5,1.6,1.6,3.74,0.53,40.64,0.0
500674,Podhorany (NR),4,SK,95.8%,2.8%,0.0%,0.0%,500674.0,Pellegrini,0.0,0.18,0.37,11.25,38.56,0.18,2.77,1.66,0.18,44.83,0.0
500682,Pohranice - Pográny,4,SK,59.3%,36.8%,0.0%,0.1%,500682.0,Pellegrini,0.0,0.18,18.43,15.33,28.65,0.55,1.64,1.46,0.0,33.39,0.36
500691,Poľný Kesov,4,SK,93.4%,0.3%,0.0%,0.0%,500691.0,Pellegrini,0.0,0.62,0.62,12.69,30.96,0.62,0.93,2.17,0.0,51.39,0.0
500704,Rišňovce,4,SK,95.2%,0.3%,0.0%,0.0%,500704.0,Pellegrini,0.1,0.93,0.0,15.65,29.84,0.31,1.66,2.07,0.1,49.22,0.1
500712,Rumanová,4,SK,97.6%,0.4%,0.0%,0.0%,500712.0,Pellegrini,0.23,0.7,0.0,14.45,27.74,0.23,0.93,1.4,0.0,53.85,0.47
500721,Skýcov,4,SK,96.8%,0.4%,0.0%,0.0%,500721.0,Pellegrini,0.0,0.42,0.21,10.83,21.23,0.21,1.91,1.49,0.21,63.27,0.21
500739,Močenok,4,SK,92.1%,1.2%,0.2%,0.0%,500739.0,Pellegrini,0.42,1.53,0.11,12.65,35.79,0.79,1.85,2.74,0.16,43.91,0.05
500747,Sľažany,4,SK,95.6%,0.5%,0.0%,0.1%,500747.0,Pellegrini,0.12,0.35,0.12,13.53,27.76,0.82,1.29,3.41,0.24,52.24,0.12
500755,Slepčany,4,SK,94.0%,0.5%,0.0%,0.0%,500755.0,Pellegrini,0.25,0.5,0.0,7.69,30.27,0.25,1.74,2.48,0.0,56.58,0.25
500780,Šurianky,4,SK,96.8%,0.3%,0.0%,0.0%,500780.0,Pellegrini,0.0,0.0,0.29,13.57,33.63,0.29,1.18,1.18,0.0,49.56,0.29
500798,Tajná,4,SK,94.5%,0.4%,0.0%,0.0%,500798.0,Pellegrini,0.0,0.0,0.7,19.58,30.07,0.0,0.0,1.4,0.0,48.25,0.0
500810,Tesárske Mlyňany,4,SK,91.7%,0.3%,0.1%,0.1%,500810.0,Pellegrini,0.0,0.26,0.0,16.45,28.83,0.51,1.4,3.06,0.13,49.23,0.13
500828,Topoľčianky,4,SK,96.7%,0.1%,0.0%,0.0%,500828.0,Pellegrini,0.0,1.28,0.08,12.56,37.07,0.45,1.43,1.73,0.0,45.34,0.08
500836,Velčice,4,SK,97.9%,0.6%,0.0%,0.0%,500836.0,Pellegrini,0.0,0.48,0.0,20.53,27.54,0.48,0.97,0.72,0.0,49.28,0.0
500844,Veľká Dolina,4,SK,94.3%,0.1%,0.0%,0.0%,500844.0,Pellegrini,0.0,0.58,0.0,16.33,29.45,1.17,0.29,1.17,0.29,50.73,0.0
500887,Veľké Zálužie,4,SK,93.0%,0.3%,0.0%,0.0%,500887.0,Pellegrini,0.1,0.63,0.05,14.49,39.85,0.31,1.2,1.83,0.0,41.53,0.0
500895,Veľký Cetín - Nagycétény,4,HU,39.2%,56.5%,0.0%,0.1%,500895.0,Forró,0.0,0.31,30.96,11.76,29.57,0.62,0.46,3.25,0.31,22.45,0.31
500909,Vieska nad Žitavou,4,SK,98.1%,0.9%,0.0%,0.0%,500909.0,Pellegrini,0.0,0.0,0.0,16.81,29.31,0.0,0.43,1.29,0.86,51.29,0.0
500917,Vinodol,4,SK,94.9%,2.1%,0.4%,0.0%,500917.0,Pellegrini,0.13,0.26,0.39,11.83,35.5,0.65,1.17,1.3,0.26,48.24,0.26
500925,Volkovce,4,SK,97.5%,1.0%,0.1%,0.0%,500925.0,Pellegrini,0.0,0.21,0.0,13.7,32.98,0.64,1.5,1.07,0.0,49.89,0.0
500933,Vráble,4,SK,89.7%,2.4%,0.1%,0.0%,500933.0,Pellegrini,0.1,0.65,0.88,10.91,38.13,0.29,1.77,1.77,0.08,45.38,0.05
500941,Výčapy-Opatovce,4,SK,95.2%,1.3%,0.0%,0.0%,500941.0,Pellegrini,0.09,0.93,0.65,7.03,42.37,0.65,1.94,2.59,0.0,43.66,0.09
500950,Zbehy,4,SK,91.4%,0.4%,0.1%,0.0%,500950.0,Pellegrini,0.0,0.73,0.0,10.44,34.25,0.37,1.56,1.19,0.0,51.1,0.37
500968,Zlaté Moravce,4,SK,89.0%,0.3%,1.3%,0.0%,500968.0,Pellegrini,0.12,0.58,0.15,13.25,34.29,0.65,1.82,2.17,0.15,46.72,0.1
500976,Zlatno (ZM),4,SK,98.1%,0.5%,0.0%,0.0%,500976.0,Pellegrini,0.83,1.67,0.0,13.33,12.5,1.67,0.83,0.0,0.0,69.17,0.0
500984,Žikava,4,SK,95.1%,0.2%,0.0%,0.0%,500984.0,Pellegrini,0.0,1.59,0.0,16.73,26.69,0.0,0.8,2.79,0.0,51.0,0.4
500992,Žirany - Zsére,4,SK,57.4%,37.2%,0.1%,0.0%,500992.0,Korčok,0.0,0.0,16.67,11.29,37.28,0.36,1.25,1.79,0.0,31.18,0.18
501018,Žitavce,4,SK,93.4%,0.5%,0.0%,0.0%,501018.0,Pellegrini,0.0,0.0,0.0,19.59,23.71,0.52,2.06,0.0,2.58,51.55,0.0
501026,Komárno - Komárom,4,HU,31.3%,53.7%,0.5%,0.0%,501026.0,Korčok,0.05,0.37,25.56,7.63,33.35,0.36,1.47,2.43,0.01,28.72,0.06
501034,Bajč - Bajcs,4,SK,48.1%,40.5%,0.8%,0.0%,501034.0,Korčok,0.0,0.52,17.62,6.99,34.46,0.78,1.3,6.22,0.0,32.12,0.0
501042,Bodza - Bogya,4,HU,14.4%,80.1%,0.3%,0.0%,501042.0,Forró,0.0,1.25,62.5,3.75,3.75,0.0,2.5,3.75,0.0,22.5,0.0
501069,Brestovec (KN) - Szilas,4,HU,6.8%,91.1%,0.0%,0.0%,501069.0,Forró,0.0,0.0,73.05,4.96,6.38,0.71,0.0,0.0,0.0,14.89,0.0
501077,Búč - Búcs,4,HU,10.4%,86.8%,0.1%,0.0%,501077.0,Forró,0.55,0.27,63.93,3.55,6.83,0.27,0.27,0.82,0.0,23.5,0.0
501085,Čalovec - Megyercs,4,HU,26.2%,67.2%,0.1%,0.0%,501085.0,Forró,0.0,0.0,42.06,7.24,15.6,1.11,0.28,5.57,0.0,28.13,0.0
501093,Číčov - Csicsó,4,HU,10.7%,78.8%,0.0%,0.0%,501093.0,Forró,0.32,0.0,68.51,4.87,7.47,0.32,0.32,1.95,0.0,16.23,0.0
501107,Dedina Mládeže - Ifjúságfalva,4,HU,38.6%,55.5%,0.5%,0.0%,501107.0,Pellegrini,0.0,0.0,20.17,10.08,14.29,0.0,0.84,3.36,0.0,51.26,0.0
501115,Svätý Peter - Komáromszentpéter,4,HU,29.5%,64.9%,0.2%,0.0%,501115.0,Forró,0.12,0.0,44.67,7.62,18.87,0.7,0.23,3.05,0.12,24.62,0.0
501123,Dulovce,4,SK,92.2%,3.8%,0.4%,0.0%,501123.0,Pellegrini,0.0,0.0,1.04,12.01,32.51,0.41,0.41,2.28,0.0,51.35,0.0
501140,Hurbanovo - Ógyalla,4,SK,50.6%,40.7%,2.4%,0.0%,501140.0,Korčok,0.08,0.25,17.56,9.67,34.49,0.21,1.32,3.31,0.25,32.71,0.13
501158,Chotín - Hetény,4,HU,12.7%,82.3%,0.0%,0.0%,501158.0,Forró,0.24,0.0,60.64,7.58,14.67,0.24,0.0,2.44,0.0,14.18,0.0
501166,Imeľ - Ímely,4,SK,58.5%,39.5%,0.0%,0.0%,501166.0,Korčok,0.16,0.63,21.07,10.22,37.42,0.0,1.26,3.62,0.0,25.31,0.31
501174,Iža - Izsa,4,HU,26.8%,63.5%,0.2%,0.1%,501174.0,Forró,0.0,0.0,37.37,8.35,23.17,0.0,0.42,2.92,0.21,27.14,0.42
501182,Kameničná - Keszegfalva,4,HU,22.8%,69.1%,1.0%,0.0%,501182.0,Forró,0.45,0.0,41.18,6.56,17.19,0.68,0.23,1.36,0.0,32.35,0.0
501191,Klížska Nemá - Kolozsnéma,4,HU,11.8%,84.2%,0.0%,0.0%,501191.0,Forró,0.0,0.82,63.11,6.56,7.38,0.82,0.0,2.46,0.82,18.03,0.0
501204,Kolárovo - Gúta,4,HU,20.4%,74.1%,0.3%,0.0%,501204.0,Forró,0.12,0.16,45.01,7.31,19.64,0.28,0.36,2.38,0.2,24.4,0.12
501212,Kravany nad Dunajom - Karva,4,HU,18.2%,77.4%,0.0%,0.0%,501212.0,Forró,0.0,0.43,47.39,7.83,13.91,0.0,1.3,3.91,0.87,24.35,0.0
501221,Lipové,4,SK,79.6%,12.0%,0.0%,0.0%,501221.0,Korčok,1.27,0.0,3.8,6.33,62.03,0.0,1.27,1.27,0.0,24.05,0.0
501239,Marcelová - Marcelháza,4,HU,13.8%,73.8%,0.8%,0.0%,501239.0,Forró,0.0,0.47,64.24,3.87,9.96,0.35,0.12,3.87,0.0,17.12,0.0
501247,Martovce - Martos,4,HU,13.0%,82.3%,1.0%,0.0%,501247.0,Forró,0.47,0.47,63.98,4.27,5.69,0.0,0.0,2.37,0.47,22.27,0.0
501255,Moča - Dunamocs,4,HU,7.2%,87.8%,0.0%,0.0%,501255.0,Forró,0.0,0.68,64.86,5.07,9.8,0.34,0.68,2.7,0.0,15.88,0.0
501263,Modrany - Madar,4,HU,11.8%,81.7%,0.2%,0.0%,501263.0,Forró,0.0,0.48,76.44,2.88,5.29,0.48,0.0,0.48,0.0,13.94,0.0
501271,Mudroňovo,4,SK,85.5%,8.9%,0.0%,0.0%,501271.0,Pellegrini,0.0,0.0,0.0,20.0,10.0,2.5,5.0,0.0,0.0,62.5,0.0
501280,Nesvady - Naszvad,4,HU,41.1%,49.1%,8.3%,0.0%,501280.0,Korčok,0.08,0.39,25.99,7.5,34.91,0.39,0.79,3.79,0.0,26.07,0.08
501301,Okoličná na Ostrove - Ekel,4,HU,17.2%,79.8%,0.1%,0.0%,501301.0,Forró,0.0,0.31,54.4,8.81,8.49,0.0,0.63,2.2,0.31,24.84,0.0
501310,Patince - Pat,4,HU,16.1%,78.6%,0.2%,0.0%,501310.0,Forró,0.0,0.93,29.3,22.79,22.79,0.47,0.93,0.93,0.0,21.4,0.47
501328,Pribeta - Perbete,4,HU,26.8%,67.6%,0.6%,0.0%,501328.0,Forró,0.0,0.13,48.86,5.92,16.29,0.27,0.4,3.9,0.13,23.96,0.13
501336,Radvaň nad Dunajom - Dunaradvány,4,HU,13.1%,84.8%,0.0%,0.0%,501336.0,Forró,0.0,0.0,59.57,5.11,15.32,0.0,0.43,0.85,0.0,18.72,0.0
501344,Sokolce - Lakszakállas,4,HU,7.0%,85.4%,0.4%,0.0%,501344.0,Forró,0.0,0.33,62.71,5.28,13.2,1.32,0.33,0.33,0.0,16.17,0.33
501352,Šrobárová,4,SK,91.5%,3.8%,0.0%,0.2%,501352.0,Pellegrini,0.0,0.0,0.43,15.58,30.3,0.43,2.6,2.6,0.0,47.62,0.43
501361,Tôň - Tany,4,HU,14.7%,82.1%,0.0%,0.0%,501361.0,Forró,0.0,0.0,62.13,7.23,7.23,0.0,0.0,3.83,0.0,19.57,0.0
501379,Trávnik - Komáromfüss,4,HU,14.1%,81.1%,0.0%,0.0%,501379.0,Forró,0.0,0.0,54.48,14.48,7.59,0.69,0.69,0.69,0.0,21.38,0.0
501387,Veľké Kosihy - Nagykeszi,4,HU,17.8%,75.3%,0.2%,0.0%,501387.0,Forró,0.34,0.0,68.15,3.42,7.88,0.0,0.34,2.4,0.0,17.47,0.0
501395,Bátorove Kosihy - Bátorkeszi,4,HU,19.7%,76.0%,0.2%,0.0%,501395.0,Forró,0.14,0.27,54.69,6.94,10.48,0.14,0.54,2.45,0.0,24.35,0.0
501409,Vrbová nad Váhom - Vágfüzes,4,HU,14.2%,78.3%,2.8%,0.2%,501409.0,Forró,1.42,0.0,50.35,4.96,12.77,0.0,0.0,3.55,0.0,26.95,0.0
501417,Zemianska Olča - Nemesócsa,4,HU,11.2%,80.5%,0.0%,0.0%,501417.0,Forró,0.0,0.47,61.79,3.3,13.44,0.24,0.0,1.89,0.0,18.87,0.0
501425,Zlatná na Ostrove - Csallóközaranyos,4,HU,13.3%,73.6%,0.3%,0.0%,501425.0,Forró,0.0,0.41,61.22,5.71,10.61,0.0,0.0,2.04,0.0,20.0,0.0
501433,Dunajská Streda - Dunaszerdahely,2,HU,19.0%,71.9%,0.4%,0.0%,501433.0,Forró,0.1,1.45,34.82,4.95,33.0,0.47,0.93,2.77,0.02,21.49,0.02
501441,Báč - Bacsfa,2,HU,24.9%,72.5%,0.0%,0.0%,501441.0,Forró,0.4,1.21,38.31,10.89,31.05,0.4,1.21,0.81,0.0,15.73,0.0
501450,Baka - Baka,2,HU,13.0%,83.0%,0.0%,0.0%,501450.0,Forró,0.27,0.27,55.04,2.45,19.89,0.0,0.27,0.82,0.0,20.98,0.0
501468,Baloň - Balony,2,HU,9.3%,87.8%,0.1%,0.0%,501468.0,Forró,0.49,0.0,73.04,3.43,9.31,0.49,0.0,1.47,0.0,11.76,0.0
501484,Blahová - Sárrét,2,SK,60.8%,31.7%,0.0%,0.6%,501484.0,Korčok,0.0,1.68,10.61,16.2,34.64,1.68,1.68,0.0,0.0,33.52,0.0
501492,Blatná na Ostrove - Sárosfa,2,HU,27.1%,70.1%,0.0%,0.0%,501492.0,Forró,0.0,0.0,44.79,7.04,28.45,0.0,1.13,1.69,0.0,16.9,0.0
501506,Boheľov - Bögellő,2,HU,14.0%,84.3%,0.0%,0.0%,501506.0,Forró,0.0,4.39,53.51,1.75,18.42,0.88,0.0,5.26,0.0,15.79,0.0
501514,Čakany - Pozsonycsákány,2,HU,35.3%,60.2%,0.2%,0.0%,501514.0,Korčok,0.0,1.26,19.67,3.35,44.77,0.0,2.51,1.67,0.0,26.78,0.0
501522,Veľký Meder - Nagymegyer,2,HU,14.6%,78.4%,0.2%,0.0%,501522.0,Forró,0.0,0.18,39.89,4.29,21.5,0.41,0.76,3.58,0.06,29.32,0.0
501531,Čiližská Radvaň - Csilizradvány,2,HU,9.5%,87.7%,0.0%,0.0%,501531.0,Forró,0.48,0.48,52.63,5.26,20.1,0.0,0.0,4.31,0.0,16.75,0.0
501549,Dobrohošť - Doborgaz,2,HU,45.6%,49.9%,0.2%,0.0%,501549.0,Korčok,0.0,0.41,13.28,9.96,48.96,0.41,2.49,2.49,0.0,21.99,0.0
501557,Dolný Bar - Albár,2,HU,25.6%,71.7%,0.0%,0.0%,501557.0,Pellegrini,0.39,0.39,27.91,9.3,28.29,0.0,0.78,3.88,0.0,28.68,0.39
501573,Gabčíkovo - Bős,2,HU,13.9%,80.6%,0.0%,0.0%,501573.0,Forró,0.22,0.44,47.39,4.42,20.68,0.07,0.37,2.94,0.0,23.47,0.0
501581,Holice - Egyházgelle,2,HU,16.4%,81.6%,0.0%,0.0%,501581.0,Forró,0.28,0.0,53.52,7.18,20.0,0.42,0.99,2.39,0.0,15.21,0.0
501590,Horná Potôň - Felsőpatony,2,HU,28.5%,65.8%,0.0%,0.0%,501590.0,Forró,0.0,0.14,33.38,6.4,30.25,0.41,0.82,1.91,0.0,26.7,0.0
501603,Horný Bar - Felbár,2,HU,23.7%,74.2%,0.4%,0.0%,501603.0,Korčok,0.0,0.9,28.54,7.19,30.79,0.22,1.12,0.9,0.0,30.34,0.0
501611,Dolný Štál - Alistál,2,HU,10.4%,86.6%,0.0%,0.0%,501611.0,Forró,0.0,0.0,54.77,4.77,15.08,0.0,0.0,2.51,0.0,22.86,0.0
501620,Hubice - Nemesgomba,2,HU,42.0%,56.1%,0.3%,0.0%,501620.0,Korčok,0.0,0.36,25.36,5.07,40.22,0.36,3.26,2.9,0.0,22.1,0.36
501638,Hviezdoslavov,2,SK,85.0%,7.3%,0.0%,0.0%,501638.0,Korčok,0.0,1.22,0.55,9.56,65.25,0.12,2.01,1.16,0.3,19.78,0.06
501654,Jahodná - Pozsonyeperjes,2,HU,16.3%,80.5%,0.2%,0.0%,501654.0,Forró,0.0,0.7,53.05,7.04,22.77,0.23,0.94,3.99,0.0,11.27,0.0
501662,Janíky - Jányok,2,HU,28.7%,68.6%,0.0%,0.0%,501662.0,Forró,0.0,0.22,36.69,6.71,35.57,0.89,0.67,2.91,0.22,16.11,0.0
501671,Jurová - Dercsika,2,HU,14.8%,82.7%,0.0%,0.0%,501671.0,Forró,0.0,0.0,56.64,6.99,16.78,0.0,1.4,1.4,0.0,16.78,0.0
501689,Kľúčovec - Kulcsod,2,HU,11.9%,84.3%,0.0%,0.0%,501689.0,Forró,0.91,0.0,73.64,4.55,5.45,0.0,0.91,5.45,0.0,9.09,0.0
501697,Kostolné Kračany - Egyházkarcsa,2,HU,11.4%,87.0%,0.0%,0.0%,501697.0,Forró,0.0,0.49,40.49,6.42,19.26,0.25,0.25,3.21,0.0,29.63,0.0
501701,Kráľovičove Kračany - Királyfiakarcsa,2,HU,17.4%,77.3%,0.0%,0.0%,501701.0,Forró,0.0,0.67,42.62,8.05,25.17,0.0,0.67,1.34,0.0,21.48,0.0
501719,Kútniky - Hegyéte,2,HU,18.5%,77.2%,0.1%,0.0%,501719.0,Forró,0.24,2.12,33.65,9.41,28.71,0.24,0.47,1.65,0.0,23.53,0.0
501727,Kvetoslavov,2,SK,79.1%,15.2%,0.0%,0.1%,501727.0,Korčok,0.1,0.9,3.12,5.83,68.24,0.2,2.11,1.21,0.3,17.89,0.1
501735,Lehnice - Lég,2,SK,47.9%,46.9%,0.5%,0.1%,501735.0,Korčok,0.09,0.37,14.76,9.75,40.48,0.37,1.67,3.34,0.19,28.88,0.09
501743,Lúč na Ostrove - Lúcs,2,HU,12.2%,85.7%,0.0%,0.0%,501743.0,Forró,0.46,0.46,48.17,5.05,17.43,0.46,0.46,3.21,0.46,23.85,0.0
501760,Medveďov - Medve,2,HU,16.7%,80.8%,0.0%,0.0%,501760.0,Forró,0.0,0.78,49.61,3.88,16.28,0.0,0.0,0.78,0.0,28.68,0.0
501778,Mierovo - Béke,2,HU,22.1%,73.0%,0.5%,0.0%,501778.0,Forró,0.0,0.0,32.11,8.95,31.58,0.0,1.58,2.63,0.0,23.16,0.0
501786,Michal na Ostrove - Szentmihályfa,2,HU,27.3%,67.2%,0.2%,0.0%,501786.0,Korčok,0.0,0.85,28.21,11.68,28.77,0.28,0.85,2.56,0.0,26.78,0.0
501808,Nový Život - Illésháza,2,HU,28.5%,67.4%,1.4%,0.0%,501808.0,Forró,0.0,0.28,35.52,8.53,30.49,0.14,0.42,4.34,0.0,20.14,0.14
501816,Ohrady - Csallóközkürt,2,HU,8.1%,90.7%,0.0%,0.0%,501816.0,Forró,0.0,0.59,56.18,7.94,15.29,0.59,0.29,1.47,0.0,17.65,0.0
501824,Okoč - Ekecs,2,HU,10.2%,85.6%,0.3%,0.0%,501824.0,Forró,0.0,0.24,69.16,2.53,9.88,0.0,0.12,1.81,0.12,16.14,0.0
501832,Oľdza - Olgya,2,SK,55.6%,41.7%,0.0%,0.2%,501832.0,Korčok,0.0,1.1,12.87,9.56,51.47,0.37,2.21,0.74,0.0,21.69,0.0
