obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,Víťazný kandidát
515175,6.67,6.67,46.67,0.0,33.33,0.0,0.0,0.0,6.67,0.0,0.0,Forró
515183,0.0,0.0,0.0,0.0,93.75,0.0,0.0,0.0,6.25,0.0,0.0,Korčok
515205,10.53,0.0,0.0,5.26,68.42,0.0,5.26,10.53,0.0,0.0,0.0,Korčok
515230,20.0,0.0,15.0,0.0,45.0,0.0,15.0,0.0,5.0,0.0,0.0,Korčok
515248,4.35,4.35,65.22,0.0,4.35,13.04,0.0,0.0,8.7,0.0,0.0,Forró
515256,5.41,2.7,0.0,0.0,83.78,0.0,2.7,0.0,5.41,0.0,0.0,Korčok
515264,2.86,1.14,53.14,0.0,38.29,1.14,1.71,0.0,1.14,0.57,0.0,Forró
515272,0.0,0.0,6.45,0.0,32.26,0.0,61.29,0.0,0.0,0.0,0.0,Kubiš
515281,11.76,0.0,29.41,0.0,52.94,0.0,5.88,0.0,0.0,0.0,0.0,Korčok
515299,7.69,0.0,46.15,0.0,7.69,0.0,30.77,0.0,7.69,0.0,0.0,Forró
515302,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
515311,11.11,0.0,33.33,0.0,55.56,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
515337,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
515345,0.0,0.0,71.43,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,Forró
515353,9.62,0.0,3.85,1.92,75.0,0.0,3.85,1.92,1.92,1.92,0.0,Korčok
515361,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
515370,5.0,3.33,18.33,0.0,66.67,1.67,5.0,0.0,0.0,0.0,0.0,Korčok
515388,0.0,0.0,75.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,Forró
515396,0.0,0.0,77.78,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,Forró
515400,7.69,0.0,50.0,0.0,38.46,0.0,0.0,0.0,3.85,0.0,0.0,Forró
515426,6.67,0.0,33.33,3.33,56.67,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
515442,7.37,1.58,5.26,2.11,74.74,0.53,2.63,0.0,4.74,1.05,0.0,Korčok
515451,7.89,5.26,42.11,2.63,28.95,5.26,0.0,0.0,0.0,0.0,7.89,Forró
515469,1.43,0.71,34.29,0.0,56.43,2.86,4.29,0.0,0.0,0.0,0.0,Korčok
515485,0.0,0.0,33.33,0.0,16.67,50.0,0.0,0.0,0.0,0.0,0.0,Kotleba
515493,0.0,0.0,20.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,28.0,Korčok
515507,11.11,0.0,0.0,0.0,77.78,11.11,0.0,0.0,0.0,0.0,0.0,Korčok
515515,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Forró
515523,35.71,0.0,21.43,0.0,35.71,0.0,7.14,0.0,0.0,0.0,0.0,Danko
515531,18.75,0.0,0.0,0.0,75.0,0.0,6.25,0.0,0.0,0.0,0.0,Korčok
515540,23.53,0.0,35.29,0.0,41.18,0.0,0.0,0.0,0.0,0.0,0.0,Korčok
515566,17.65,0.0,23.53,0.0,41.18,0.0,11.76,0.0,5.88,0.0,0.0,Korčok
515574,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,Forró
