obec_code,víťaz,Korčok,Pellegrini
500011,Pellegrini,5.82,94.18
500020,Pellegrini,25.0,75.0
500046,Korčok,0.0,0.0
500062,Pellegrini,20.0,80.0
500071,Pellegrini,25.0,75.0
500101,Pellegrini,0.0,100.0
500127,Korčok,50.0,50.0
500135,Pellegrini,0.0,100.0
500151,Pellegrini,7.69,92.31
500160,Korčok,50.0,50.0
500194,Pellegrini,33.33,66.67
500232,Pellegrini,11.11,88.89
500241,Pellegrini,25.0,75.0
500267,Pellegrini,0.0,100.0
500283,Pellegrini,25.0,75.0
500305,Korčok,66.67,33.33
500313,Pellegrini,0.0,100.0
500321,Pellegrini,0.0,100.0
500348,Pellegrini,22.22,77.78
500356,Pellegrini,0.0,100.0
500364,Pellegrini,33.33,66.67
500372,Pellegrini,0.0,100.0
500381,Korčok,66.67,33.33
500399,Korčok,0.0,0.0
500402,Pellegrini,33.33,66.67
500411,Pellegrini,0.0,100.0
500429,Korčok,0.0,0.0
500437,Pellegrini,0.0,100.0
500453,Pellegrini,0.0,100.0
500461,Korčok,100.0,0.0
500470,Pellegrini,0.0,100.0
500488,Pellegrini,0.0,100.0
500500,Pellegrini,0.0,100.0
500518,Pellegrini,0.0,100.0
500534,Korčok,0.0,0.0
500542,Korčok,0.0,0.0
500551,Pellegrini,0.0,100.0
500569,Pellegrini,33.33,66.67
500577,Pellegrini,14.29,85.71
500585,Pellegrini,0.0,100.0
500593,Korčok,0.0,0.0
500607,Pellegrini,0.0,100.0
500631,Pellegrini,33.33,66.67
500640,Pellegrini,0.0,100.0
500658,Pellegrini,42.86,57.14
500666,Korčok,0.0,0.0
500674,Pellegrini,0.0,100.0
500682,Pellegrini,0.0,100.0
500691,Pellegrini,0.0,100.0
500704,Pellegrini,10.0,90.0
500712,Pellegrini,25.0,75.0
500721,Pellegrini,0.0,100.0
500739,Pellegrini,21.62,78.38
500747,Pellegrini,25.0,75.0
500755,Pellegrini,33.33,66.67
500780,Korčok,0.0,0.0
500798,Korčok,0.0,0.0
500810,Pellegrini,0.0,100.0
500828,Pellegrini,0.0,100.0
500836,Pellegrini,0.0,100.0
500844,Pellegrini,0.0,100.0
500887,Pellegrini,14.29,85.71
500895,Pellegrini,0.0,100.0
500909,Korčok,0.0,0.0
500917,Pellegrini,33.33,66.67
500925,Pellegrini,0.0,100.0
500933,Pellegrini,13.79,86.21
500941,Pellegrini,9.09,90.91
500950,Pellegrini,0.0,100.0
500968,Pellegrini,16.67,83.33
500976,Pellegrini,33.33,66.67
500984,Pellegrini,0.0,100.0
500992,Korčok,0.0,0.0
501018,Korčok,0.0,0.0
501026,Pellegrini,12.5,87.5
501034,Pellegrini,0.0,100.0
501042,Pellegrini,0.0,100.0
501069,Korčok,0.0,0.0
501077,Korčok,66.67,33.33
501085,Korčok,0.0,0.0
501093,Korčok,100.0,0.0
501107,Korčok,0.0,0.0
501115,Korčok,100.0,0.0
501123,Korčok,0.0,0.0
501140,Pellegrini,25.0,75.0
501158,Korčok,100.0,0.0
501166,Pellegrini,20.0,80.0
501174,Korčok,0.0,0.0
501182,Korčok,100.0,0.0
501191,Pellegrini,0.0,100.0
501204,Pellegrini,42.86,57.14
501212,Pellegrini,0.0,100.0
501221,Korčok,100.0,0.0
501239,Pellegrini,0.0,100.0
501247,Korčok,50.0,50.0
501255,Pellegrini,0.0,100.0
501263,Pellegrini,0.0,100.0
501271,Korčok,0.0,0.0
501280,Pellegrini,16.67,83.33
501301,Pellegrini,0.0,100.0
501310,Pellegrini,0.0,100.0
501328,Pellegrini,0.0,100.0
501336,Korčok,0.0,0.0
501344,Pellegrini,0.0,100.0
501352,Korčok,0.0,0.0
501361,Korčok,0.0,0.0
501379,Korčok,0.0,0.0
501387,Korčok,100.0,0.0
501395,Pellegrini,33.33,66.67
501409,Korčok,100.0,0.0
501417,Pellegrini,0.0,100.0
501425,Pellegrini,0.0,100.0
501433,Pellegrini,6.25,93.75
501441,Pellegrini,25.0,75.0
501450,Korčok,50.0,50.0
501468,Korčok,100.0,0.0
501484,Pellegrini,0.0,100.0
501492,Korčok,0.0,0.0
501506,Pellegrini,0.0,100.0
501514,Pellegrini,0.0,100.0
501522,Pellegrini,0.0,100.0
501531,Korčok,50.0,50.0
501549,Pellegrini,0.0,100.0
501557,Korčok,50.0,50.0
501573,Pellegrini,33.33,66.67
501581,Korčok,100.0,0.0
501590,Pellegrini,0.0,100.0
501603,Pellegrini,0.0,100.0
501611,Korčok,0.0,0.0
501620,Pellegrini,0.0,100.0
501638,Pellegrini,0.0,100.0
501654,Pellegrini,0.0,100.0
501662,Pellegrini,0.0,100.0
501671,Korčok,0.0,0.0
501689,Korčok,100.0,0.0
501697,Pellegrini,0.0,100.0
501701,Pellegrini,0.0,100.0
501719,Pellegrini,10.0,90.0
501727,Pellegrini,10.0,90.0
501735,Pellegrini,20.0,80.0
501743,Korčok,50.0,50.0
501760,Pellegrini,0.0,100.0
501778,Korčok,0.0,0.0
501786,Pellegrini,0.0,100.0
501808,Pellegrini,0.0,100.0
501816,Pellegrini,0.0,100.0
501824,Pellegrini,0.0,100.0
501832,Pellegrini,0.0,100.0
501859,Pellegrini,33.33,66.67
501867,Pellegrini,0.0,100.0
501875,Korčok,0.0,0.0
501883,Pellegrini,0.0,100.0
501891,Pellegrini,33.33,66.67
501905,Pellegrini,13.64,86.36
501913,Pellegrini,33.33,66.67
501921,Pellegrini,25.0,75.0
501930,Pellegrini,0.0,100.0
501956,Pellegrini,0.0,100.0
501964,Pellegrini,0.0,100.0
501972,Pellegrini,0.0,100.0
501981,Pellegrini,0.0,100.0
501999,Pellegrini,0.0,100.0
502006,Pellegrini,14.29,85.71
502014,Pellegrini,16.67,83.33
502022,Pellegrini,0.0,100.0
502031,Pellegrini,7.79,92.21
502049,Korčok,100.0,0.0
502057,Korčok,100.0,0.0
502065,Korčok,0.0,0.0
502073,Korčok,0.0,0.0
502090,Korčok,0.0,0.0
502103,Korčok,0.0,0.0
502111,Pellegrini,0.0,100.0
502120,Korčok,100.0,0.0
502154,Pellegrini,0.0,100.0
502162,Pellegrini,0.0,100.0
502171,Pellegrini,0.0,100.0
502189,Korčok,0.0,0.0
502197,Pellegrini,0.0,100.0
502201,Pellegrini,0.0,100.0
502219,Korčok,0.0,0.0
502227,Korčok,100.0,0.0
502243,Korčok,0.0,0.0
502251,Pellegrini,0.0,100.0
502260,Pellegrini,0.0,100.0
502278,Korčok,0.0,0.0
502286,Korčok,100.0,0.0
502294,Korčok,0.0,0.0
502324,Korčok,0.0,0.0
502332,Pellegrini,0.0,100.0
502341,Korčok,0.0,0.0
502359,Pellegrini,0.0,100.0
502367,Korčok,0.0,0.0
502375,Korčok,0.0,0.0
502383,Korčok,100.0,0.0
502391,Pellegrini,0.0,100.0
502413,Korčok,50.0,50.0
502421,Pellegrini,21.43,78.57
502430,Pellegrini,41.67,58.33
502448,Korčok,0.0,0.0
502456,Pellegrini,0.0,100.0
502464,Pellegrini,0.0,100.0
502472,Pellegrini,0.0,100.0
502481,Pellegrini,0.0,100.0
502499,Korčok,100.0,0.0
502502,Korčok,0.0,0.0
502511,Korčok,0.0,0.0
502537,Pellegrini,0.0,100.0
502570,Pellegrini,0.0,100.0
502588,Pellegrini,0.0,100.0
502596,Pellegrini,0.0,100.0
502600,Korčok,0.0,0.0
502618,Korčok,100.0,0.0
502626,Pellegrini,0.0,100.0
502634,Korčok,0.0,0.0
502642,Pellegrini,0.0,100.0
502651,Pellegrini,0.0,100.0
502669,Pellegrini,33.33,66.67
502677,Korčok,50.0,50.0
502693,Korčok,100.0,0.0
502707,Korčok,66.67,33.33
502715,Pellegrini,16.67,83.33
502723,Korčok,0.0,0.0
502731,Korčok,0.0,0.0
502740,Korčok,0.0,0.0
502758,Korčok,0.0,0.0
502766,Pellegrini,0.0,100.0
502782,Pellegrini,0.0,100.0
502791,Korčok,0.0,0.0
502804,Korčok,0.0,0.0
502812,Korčok,50.0,50.0
502821,Pellegrini,0.0,100.0
502847,Korčok,0.0,0.0
502863,Pellegrini,12.5,87.5
502871,Pellegrini,0.0,100.0
502880,Pellegrini,0.0,100.0
502898,Pellegrini,0.0,100.0
502910,Pellegrini,33.33,66.67
502928,Korčok,100.0,0.0
502936,Pellegrini,0.0,100.0
502944,Korčok,0.0,0.0
502952,Korčok,0.0,0.0
502961,Korčok,0.0,0.0
502979,Korčok,0.0,0.0
502987,Pellegrini,21.43,78.57
502995,Pellegrini,0.0,100.0
503002,Korčok,0.0,0.0
503011,Pellegrini,9.72,90.28
503029,Korčok,0.0,0.0
503037,Korčok,0.0,0.0
503045,Pellegrini,21.43,78.57
503053,Pellegrini,40.0,60.0
503061,Korčok,100.0,0.0
503070,Korčok,0.0,0.0
503088,Pellegrini,0.0,100.0
503096,Pellegrini,0.0,100.0
503100,Korčok,0.0,0.0
503118,Korčok,0.0,0.0
503126,Pellegrini,14.29,85.71
503134,Pellegrini,0.0,100.0
503151,Pellegrini,33.33,66.67
503169,Korčok,100.0,0.0
503177,Pellegrini,40.0,60.0
503185,Korčok,50.0,50.0
503193,Pellegrini,0.0,100.0
503207,Pellegrini,0.0,100.0
503215,Pellegrini,25.0,75.0
503223,Korčok,100.0,0.0
503231,Korčok,100.0,0.0
503240,Pellegrini,0.0,100.0
503258,Korčok,0.0,0.0
503266,Pellegrini,7.69,92.31
503274,Korčok,66.67,33.33
503282,Pellegrini,10.53,89.47
503291,Pellegrini,0.0,100.0
503312,Korčok,75.0,25.0
503321,Pellegrini,0.0,100.0
503339,Pellegrini,0.0,100.0
503347,Korčok,100.0,0.0
503355,Korčok,0.0,0.0
503363,Pellegrini,16.67,83.33
503371,Pellegrini,0.0,100.0
503380,Pellegrini,25.0,75.0
503398,Korčok,0.0,0.0
503401,Korčok,100.0,0.0
503436,Korčok,0.0,0.0
503452,Pellegrini,10.0,90.0
503461,Korčok,0.0,0.0
503479,Pellegrini,0.0,100.0
503487,Pellegrini,0.0,100.0
503495,Pellegrini,0.0,100.0
503509,Pellegrini,0.0,100.0
503517,Korčok,0.0,0.0
503525,Pellegrini,0.0,100.0
503533,Korčok,0.0,0.0
503541,Korčok,0.0,0.0
503550,Pellegrini,33.33,66.67
503568,Pellegrini,33.33,66.67
503576,Korčok,100.0,0.0
503584,Pellegrini,37.5,62.5
503592,Pellegrini,25.0,75.0
503606,Pellegrini,33.33,66.67
503614,Pellegrini,42.86,57.14
503631,Pellegrini,0.0,100.0
503649,Korčok,0.0,0.0
503665,Pellegrini,17.65,82.35
503673,Pellegrini,14.29,85.71
503681,Korčok,0.0,0.0
503690,Korčok,0.0,0.0
503703,Korčok,0.0,0.0
503711,Pellegrini,40.0,60.0
503720,Pellegrini,0.0,100.0
503746,Pellegrini,0.0,100.0
503754,Korčok,0.0,0.0
503762,Korčok,50.0,50.0
503771,Pellegrini,0.0,100.0
503789,Pellegrini,16.67,83.33
503797,Pellegrini,12.5,87.5
503801,Pellegrini,25.0,75.0
503819,Pellegrini,16.67,83.33
503827,Korčok,100.0,0.0
503835,Korčok,50.0,50.0
503843,Pellegrini,0.0,100.0
503851,Pellegrini,0.0,100.0
503860,Korčok,50.0,50.0
503878,Korčok,0.0,0.0
503886,Pellegrini,0.0,100.0
503894,Pellegrini,10.0,90.0
503924,Pellegrini,0.0,100.0
503932,Korčok,0.0,0.0
503959,Pellegrini,10.0,90.0
503967,Pellegrini,0.0,100.0
503975,Pellegrini,0.0,100.0
503983,Pellegrini,20.0,80.0
503991,Korčok,50.0,50.0
