IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
500011,Nitra,4,SK,90.7%,1.0%,0.1%,0.0%,500011.0,17.0,275.0,91.0,3676.0,17661.0,139.0,737.0,508.0,34.0,13248.0,30.0,36416.0,63455.0,57.39
500020,Alekšince,4,SK,91.3%,0.4%,0.1%,0.0%,500020.0,1.0,3.0,1.0,80.0,204.0,10.0,8.0,9.0,3.0,408.0,0.0,727.0,1472.0,49.39
500046,Báb,4,SK,95.5%,0.3%,0.0%,0.0%,500046.0,0.0,0.0,0.0,104.0,166.0,1.0,8.0,17.0,0.0,255.0,0.0,551.0,978.0,56.34
500062,Beladice,4,SK,91.4%,0.6%,1.3%,0.0%,500062.0,1.0,4.0,1.0,106.0,259.0,9.0,7.0,9.0,5.0,389.0,0.0,790.0,1360.0,58.09
500071,Branč,4,SK,83.2%,13.8%,0.3%,0.0%,500071.0,1.0,3.0,59.0,113.0,386.0,3.0,9.0,33.0,1.0,307.0,0.0,915.0,1820.0,50.27
500101,Čakajovce,4,SK,93.6%,0.2%,0.3%,0.0%,500101.0,0.0,4.0,0.0,70.0,184.0,3.0,8.0,11.0,0.0,259.0,3.0,542.0,938.0,57.78
500127,Čaradice,4,SK,92.0%,0.4%,0.0%,0.0%,500127.0,1.0,1.0,0.0,25.0,85.0,2.0,9.0,6.0,1.0,87.0,0.0,217.0,415.0,52.29
500135,Čeľadice,4,SK,95.7%,1.2%,0.1%,0.0%,500135.0,0.0,1.0,0.0,70.0,167.0,4.0,11.0,3.0,1.0,223.0,5.0,485.0,886.0,54.74
500151,Čierne Kľačany,4,SK,98.1%,0.3%,0.1%,0.1%,500151.0,1.0,12.0,0.0,93.0,179.0,5.0,10.0,3.0,0.0,261.0,0.0,564.0,941.0,59.94
500160,Čifáre,4,SK,78.5%,17.1%,0.0%,0.0%,500160.0,1.0,1.0,12.0,28.0,72.0,1.0,0.0,1.0,1.0,104.0,3.0,224.0,502.0,44.62
500194,Dolné Obdokovce - Alsóbodok,4,SK,49.9%,45.9%,0.0%,0.0%,500194.0,1.0,2.0,111.0,32.0,199.0,0.0,7.0,17.0,1.0,90.0,0.0,460.0,930.0,49.46
500232,Golianovo,4,SK,96.4%,1.0%,0.0%,0.1%,500232.0,2.0,16.0,3.0,102.0,345.0,0.0,13.0,18.0,2.0,425.0,2.0,928.0,1523.0,60.93
500241,Hájske,4,SK,91.0%,0.8%,0.3%,0.1%,500241.0,1.0,3.0,0.0,71.0,214.0,5.0,11.0,10.0,0.0,257.0,2.0,574.0,1082.0,53.05
500267,Záhorie (vojenský obvod),1,SK,90.5%,0.0%,0.0%,0.0%,500267.0,0.0,1.0,0.0,16.0,14.0,2.0,4.0,0.0,0.0,39.0,0.0,76.0,132.0,57.58
500283,Hostie,4,SK,97.4%,0.0%,0.0%,0.0%,500283.0,1.0,3.0,0.0,85.0,171.0,6.0,7.0,10.0,1.0,289.0,0.0,573.0,966.0,59.32
500305,Hosťovce (ZM),4,SK,93.9%,0.4%,0.0%,0.0%,500305.0,2.0,1.0,0.0,55.0,100.0,1.0,2.0,4.0,1.0,190.0,1.0,357.0,601.0,59.4
500313,Hruboňovo,4,SK,95.4%,0.0%,0.0%,0.0%,500313.0,0.0,1.0,0.0,42.0,90.0,1.0,2.0,4.0,0.0,120.0,0.0,260.0,456.0,57.02
500321,Choča,4,SK,94.2%,0.0%,1.6%,0.0%,500321.0,0.0,1.0,1.0,36.0,61.0,0.0,3.0,1.0,0.0,132.0,1.0,236.0,411.0,57.42
500348,Zubák,3,SK,98.1%,0.0%,0.0%,0.0%,500348.0,2.0,7.0,0.0,65.0,93.0,1.0,3.0,8.0,1.0,156.0,0.0,336.0,693.0,48.48
500356,Jarok,4,SK,96.4%,0.4%,0.0%,0.0%,500356.0,0.0,9.0,1.0,107.0,397.0,5.0,20.0,26.0,0.0,384.0,2.0,951.0,1703.0,55.84
500364,Jedľové Kostoľany,4,SK,97.3%,0.0%,0.0%,0.0%,500364.0,1.0,2.0,0.0,79.0,93.0,2.0,12.0,1.0,0.0,227.0,0.0,417.0,758.0,55.01
500372,Jelenec - Gímes,4,SK,72.0%,21.7%,0.0%,0.0%,500372.0,0.0,7.0,84.0,94.0,338.0,7.0,14.0,22.0,0.0,292.0,1.0,859.0,1738.0,49.42
500381,Jelšovce,4,SK,94.2%,1.4%,0.1%,0.0%,500381.0,2.0,1.0,2.0,57.0,160.0,4.0,5.0,13.0,5.0,167.0,1.0,417.0,821.0,50.79
500399,Kapince,4,SK,98.4%,1.1%,0.0%,0.5%,500399.0,0.0,0.0,0.0,12.0,24.0,1.0,0.0,0.0,0.0,56.0,0.0,93.0,154.0,60.39
