IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,Korčok,Pellegrini,voted,voters,turnout
500011,Nitra,4,SK,90.7%,1.0%,0.1%,0.0%,500011.0,21859.0,20291.0,42150.0,63235.0,66.66
500020,Alekšince,4,SK,91.3%,0.4%,0.1%,0.0%,500020.0,245.0,652.0,897.0,1474.0,60.85
500046,Báb,4,SK,95.5%,0.3%,0.0%,0.0%,500046.0,210.0,417.0,627.0,989.0,63.4
500062,Beladice,4,SK,91.4%,0.6%,1.3%,0.0%,500062.0,314.0,596.0,910.0,1369.0,66.47
500071,Branč,4,SK,83.2%,13.8%,0.3%,0.0%,500071.0,551.0,570.0,1121.0,1822.0,61.53
500101,Čakajovce,4,SK,93.6%,0.2%,0.3%,0.0%,500101.0,240.0,382.0,622.0,938.0,66.31
500127,Čaradice,4,SK,92.0%,0.4%,0.0%,0.0%,500127.0,104.0,154.0,258.0,414.0,62.32
500135,Čeľadice,4,SK,95.7%,1.2%,0.1%,0.0%,500135.0,199.0,369.0,568.0,881.0,64.47
500151,Čierne Kľačany,4,SK,98.1%,0.3%,0.1%,0.1%,500151.0,227.0,431.0,658.0,936.0,70.3
500160,Čifáre,4,SK,78.5%,17.1%,0.0%,0.0%,500160.0,87.0,185.0,272.0,503.0,54.08
500194,Dolné Obdokovce - Alsóbodok,4,SK,49.9%,45.9%,0.0%,0.0%,500194.0,311.0,229.0,540.0,924.0,58.44
500232,Golianovo,4,SK,96.4%,1.0%,0.0%,0.1%,500232.0,433.0,644.0,1077.0,1521.0,70.81
500241,Hájske,4,SK,91.0%,0.8%,0.3%,0.1%,500241.0,269.0,430.0,699.0,1085.0,64.42
500267,Záhorie (vojenský obvod),1,SK,90.5%,0.0%,0.0%,0.0%,500267.0,17.0,62.0,79.0,128.0,61.72
500283,Hostie,4,SK,97.4%,0.0%,0.0%,0.0%,500283.0,232.0,449.0,681.0,965.0,70.57
500305,Hosťovce (ZM),4,SK,93.9%,0.4%,0.0%,0.0%,500305.0,116.0,283.0,399.0,578.0,69.03
500313,Hruboňovo,4,SK,95.4%,0.0%,0.0%,0.0%,500313.0,129.0,195.0,324.0,464.0,69.83
500321,Choča,4,SK,94.2%,0.0%,1.6%,0.0%,500321.0,65.0,190.0,255.0,403.0,63.28
500348,Zubák,3,SK,98.1%,0.0%,0.0%,0.0%,500348.0,137.0,293.0,430.0,707.0,60.82
500356,Jarok,4,SK,96.4%,0.4%,0.0%,0.0%,500356.0,527.0,649.0,1176.0,1712.0,68.69
500364,Jedľové Kostoľany,4,SK,97.3%,0.0%,0.0%,0.0%,500364.0,185.0,358.0,543.0,820.0,66.22
500372,Jelenec - Gímes,4,SK,72.0%,21.7%,0.0%,0.0%,500372.0,528.0,554.0,1082.0,1760.0,61.48
500381,Jelšovce,4,SK,94.2%,1.4%,0.1%,0.0%,500381.0,221.0,282.0,503.0,818.0,61.49
500399,Kapince,4,SK,98.4%,1.1%,0.0%,0.5%,500399.0,31.0,84.0,115.0,153.0,75.16
500402,Klasov - Kalász,4,SK,67.7%,23.1%,0.0%,0.0%,500402.0,312.0,326.0,638.0,1034.0,61.7
500411,Kolíňany - Kolon,4,SK,56.7%,39.4%,0.0%,0.0%,500411.0,417.0,320.0,737.0,1254.0,58.77
500429,Kostoľany pod Tribečom,4,SK,96.5%,2.0%,0.0%,0.0%,500429.0,80.0,134.0,214.0,297.0,72.05
500437,Ladice - Barslédec,4,SK,69.4%,24.3%,0.0%,0.0%,500437.0,167.0,213.0,380.0,639.0,59.47
500453,Lehota,4,SK,94.5%,0.2%,0.0%,0.0%,500453.0,503.0,879.0,1382.0,1961.0,70.47
500461,Lovce,4,SK,97.7%,0.6%,0.0%,0.3%,500461.0,114.0,302.0,416.0,577.0,72.1
500470,Lúčnica nad Žitavou,4,SK,92.5%,0.6%,0.4%,0.0%,500470.0,153.0,390.0,543.0,822.0,66.06
500488,Lukáčovce,4,SK,97.3%,0.1%,0.3%,0.0%,500488.0,248.0,363.0,611.0,983.0,62.16
500500,Machulince,4,SK,96.8%,0.1%,0.0%,0.0%,500500.0,239.0,411.0,650.0,892.0,72.87
500518,Veľké Chyndice,4,SK,86.4%,10.4%,0.0%,0.0%,500518.0,62.0,122.0,184.0,278.0,66.19
500534,Malé Zálužie,4,SK,94.7%,0.0%,0.0%,0.0%,500534.0,47.0,111.0,158.0,236.0,66.95
500542,Mankovce,4,SK,97.3%,0.2%,0.0%,0.0%,500542.0,117.0,181.0,298.0,408.0,73.04
500551,Martin nad Žitavou,4,SK,97.4%,0.2%,0.2%,0.0%,500551.0,110.0,209.0,319.0,470.0,67.87
500569,Melek,4,SK,93.0%,0.0%,0.2%,0.0%,500569.0,116.0,197.0,313.0,453.0,69.09
500577,Mojmírovce,4,SK,92.0%,0.5%,0.0%,0.0%,500577.0,472.0,914.0,1386.0,2364.0,58.63
500585,Nemčiňany,4,SK,92.7%,0.2%,0.3%,0.0%,500585.0,107.0,253.0,360.0,541.0,66.54
500593,Neverice,4,SK,96.8%,0.6%,0.0%,0.0%,500593.0,109.0,271.0,380.0,553.0,68.72
500607,Nevidzany (ZM),4,SK,96.6%,1.0%,0.0%,0.0%,500607.0,134.0,210.0,344.0,484.0,71.07
500631,Nová Ves nad Žitavou,4,SK,89.9%,0.2%,0.0%,0.0%,500631.0,250.0,507.0,757.0,1115.0,67.89
500640,Nové Sady,4,SK,94.8%,0.2%,0.0%,0.0%,500640.0,265.0,543.0,808.0,1071.0,75.44
500658,Obyce,4,SK,96.7%,0.0%,0.0%,0.0%,500658.0,281.0,561.0,842.0,1224.0,68.79
500666,Paňa,4,SK,92.1%,3.8%,0.0%,0.3%,500666.0,103.0,131.0,234.0,342.0,68.42
500674,Podhorany (NR),4,SK,95.8%,2.8%,0.0%,0.0%,500674.0,275.0,367.0,642.0,960.0,66.88
500682,Pohranice - Pográny,4,SK,59.3%,36.8%,0.0%,0.1%,500682.0,234.0,352.0,586.0,939.0,62.41
500691,Poľný Kesov,4,SK,93.4%,0.3%,0.0%,0.0%,500691.0,134.0,248.0,382.0,561.0,68.09
500704,Rišňovce,4,SK,95.2%,0.3%,0.0%,0.0%,500704.0,438.0,761.0,1199.0,1720.0,69.71
500712,Rumanová,4,SK,97.6%,0.4%,0.0%,0.0%,500712.0,153.0,350.0,503.0,708.0,71.05
500721,Skýcov,4,SK,96.8%,0.4%,0.0%,0.0%,500721.0,125.0,418.0,543.0,776.0,69.97
500739,Močenok,4,SK,92.1%,1.2%,0.2%,0.0%,500739.0,876.0,1290.0,2166.0,3497.0,61.94
500747,Sľažany,4,SK,95.6%,0.5%,0.0%,0.1%,500747.0,331.0,658.0,989.0,1382.0,71.56
500755,Slepčany,4,SK,94.0%,0.5%,0.0%,0.0%,500755.0,161.0,330.0,491.0,679.0,72.31
500780,Šurianky,4,SK,96.8%,0.3%,0.0%,0.0%,500780.0,131.0,245.0,376.0,490.0,76.73
500798,Tajná,4,SK,94.5%,0.4%,0.0%,0.0%,500798.0,59.0,114.0,173.0,235.0,73.62
500810,Tesárske Mlyňany,4,SK,91.7%,0.3%,0.1%,0.1%,500810.0,320.0,606.0,926.0,1390.0,66.62
500828,Topoľčianky,4,SK,96.7%,0.1%,0.0%,0.0%,500828.0,638.0,886.0,1524.0,2169.0,70.26
500836,Velčice,4,SK,97.9%,0.6%,0.0%,0.0%,500836.0,149.0,331.0,480.0,691.0,69.46
500844,Veľká Dolina,4,SK,94.3%,0.1%,0.0%,0.0%,500844.0,118.0,269.0,387.0,587.0,65.93
500887,Veľké Zálužie,4,SK,93.0%,0.3%,0.0%,0.0%,500887.0,971.0,1266.0,2237.0,3460.0,64.65
500895,Veľký Cetín - Nagycétény,4,HU,39.2%,56.5%,0.0%,0.1%,500895.0,373.0,358.0,731.0,1353.0,54.03
500909,Vieska nad Žitavou,4,SK,98.1%,0.9%,0.0%,0.0%,500909.0,78.0,175.0,253.0,359.0,70.47
500917,Vinodol,4,SK,94.9%,2.1%,0.4%,0.0%,500917.0,327.0,637.0,964.0,1542.0,62.52
500925,Volkovce,4,SK,97.5%,1.0%,0.1%,0.0%,500925.0,184.0,356.0,540.0,832.0,64.9
500933,Vráble,4,SK,89.7%,2.4%,0.1%,0.0%,500933.0,1883.0,2710.0,4593.0,6884.0,66.72
500941,Výčapy-Opatovce,4,SK,95.2%,1.3%,0.0%,0.0%,500941.0,567.0,633.0,1200.0,1731.0,69.32
500950,Zbehy,4,SK,91.4%,0.4%,0.1%,0.0%,500950.0,452.0,794.0,1246.0,1839.0,67.75
500968,Zlaté Moravce,4,SK,89.0%,0.3%,1.3%,0.0%,500968.0,2358.0,3694.0,6052.0,9687.0,62.48
500976,Zlatno (ZM),4,SK,98.1%,0.5%,0.0%,0.0%,500976.0,21.0,113.0,134.0,182.0,73.63
500984,Žikava,4,SK,95.1%,0.2%,0.0%,0.0%,500984.0,86.0,211.0,297.0,432.0,68.75
500992,Žirany - Zsére,4,SK,57.4%,37.2%,0.1%,0.0%,500992.0,312.0,330.0,642.0,1117.0,57.48
501018,Žitavce,4,SK,93.4%,0.5%,0.0%,0.0%,501018.0,64.0,162.0,226.0,358.0,63.13
501026,Komárno - Komárom,4,HU,31.3%,53.7%,0.5%,0.0%,501026.0,5017.0,6281.0,11298.0,26603.0,42.47
501034,Bajč - Bajcs,4,SK,48.1%,40.5%,0.8%,0.0%,501034.0,222.0,249.0,471.0,1004.0,46.91
501042,Bodza - Bogya,4,HU,14.4%,80.1%,0.3%,0.0%,501042.0,22.0,84.0,106.0,312.0,33.97
501069,Brestovec (KN) - Szilas,4,HU,6.8%,91.1%,0.0%,0.0%,501069.0,25.0,112.0,137.0,411.0,33.33
501077,Búč - Búcs,4,HU,10.4%,86.8%,0.1%,0.0%,501077.0,63.0,304.0,367.0,949.0,38.67
501085,Čalovec - Megyercs,4,HU,26.2%,67.2%,0.1%,0.0%,501085.0,107.0,296.0,403.0,930.0,43.33
501093,Číčov - Csicsó,4,HU,10.7%,78.8%,0.0%,0.0%,501093.0,68.0,261.0,329.0,1013.0,32.48
501107,Dedina Mládeže - Ifjúságfalva,4,HU,38.6%,55.5%,0.5%,0.0%,501107.0,39.0,110.0,149.0,347.0,42.94
501115,Svätý Peter - Komáromszentpéter,4,HU,29.5%,64.9%,0.2%,0.0%,501115.0,272.0,655.0,927.0,2232.0,41.53
