IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,Korčok,Pellegrini,voted,voters,turnout
501123,Dulovce,4,SK,92.2%,3.8%,0.4%,0.0%,501123.0,210.0,422.0,632.0,1291.0,48.95
501140,Hurbanovo - Ógyalla,4,SK,50.6%,40.7%,2.4%,0.0%,501140.0,1233.0,1637.0,2870.0,5896.0,48.68
501158,Chotín - Hetény,4,HU,12.7%,82.3%,0.0%,0.0%,501158.0,101.0,330.0,431.0,1168.0,36.9
501166,Imeľ - Ímely,4,SK,58.5%,39.5%,0.0%,0.0%,501166.0,406.0,407.0,813.0,1704.0,47.71
501174,Iža - Izsa,4,HU,26.8%,63.5%,0.2%,0.1%,501174.0,191.0,417.0,608.0,1422.0,42.76
501182,Kameničná - Keszegfalva,4,HU,22.8%,69.1%,1.0%,0.0%,501182.0,156.0,395.0,551.0,1543.0,35.71
501191,Klížska Nemá - Kolozsnéma,4,HU,11.8%,84.2%,0.0%,0.0%,501191.0,25.0,112.0,137.0,357.0,38.38
501204,Kolárovo - Gúta,4,HU,20.4%,74.1%,0.3%,0.0%,501204.0,914.0,1977.0,2891.0,8554.0,33.8
501212,Kravany nad Dunajom - Karva,4,HU,18.2%,77.4%,0.0%,0.0%,501212.0,67.0,170.0,237.0,585.0,40.51
501221,Lipové,4,SK,79.6%,12.0%,0.0%,0.0%,501221.0,59.0,39.0,98.0,129.0,75.97
501239,Marcelová - Marcelháza,4,HU,13.8%,73.8%,0.8%,0.0%,501239.0,241.0,714.0,955.0,3047.0,31.34
501247,Martovce - Martos,4,HU,13.0%,82.3%,1.0%,0.0%,501247.0,36.0,152.0,188.0,585.0,32.14
501255,Moča - Dunamocs,4,HU,7.2%,87.8%,0.0%,0.0%,501255.0,74.0,257.0,331.0,938.0,35.29
501263,Modrany - Madar,4,HU,11.8%,81.7%,0.2%,0.0%,501263.0,40.0,179.0,219.0,1065.0,20.56
501271,Mudroňovo,4,SK,85.5%,8.9%,0.0%,0.0%,501271.0,5.0,42.0,47.0,97.0,48.45
501280,Nesvady - Naszvad,4,HU,41.1%,49.1%,8.3%,0.0%,501280.0,737.0,851.0,1588.0,3968.0,40.02
501301,Okoličná na Ostrove - Ekel,4,HU,17.2%,79.8%,0.1%,0.0%,501301.0,80.0,295.0,375.0,1196.0,31.35
501310,Patince - Pat,4,HU,16.1%,78.6%,0.2%,0.0%,501310.0,58.0,172.0,230.0,475.0,48.42
501328,Pribeta - Perbete,4,HU,26.8%,67.6%,0.6%,0.0%,501328.0,291.0,531.0,822.0,2258.0,36.4
501336,Radvaň nad Dunajom - Dunaradvány,4,HU,13.1%,84.8%,0.0%,0.0%,501336.0,86.0,177.0,263.0,613.0,42.9
501344,Sokolce - Lakszakállas,4,HU,7.0%,85.4%,0.4%,0.0%,501344.0,70.0,210.0,280.0,989.0,28.31
501352,Šrobárová,4,SK,91.5%,3.8%,0.0%,0.2%,501352.0,93.0,177.0,270.0,413.0,65.38
501361,Tôň - Tany,4,HU,14.7%,82.1%,0.0%,0.0%,501361.0,54.0,153.0,207.0,631.0,32.81
501379,Trávnik - Komáromfüss,4,HU,14.1%,81.1%,0.0%,0.0%,501379.0,39.0,161.0,200.0,568.0,35.21
501387,Veľké Kosihy - Nagykeszi,4,HU,17.8%,75.3%,0.2%,0.0%,501387.0,89.0,197.0,286.0,801.0,35.71
501395,Bátorove Kosihy - Bátorkeszi,4,HU,19.7%,76.0%,0.2%,0.0%,501395.0,167.0,689.0,856.0,2720.0,31.47
501409,Vrbová nad Váhom - Vágfüzes,4,HU,14.2%,78.3%,2.8%,0.2%,501409.0,48.0,133.0,181.0,466.0,38.84
501417,Zemianska Olča - Nemesócsa,4,HU,11.2%,80.5%,0.0%,0.0%,501417.0,177.0,329.0,506.0,1901.0,26.62
501425,Zlatná na Ostrove - Csallóközaranyos,4,HU,13.3%,73.6%,0.3%,0.0%,501425.0,115.0,457.0,572.0,2038.0,28.07
501433,Dunajská Streda - Dunaszerdahely,2,HU,19.0%,71.9%,0.4%,0.0%,501433.0,3722.0,3957.0,7679.0,19078.0,40.25
501441,Báč - Bacsfa,2,HU,24.9%,72.5%,0.0%,0.0%,501441.0,118.0,134.0,252.0,472.0,53.39
501450,Baka - Baka,2,HU,13.0%,83.0%,0.0%,0.0%,501450.0,150.0,260.0,410.0,982.0,41.75
501468,Baloň - Balony,2,HU,9.3%,87.8%,0.1%,0.0%,501468.0,63.0,204.0,267.0,656.0,40.7
501484,Blahová - Sárrét,2,SK,60.8%,31.7%,0.0%,0.6%,501484.0,115.0,127.0,242.0,392.0,61.73
501492,Blatná na Ostrove - Sárosfa,2,HU,27.1%,70.1%,0.0%,0.0%,501492.0,190.0,185.0,375.0,818.0,45.84
501506,Boheľov - Bögellő,2,HU,14.0%,84.3%,0.0%,0.0%,501506.0,47.0,75.0,122.0,305.0,40.0
501514,Čakany - Pozsonycsákány,2,HU,35.3%,60.2%,0.2%,0.0%,501514.0,170.0,116.0,286.0,503.0,56.86
501522,Veľký Meder - Nagymegyer,2,HU,14.6%,78.4%,0.2%,0.0%,501522.0,762.0,1413.0,2175.0,6894.0,31.55
501531,Čiližská Radvaň - Csilizradvány,2,HU,9.5%,87.7%,0.0%,0.0%,501531.0,93.0,175.0,268.0,967.0,27.71
501549,Dobrohošť - Doborgaz,2,HU,45.6%,49.9%,0.2%,0.0%,501549.0,149.0,131.0,280.0,465.0,60.22
501557,Dolný Bar - Albár,2,HU,25.6%,71.7%,0.0%,0.0%,501557.0,144.0,237.0,381.0,821.0,46.41
501573,Gabčíkovo - Bős,2,HU,13.9%,80.6%,0.0%,0.0%,501573.0,595.0,1070.0,1665.0,4282.0,38.88
501581,Holice - Egyházgelle,2,HU,16.4%,81.6%,0.0%,0.0%,501581.0,285.0,494.0,779.0,1747.0,44.59
501590,Horná Potôň - Felsőpatony,2,HU,28.5%,65.8%,0.0%,0.0%,501590.0,381.0,479.0,860.0,1851.0,46.46
501603,Horný Bar - Felbár,2,HU,23.7%,74.2%,0.4%,0.0%,501603.0,228.0,328.0,556.0,1095.0,50.78
501611,Dolný Štál - Alistál,2,HU,10.4%,86.6%,0.0%,0.0%,501611.0,152.0,363.0,515.0,1625.0,31.69
501620,Hubice - Nemesgomba,2,HU,42.0%,56.1%,0.3%,0.0%,501620.0,189.0,147.0,336.0,540.0,62.22
501638,Hviezdoslavov,2,SK,85.0%,7.3%,0.0%,0.0%,501638.0,1296.0,604.0,1900.0,2667.0,71.24
501654,Jahodná - Pozsonyeperjes,2,HU,16.3%,80.5%,0.2%,0.0%,501654.0,235.0,229.0,464.0,1408.0,32.95
501662,Janíky - Jányok,2,HU,28.7%,68.6%,0.0%,0.0%,501662.0,239.0,204.0,443.0,773.0,57.31
501671,Jurová - Dercsika,2,HU,14.8%,82.7%,0.0%,0.0%,501671.0,63.0,109.0,172.0,411.0,41.85
501689,Kľúčovec - Kulcsod,2,HU,11.9%,84.3%,0.0%,0.0%,501689.0,29.0,97.0,126.0,293.0,43.0
501697,Kostolné Kračany - Egyházkarcsa,2,HU,11.4%,87.0%,0.0%,0.0%,501697.0,162.0,347.0,509.0,1215.0,41.89
501701,Kráľovičove Kračany - Királyfiakarcsa,2,HU,17.4%,77.3%,0.0%,0.0%,501701.0,147.0,211.0,358.0,940.0,38.09
501719,Kútniky - Hegyéte,2,HU,18.5%,77.2%,0.1%,0.0%,501719.0,222.0,290.0,512.0,1216.0,42.11
501727,Kvetoslavov,2,SK,79.1%,15.2%,0.0%,0.1%,501727.0,791.0,348.0,1139.0,1577.0,72.23
501735,Lehnice - Lég,2,SK,47.9%,46.9%,0.5%,0.1%,501735.0,668.0,750.0,1418.0,2637.0,53.77
501743,Lúč na Ostrove - Lúcs,2,HU,12.2%,85.7%,0.0%,0.0%,501743.0,91.0,147.0,238.0,629.0,37.84
501760,Medveďov - Medve,2,HU,16.7%,80.8%,0.0%,0.0%,501760.0,46.0,139.0,185.0,468.0,39.53
501778,Mierovo - Béke,2,HU,22.1%,73.0%,0.5%,0.0%,501778.0,108.0,89.0,197.0,372.0,52.96
501786,Michal na Ostrove - Szentmihályfa,2,HU,27.3%,67.2%,0.2%,0.0%,501786.0,187.0,266.0,453.0,921.0,49.19
501808,Nový Život - Illésháza,2,HU,28.5%,67.4%,1.4%,0.0%,501808.0,420.0,445.0,865.0,1852.0,46.71
501816,Ohrady - Csallóközkürt,2,HU,8.1%,90.7%,0.0%,0.0%,501816.0,158.0,288.0,446.0,1150.0,38.78
501824,Okoč - Ekecs,2,HU,10.2%,85.6%,0.3%,0.0%,501824.0,385.0,524.0,909.0,3130.0,29.04
501832,Oľdza - Olgya,2,SK,55.6%,41.7%,0.0%,0.2%,501832.0,179.0,142.0,321.0,493.0,65.11
501859,Orechová Potôň - Diósförgepatony,2,HU,19.5%,77.5%,0.3%,0.0%,501859.0,277.0,299.0,576.0,1446.0,39.83
501867,Padáň - Padány,2,HU,14.6%,82.9%,0.2%,0.0%,501867.0,78.0,197.0,275.0,743.0,37.01
501875,Sap - Szap,2,HU,12.4%,84.4%,0.0%,0.0%,501875.0,40.0,120.0,160.0,434.0,36.87
501883,Pataš - Csilizpatas,2,HU,15.5%,79.8%,2.7%,0.0%,501883.0,35.0,144.0,179.0,638.0,28.06
501891,Rohovce - Nagyszarva,2,HU,21.5%,74.7%,0.2%,0.0%,501891.0,180.0,184.0,364.0,890.0,40.9
501905,Šamorín - Somorja,2,HU,41.1%,49.5%,0.2%,0.0%,501905.0,3443.0,2509.0,5952.0,10846.0,54.88
501913,Štvrtok na Ostrove - Csallóközcsütörtök,2,HU,29.8%,67.2%,0.7%,0.0%,501913.0,332.0,325.0,657.0,1455.0,45.15
501921,Topoľníky - Nyárasd,2,HU,10.1%,86.5%,0.1%,0.0%,501921.0,250.0,610.0,860.0,2597.0,33.12
501930,Ňárad - Csiliznyárad,2,HU,7.4%,90.6%,0.0%,0.0%,501930.0,73.0,153.0,226.0,543.0,41.62
501956,Trnávka (DS) - Csallóköztárnok,2,HU,32.8%,63.2%,0.0%,0.2%,501956.0,93.0,140.0,233.0,443.0,52.6
501964,Trstená na Ostrove - Csallóköznádasd,2,HU,15.9%,82.7%,0.0%,0.0%,501964.0,103.0,137.0,240.0,528.0,45.45
501972,Veľká Paka - Nagypaka,2,SK,60.9%,36.5%,0.0%,0.1%,501972.0,304.0,242.0,546.0,861.0,63.41
501981,Veľké Blahovo - Nagyabony,2,HU,22.2%,66.3%,1.1%,0.1%,501981.0,172.0,297.0,469.0,1284.0,36.53
501999,Vojka nad Dunajom - Vajka,2,HU,33.9%,60.2%,0.0%,0.0%,501999.0,172.0,142.0,314.0,493.0,63.69
502006,Vrakúň - Nyékvárkony,2,HU,16.1%,79.1%,0.7%,0.0%,502006.0,287.0,551.0,838.0,2367.0,35.4
502014,Vydrany - Nemeshodos,2,HU,16.7%,77.5%,0.4%,0.0%,502014.0,226.0,323.0,549.0,1556.0,35.28
502022,Zlaté Klasy - Nagymagyar,2,SK,34.2%,32.0%,25.1%,0.0%,502022.0,306.0,496.0,802.0,2739.0,29.28
502031,Levice,4,SK,83.4%,8.3%,0.4%,0.0%,502031.0,8094.0,7396.0,15490.0,25642.0,60.41
502049,Bajka,4,SK,81.1%,9.5%,0.0%,0.0%,502049.0,30.0,63.0,93.0,240.0,38.75
502057,Bátovce,4,SK,93.4%,0.5%,0.2%,0.1%,502057.0,190.0,421.0,611.0,972.0,62.86
502065,Beša (LV) - Barsbese,4,SK,62.7%,29.6%,2.2%,0.2%,502065.0,80.0,179.0,259.0,521.0,49.71
502073,Bielovce - Ipolybél,4,HU,18.7%,77.3%,0.0%,0.0%,502073.0,17.0,66.0,83.0,180.0,46.11
502090,Bory - Bori,4,SK,71.0%,25.2%,0.0%,0.0%,502090.0,47.0,113.0,160.0,261.0,61.3
502103,Brhlovce,4,SK,98.3%,0.0%,0.0%,0.0%,502103.0,59.0,117.0,176.0,248.0,70.97
502111,Čajkov,4,SK,98.0%,0.4%,0.0%,0.0%,502111.0,246.0,308.0,554.0,765.0,72.42
502120,Čaka,4,SK,94.8%,1.1%,0.9%,0.0%,502120.0,87.0,268.0,355.0,613.0,57.91
502154,Demandice,4,SK,72.8%,18.3%,0.0%,0.0%,502154.0,178.0,197.0,375.0,716.0,52.37
502162,Devičany,4,SK,94.4%,0.5%,0.0%,0.0%,502162.0,96.0,159.0,255.0,347.0,73.49
502171,Dolná Seč,4,SK,88.2%,5.1%,1.1%,0.0%,502171.0,100.0,145.0,245.0,441.0,55.56
502189,Dolné Semerovce - Alsószemeréd,4,XR,24.4%,31.9%,36.9%,0.0%,502189.0,26.0,151.0,177.0,437.0,40.5
502197,Dolný Pial,4,SK,92.9%,2.4%,0.4%,0.0%,502197.0,160.0,271.0,431.0,744.0,57.93
502201,Domadice,4,SK,92.1%,0.8%,0.0%,0.0%,502201.0,59.0,85.0,144.0,218.0,66.06
502219,Drženice,4,SK,91.6%,0.8%,0.3%,0.0%,502219.0,78.0,145.0,223.0,331.0,67.37
502227,Farná - Farnad,4,HU,27.9%,64.0%,2.9%,0.0%,502227.0,108.0,342.0,450.0,1109.0,40.58
502243,Hokovce - Egeg,4,SK,57.6%,32.9%,0.0%,0.0%,502243.0,72.0,140.0,212.0,400.0,53.0
502251,Hontianska Vrbica - Hontfüzesgyarmat,4,SK,69.1%,25.2%,0.0%,0.0%,502251.0,90.0,149.0,239.0,474.0,50.42
502260,Horná Seč,4,SK,84.9%,12.8%,0.2%,0.2%,502260.0,195.0,146.0,341.0,487.0,70.02
502278,Horné Semerovce - Felsőszemeréd,4,SK,51.0%,38.2%,0.2%,0.0%,502278.0,86.0,148.0,234.0,486.0,48.15
502286,Horné Turovce - Felsőtúr,4,HU,38.4%,58.7%,0.7%,0.0%,502286.0,82.0,138.0,220.0,464.0,47.41
502294,Horný Pial - Felsőpél,4,SK,66.0%,26.9%,1.1%,0.0%,502294.0,48.0,71.0,119.0,238.0,50.0
502324,Hronovce - Lekér,4,SK,55.0%,37.7%,0.5%,0.0%,502324.0,148.0,358.0,506.0,1171.0,43.21
502332,Hronské Kľačany,4,SK,95.4%,0.6%,0.0%,0.0%,502332.0,388.0,417.0,805.0,1120.0,71.88
502341,Hronské Kosihy,4,SK,91.9%,1.1%,0.0%,0.0%,502341.0,178.0,197.0,375.0,619.0,60.58
502359,Iňa,4,SK,89.5%,3.5%,0.0%,0.0%,502359.0,44.0,87.0,131.0,182.0,71.98
502367,Ipeľské Úľany - Ipolyfödémes,4,HU,19.3%,78.5%,0.0%,0.0%,502367.0,36.0,75.0,111.0,221.0,50.23
502375,Ipeľský Sokolec - Ipolyszakállos,4,HU,30.6%,58.9%,3.6%,0.0%,502375.0,77.0,152.0,229.0,658.0,34.8
502383,Jabloňovce,4,SK,92.3%,0.0%,0.0%,0.0%,502383.0,58.0,96.0,154.0,205.0,75.12
502391,Jur nad Hronom - Garamszentgyörgy,4,SK,67.9%,25.8%,0.0%,0.1%,502391.0,160.0,281.0,441.0,796.0,55.4
502413,Kalná nad Hronom,4,SK,75.8%,10.2%,0.0%,0.0%,502413.0,455.0,495.0,950.0,1671.0,56.85
502421,Kozárovce,4,SK,93.9%,0.5%,0.8%,0.0%,502421.0,381.0,645.0,1026.0,1634.0,62.79
502430,Krškany,4,SK,94.6%,1.4%,0.0%,0.0%,502430.0,181.0,219.0,400.0,678.0,59.0
502448,Kubáňovo - Szete,4,HU,26.2%,70.3%,0.0%,0.0%,502448.0,33.0,66.0,99.0,218.0,45.41
502456,Kukučínov,4,SK,71.2%,16.5%,0.2%,0.0%,502456.0,57.0,128.0,185.0,446.0,41.48
502464,Kuraľany,4,SK,91.4%,3.8%,0.0%,0.0%,502464.0,74.0,206.0,280.0,406.0,68.97
502472,Keť - Érsekkéty,4,HU,13.2%,82.5%,0.0%,0.0%,502472.0,40.0,181.0,221.0,476.0,46.43
502481,Lok,4,SK,79.0%,8.2%,0.2%,0.0%,502481.0,120.0,276.0,396.0,840.0,47.14
502499,Lontov - Lontó,4,SK,46.8%,44.0%,2.9%,0.0%,502499.0,39.0,97.0,136.0,499.0,27.25
502502,Lula,4,SK,98.3%,1.1%,0.0%,0.0%,502502.0,15.0,86.0,101.0,148.0,68.24
502511,Málaš - Málas,4,SK,63.1%,27.1%,0.2%,0.2%,502511.0,54.0,126.0,180.0,410.0,43.9
502537,Malé Ludince - Kisölved,4,HU,15.9%,78.8%,0.0%,0.0%,502537.0,10.0,52.0,62.0,139.0,44.6
502570,Mýtne Ludany - Vámosladány,4,SK,67.0%,24.5%,0.1%,0.0%,502570.0,135.0,212.0,347.0,804.0,43.16
502588,Nová Dedina,4,SK,96.8%,0.7%,0.0%,0.1%,502588.0,352.0,493.0,845.0,1221.0,69.21
502596,Nový Tekov,4,SK,88.2%,5.4%,0.0%,0.0%,502596.0,214.0,280.0,494.0,748.0,66.04
502600,Nýrovce - Nyírágó,4,HU,36.9%,56.2%,0.0%,0.0%,502600.0,50.0,159.0,209.0,435.0,48.05
502618,Ondrejovce,4,SK,79.8%,15.0%,0.2%,0.0%,502618.0,94.0,118.0,212.0,349.0,60.74
502626,Pastovce - Ipolypásztó,4,HU,34.1%,60.0%,0.2%,0.0%,502626.0,47.0,113.0,160.0,427.0,37.47
