IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Korčok,Pellegrini,voted,voters,turnout
500429,Kostoľany pod Tribečom,344,48.4304673,18.2331271,500429.0,80.0,134.0,214.0,297.0,72.05
500437,Ladice - Barslédec,758,48.392138,18.2713903,500437.0,167.0,213.0,380.0,639.0,59.47
500453,Lehota,2382,48.3138935,17.9903629,500453.0,503.0,879.0,1382.0,1961.0,70.47
500461,Lovce,699,48.4623097,18.3563174,500461.0,114.0,302.0,416.0,577.0,72.1
500470,Lúčnica nad Žitavou,957,48.2120413,18.2733573,500470.0,153.0,390.0,543.0,822.0,66.06
500488,Lukáčovce,1167,48.3957958,17.9353151,500488.0,248.0,363.0,611.0,983.0,62.16
500500,Machulince,1101,48.4123979,18.4500759,500500.0,239.0,411.0,650.0,892.0,72.87
500518,Veľké Chyndice,338,48.2856616,18.2874085,500518.0,62.0,122.0,184.0,278.0,66.19
500534,Malé Zálužie,266,48.435782,17.9839318,500534.0,47.0,111.0,158.0,236.0,66.95
500542,Mankovce,528,48.421587,18.328842,500542.0,117.0,181.0,298.0,408.0,73.04
500551,Martin nad Žitavou,535,48.3940694,18.3551247,500551.0,110.0,209.0,319.0,470.0,67.87
500569,Melek,497,48.2021869,18.3321367,500569.0,116.0,197.0,313.0,453.0,69.09
500577,Mojmírovce,2922,48.2011947,18.0644879,500577.0,472.0,914.0,1386.0,2364.0,58.63
500585,Nemčiňany,654,48.3019881,18.4497633,500585.0,107.0,253.0,360.0,541.0,66.54
500593,Neverice,692,48.3650626,18.2784108,500593.0,109.0,271.0,380.0,553.0,68.72
500607,Nevidzany (ZM),583,48.2828559,18.3786424,500607.0,134.0,210.0,344.0,484.0,71.07
500631,Nová Ves nad Žitavou,1338,48.2853228,18.3239076,500631.0,250.0,507.0,757.0,1115.0,67.89
500640,Nové Sady,1296,48.4206989,17.9625527,500640.0,265.0,543.0,808.0,1071.0,75.44
500658,Obyce,1510,48.4305965,18.4912106,500658.0,281.0,561.0,842.0,1224.0,68.79
500666,Paňa,392,48.2321714,18.2364409,500666.0,103.0,131.0,234.0,342.0,68.42
500674,Podhorany (NR),1085,48.3724626,18.118279,500674.0,275.0,367.0,642.0,960.0,66.88
500682,Pohranice - Pográny,1112,48.3292585,18.1759353,500682.0,234.0,352.0,586.0,939.0,62.41
500691,Poľný Kesov,654,48.1619884,18.0493375,500691.0,134.0,248.0,382.0,561.0,68.09
500704,Rišňovce,2096,48.3612489,17.9079129,500704.0,438.0,761.0,1199.0,1720.0,69.71
500712,Rumanová,821,48.3372973,17.8722082,500712.0,153.0,350.0,503.0,708.0,71.05
500721,Skýcov,948,48.5144718,18.4449515,500721.0,125.0,418.0,543.0,776.0,69.97
500739,Močenok,4356,48.2125064,17.9389261,500739.0,876.0,1290.0,2166.0,3497.0,61.94
500747,Sľažany,1712,48.3854542,18.3250169,500747.0,331.0,658.0,989.0,1382.0,71.56
500755,Slepčany,813,48.3073565,18.3325277,500755.0,161.0,330.0,491.0,679.0,72.31
500780,Šurianky,588,48.4131248,18.0275581,500780.0,131.0,245.0,376.0,490.0,76.73
500798,Tajná,275,48.2618137,18.3674446,500798.0,59.0,114.0,173.0,235.0,73.62
500810,Tesárske Mlyňany,1761,48.3419313,18.3598803,500810.0,320.0,606.0,926.0,1390.0,66.62
500828,Topoľčianky,2704,48.4496145,18.3991927,500828.0,638.0,886.0,1524.0,2169.0,70.26
500836,Velčice,851,48.4437958,18.2807966,500836.0,149.0,331.0,480.0,691.0,69.46
500844,Veľká Dolina,683,48.1786892,18.0134097,500844.0,118.0,269.0,387.0,587.0,65.93
500887,Veľké Zálužie,4350,48.3119222,17.9389566,500887.0,971.0,1266.0,2237.0,3460.0,64.65
500895,Veľký Cetín - Nagycétény,1626,48.225392,18.1970849,500895.0,373.0,358.0,731.0,1353.0,54.03
500909,Vieska nad Žitavou,463,48.3178919,18.3554573,500909.0,78.0,175.0,253.0,359.0,70.47
500917,Vinodol,2061,48.189896,18.2144296,500917.0,327.0,637.0,964.0,1542.0,62.52
500925,Volkovce,1013,48.3412547,18.466489,500925.0,184.0,356.0,540.0,832.0,64.9
500933,Vráble,8593,48.2426443,18.3114002,500933.0,1883.0,2710.0,4593.0,6884.0,66.72
500941,Výčapy-Opatovce,2197,48.4151188,18.0745855,500941.0,567.0,633.0,1200.0,1731.0,69.32
500950,Zbehy,2222,48.3662476,18.0001247,500950.0,452.0,794.0,1246.0,1839.0,67.75
500968,Zlaté Moravce,11946,48.3756252,18.3982496,500968.0,2358.0,3694.0,6052.0,9687.0,62.48
500976,Zlatno (ZM),211,48.4663634,18.3113504,500976.0,21.0,113.0,134.0,182.0,73.63
500984,Žikava,528,48.4545141,18.3809451,500984.0,86.0,211.0,297.0,432.0,68.75
500992,Žirany - Zsére,1360,48.3790657,18.1762059,500992.0,312.0,330.0,642.0,1117.0,57.48
501018,Žitavce,412,48.1906958,18.3152051,501018.0,64.0,162.0,226.0,358.0,63.13
501026,Komárno - Komárom,32967,47.7854073,18.1018126,501026.0,5017.0,6281.0,11298.0,26603.0,42.47
501034,Bajč - Bajcs,1223,47.929,18.2267971,501034.0,222.0,249.0,471.0,1004.0,46.91
501042,Bodza - Bogya,381,47.8483476,17.8526635,501042.0,22.0,84.0,106.0,312.0,33.97
501069,Brestovec (KN) - Szilas,485,47.8760369,17.8354078,501069.0,25.0,112.0,137.0,411.0,33.33
501077,Búč - Búcs,1148,47.8032691,18.4692484,501077.0,63.0,304.0,367.0,949.0,38.67
501085,Čalovec - Megyercs,1114,47.8360003,17.967073,501085.0,107.0,296.0,403.0,930.0,43.33
501093,Číčov - Csicsó,1231,47.7832232,17.7581597,501093.0,68.0,261.0,329.0,1013.0,32.48
501107,Dedina Mládeže - Ifjúságfalva,438,47.9528371,17.989867,501107.0,39.0,110.0,149.0,347.0,42.94
501115,Svätý Peter - Komáromszentpéter,2735,47.8347701,18.2318868,501115.0,272.0,655.0,927.0,2232.0,41.53
501123,Dulovce,1648,47.873165,18.2675265,501123.0,210.0,422.0,632.0,1291.0,48.95
501140,Hurbanovo - Ógyalla,7467,47.8673848,18.189955,501140.0,1233.0,1637.0,2870.0,5896.0,48.68
501158,Chotín - Hetény,1375,47.8104386,18.2279099,501158.0,101.0,330.0,431.0,1168.0,36.9
501166,Imeľ - Ímely,1982,47.8960651,18.1332512,501166.0,406.0,407.0,813.0,1704.0,47.71
501174,Iža - Izsa,1781,47.7642938,18.2296398,501174.0,191.0,417.0,608.0,1422.0,42.76
501182,Kameničná - Keszegfalva,1934,47.8425925,18.0068291,501182.0,156.0,395.0,551.0,1543.0,35.71
501191,Klížska Nemá - Kolozsnéma,449,47.7560045,17.833828,501191.0,25.0,112.0,137.0,357.0,38.38
501204,Kolárovo - Gúta,10572,47.968649,18.0145144,501204.0,914.0,1977.0,2891.0,8554.0,33.8
501212,Kravany nad Dunajom - Karva,718,47.7737494,18.4825165,501212.0,67.0,170.0,237.0,585.0,40.51
501221,Lipové,142,47.8457766,17.871058,501221.0,59.0,39.0,98.0,129.0,75.97
501239,Marcelová - Marcelháza,3802,47.7916157,18.2889398,501239.0,241.0,714.0,955.0,3047.0,31.34
501247,Martovce - Martos,694,47.8640466,18.1094253,501247.0,36.0,152.0,188.0,585.0,32.14
501255,Moča - Dunamocs,1132,47.7729754,18.4084843,501255.0,74.0,257.0,331.0,938.0,35.29
501263,Modrany - Madar,1315,47.8170837,18.3551084,501263.0,40.0,179.0,219.0,1065.0,20.56
501271,Mudroňovo,124,47.8299536,18.3220448,501271.0,5.0,42.0,47.0,97.0,48.45
501280,Nesvady - Naszvad,5014,47.9271767,18.1048316,501280.0,737.0,851.0,1588.0,3968.0,40.02
501301,Okoličná na Ostrove - Ekel,1440,47.8157165,17.9235321,501301.0,80.0,295.0,375.0,1196.0,31.35
501310,Patince - Pat,527,47.7439357,18.2920231,501310.0,58.0,172.0,230.0,475.0,48.42
501328,Pribeta - Perbete,2745,47.9005598,18.3140815,501328.0,291.0,531.0,822.0,2258.0,36.4
501336,Radvaň nad Dunajom - Dunaradvány,711,47.7599096,18.3557923,501336.0,86.0,177.0,263.0,613.0,42.9
501344,Sokolce - Lakszakállas,1203,47.8772367,17.8624852,501344.0,70.0,210.0,280.0,989.0,28.31
501352,Šrobárová,505,47.8052235,18.3220504,501352.0,93.0,177.0,270.0,413.0,65.38
501361,Tôň - Tany,737,47.8030855,17.8276298,501361.0,54.0,153.0,207.0,631.0,32.81
501379,Trávnik - Komáromfüss,683,47.7675602,17.7942617,501379.0,39.0,161.0,200.0,568.0,35.21
501387,Veľké Kosihy - Nagykeszi,945,47.7673067,17.8830318,501387.0,89.0,197.0,286.0,801.0,35.71
501395,Bátorove Kosihy - Bátorkeszi,3323,47.8396073,18.4041733,501395.0,167.0,689.0,856.0,2720.0,31.47
501409,Vrbová nad Váhom - Vágfüzes,543,47.8539933,18.0594026,501409.0,48.0,133.0,181.0,466.0,38.84
501417,Zemianska Olča - Nemesócsa,2317,47.8287121,17.883916,501417.0,177.0,329.0,506.0,1901.0,26.62
501425,Zlatná na Ostrove - Csallóközaranyos,2428,47.7742499,17.9624712,501425.0,115.0,457.0,572.0,2038.0,28.07
501433,Dunajská Streda - Dunaszerdahely,23044,48.0152783,17.6312798,501433.0,3722.0,3957.0,7679.0,19078.0,40.25
501441,Báč - Bacsfa,546,48.0074168,17.3758017,501441.0,118.0,134.0,252.0,472.0,53.39
501450,Baka - Baka,1136,47.8919146,17.5203255,501450.0,150.0,260.0,410.0,982.0,41.75
501468,Baloň - Balony,720,47.8426503,17.6546568,501468.0,63.0,204.0,267.0,656.0,40.7
501484,Blahová - Sárrét,360,48.0938924,17.5530887,501484.0,115.0,127.0,242.0,392.0,61.73
501492,Blatná na Ostrove - Sárosfa,981,47.9675052,17.4524126,501492.0,190.0,185.0,375.0,818.0,45.84
501506,Boheľov - Bögellő,343,47.9051435,17.6962805,501506.0,47.0,75.0,122.0,305.0,40.0
501514,Čakany - Pozsonycsákány,651,48.1153643,17.373445,501514.0,170.0,116.0,286.0,503.0,56.86
501522,Veľký Meder - Nagymegyer,8446,47.8577623,17.7490698,501522.0,762.0,1413.0,2175.0,6894.0,31.55
501531,Čiližská Radvaň - Csilizradvány,1175,47.8315833,17.7061411,501531.0,93.0,175.0,268.0,967.0,27.71
501549,Dobrohošť - Doborgaz,517,47.986708,17.3618509,501549.0,149.0,131.0,280.0,465.0,60.22
501557,Dolný Bar - Albár,819,47.9657611,17.7029015,501557.0,144.0,237.0,381.0,821.0,46.41
501573,Gabčíkovo - Bős,5232,47.8755834,17.5824056,501573.0,595.0,1070.0,1665.0,4282.0,38.88
501581,Holice - Egyházgelle,2144,47.9896172,17.4776484,501581.0,285.0,494.0,779.0,1747.0,44.59
501590,Horná Potôň - Felsőpatony,2114,48.0586086,17.529611,501590.0,381.0,479.0,860.0,1851.0,46.46
501603,Horný Bar - Felbár,1244,47.9459343,17.46176,501603.0,228.0,328.0,556.0,1095.0,50.78
501611,Dolný Štál - Alistál,1908,47.9348569,17.7373169,501611.0,152.0,363.0,515.0,1625.0,31.69
501620,Hubice - Nemesgomba,626,48.0957629,17.3981366,501620.0,189.0,147.0,336.0,540.0,62.22
501638,Hviezdoslavov,2472,48.0713267,17.3556563,501638.0,1296.0,604.0,1900.0,2667.0,71.24
501654,Jahodná - Pozsonyeperjes,1654,48.0467292,17.7189146,501654.0,235.0,229.0,464.0,1408.0,32.95
501662,Janíky - Jányok,915,48.1436946,17.4027415,501662.0,239.0,204.0,443.0,773.0,57.31
501671,Jurová - Dercsika,480,47.935046,17.5274187,501671.0,63.0,109.0,172.0,411.0,41.85
501689,Kľúčovec - Kulcsod,362,47.7871753,17.7097084,501689.0,29.0,97.0,126.0,293.0,43.0
501697,Kostolné Kračany - Egyházkarcsa,1419,47.9696754,17.5750086,501697.0,162.0,347.0,509.0,1215.0,41.89
501701,Kráľovičove Kračany - Királyfiakarcsa,1093,47.9798488,17.5478317,501701.0,147.0,211.0,358.0,940.0,38.09
501719,Kútniky - Hegyéte,1466,47.9770338,17.6669565,501719.0,222.0,290.0,512.0,1216.0,42.11
501727,Kvetoslavov,1744,48.051478,17.3385232,501727.0,791.0,348.0,1139.0,1577.0,72.23
501735,Lehnice - Lég,2965,48.0559811,17.4606648,501735.0,668.0,750.0,1418.0,2637.0,53.77
501743,Lúč na Ostrove - Lúcs,711,47.9652393,17.5120216,501743.0,91.0,147.0,238.0,629.0,37.84
501760,Medveďov - Medve,532,47.7981282,17.6727199,501760.0,46.0,139.0,185.0,468.0,39.53
501778,Mierovo - Béke,444,48.0650681,17.3915571,501778.0,108.0,89.0,197.0,372.0,52.96
501786,Michal na Ostrove - Szentmihályfa,1031,48.0434571,17.5420091,501786.0,187.0,266.0,453.0,921.0,49.19
501808,Nový Život - Illésháza,2306,48.1141019,17.4827096,501808.0,420.0,445.0,865.0,1852.0,46.71
501816,Ohrady - Csallóközkürt,1359,48.0029355,17.7064239,501816.0,158.0,288.0,446.0,1150.0,38.78
501824,Okoč - Ekecs,3704,47.9125061,17.8197288,501824.0,385.0,524.0,909.0,3130.0,29.04
501832,Oľdza - Olgya,559,48.0826234,17.4226667,501832.0,179.0,142.0,321.0,493.0,65.11
501859,Orechová Potôň - Diósförgepatony,1705,48.0835374,17.6655532,501859.0,277.0,299.0,576.0,1446.0,39.83
501867,Padáň - Padány,912,47.9166057,17.6715416,501867.0,78.0,197.0,275.0,743.0,37.01
501875,Sap - Szap,508,47.8214388,17.6054715,501875.0,40.0,120.0,160.0,434.0,36.87
501883,Pataš - Csilizpatas,808,47.8695798,17.6648134,501883.0,35.0,144.0,179.0,638.0,28.06
501891,Rohovce - Nagyszarva,1108,47.9773255,17.4170938,501891.0,180.0,184.0,364.0,890.0,40.9
501905,Šamorín - Somorja,13628,48.0195397,17.3119962,501905.0,3443.0,2509.0,5952.0,10846.0,54.88
501913,Štvrtok na Ostrove - Csallóközcsütörtök,1714,48.1016468,17.3428251,501913.0,332.0,325.0,657.0,1455.0,45.15
501921,Topoľníky - Nyárasd,3116,47.9651673,17.8078449,501921.0,250.0,610.0,860.0,2597.0,33.12
501930,Ňárad - Csiliznyárad,631,47.8343171,17.6248801,501930.0,73.0,153.0,226.0,543.0,41.62
501956,Trnávka (DS) - Csallóköztárnok,522,48.0166356,17.4035745,501956.0,93.0,140.0,233.0,443.0,52.6
501964,Trstená na Ostrove - Csallóköznádasd,578,47.919986,17.5048588,501964.0,103.0,137.0,240.0,528.0,45.45
501972,Veľká Paka - Nagypaka,984,48.0411995,17.3999255,501972.0,304.0,242.0,546.0,861.0,63.41
501981,Veľké Blahovo - Nagyabony,1589,48.0396333,17.5946333,501981.0,172.0,297.0,469.0,1284.0,36.53
501999,Vojka nad Dunajom - Vajka,460,47.9585632,17.3986569,501999.0,172.0,142.0,314.0,493.0,63.69
502006,Vrakúň - Nyékvárkony,2794,47.9277845,17.6111218,502006.0,287.0,551.0,838.0,2367.0,35.4
502014,Vydrany - Nemeshodos,1783,48.0434315,17.6226549,502014.0,226.0,323.0,549.0,1556.0,35.28
502022,Zlaté Klasy - Nagymagyar,3611,48.1307668,17.4371825,502022.0,306.0,496.0,802.0,2739.0,29.28
502031,Levice,31974,48.2015586,18.6456576,502031.0,8094.0,7396.0,15490.0,25642.0,60.41
502049,Bajka,328,48.1540918,18.5039444,502049.0,30.0,63.0,93.0,240.0,38.75
502057,Bátovce,1184,48.285921,18.7745383,502057.0,190.0,421.0,611.0,972.0,62.86
502065,Beša (LV) - Barsbese,635,48.1489447,18.4036671,502065.0,80.0,179.0,259.0,521.0,49.71
502073,Bielovce - Ipolybél,225,47.9940106,18.7630454,502073.0,17.0,66.0,83.0,180.0,46.11
502090,Bory - Bori,321,48.1912714,18.7506377,502090.0,47.0,113.0,160.0,261.0,61.3
502103,Brhlovce,296,48.220809,18.7374659,502103.0,59.0,117.0,176.0,248.0,70.97
502111,Čajkov,957,48.3133584,18.6115083,502111.0,246.0,308.0,554.0,765.0,72.42
502120,Čaka,743,48.0385693,18.4715534,502120.0,87.0,268.0,355.0,613.0,57.91
502154,Demandice,966,48.1217221,18.7877203,502154.0,178.0,197.0,375.0,716.0,52.37
502162,Devičany,408,48.3249928,18.6858253,502162.0,96.0,159.0,255.0,347.0,73.49
502171,Dolná Seč,525,48.1854622,18.5670624,502171.0,100.0,145.0,245.0,441.0,55.56
502189,Dolné Semerovce - Alsószemeréd,540,48.1117519,18.8501568,502189.0,26.0,151.0,177.0,437.0,40.5
502197,Dolný Pial,911,48.1302405,18.4626281,502197.0,160.0,271.0,431.0,744.0,57.93
502201,Domadice,242,48.1827525,18.7818986,502201.0,59.0,85.0,144.0,218.0,66.06
502219,Drženice,382,48.2759693,18.6956911,502219.0,78.0,145.0,223.0,331.0,67.37
502227,Farná - Farnad,1349,48.0085269,18.5070662,502227.0,108.0,342.0,450.0,1109.0,40.58
502243,Hokovce - Egeg,505,48.1573425,18.8472574,502243.0,72.0,140.0,212.0,400.0,53.0
502251,Hontianska Vrbica - Hontfüzesgyarmat,611,48.1391025,18.7137802,502251.0,90.0,149.0,239.0,474.0,50.42
502260,Horná Seč,570,48.2048806,18.5478381,502260.0,195.0,146.0,341.0,487.0,70.02
502278,Horné Semerovce - Felsőszemeréd,641,48.1306331,18.8601928,502278.0,86.0,148.0,234.0,486.0,48.15
502286,Horné Turovce - Felsőtúr,567,48.1264675,18.9578031,502286.0,82.0,138.0,220.0,464.0,47.41
502294,Horný Pial - Felsőpél,268,48.156659,18.4460754,502294.0,48.0,71.0,119.0,238.0,50.0
502324,Hronovce - Lekér,1486,48.0044629,18.6433244,502324.0,148.0,358.0,506.0,1171.0,43.21
502332,Hronské Kľačany,1401,48.2384195,18.5767159,502332.0,388.0,417.0,805.0,1120.0,71.88
502341,Hronské Kosihy,742,48.2676996,18.5900629,502341.0,178.0,197.0,375.0,619.0,60.58
502359,Iňa,229,48.1805866,18.4229078,502359.0,44.0,87.0,131.0,182.0,71.98
502367,Ipeľské Úľany - Ipolyfödémes,274,48.1335396,19.0362293,502367.0,36.0,75.0,111.0,221.0,50.23
502375,Ipeľský Sokolec - Ipolyszakállos,829,48.0150296,18.7914505,502375.0,77.0,152.0,229.0,658.0,34.8
502383,Jabloňovce,209,48.329793,18.7963846,502383.0,58.0,96.0,154.0,205.0,75.12
502391,Jur nad Hronom - Garamszentgyörgy,983,48.1286867,18.6236215,502391.0,160.0,281.0,441.0,796.0,55.4
502413,Kalná nad Hronom,2073,48.1948924,18.5141226,502413.0,455.0,495.0,950.0,1671.0,56.85
502421,Kozárovce,2082,48.3098349,18.5003008,502421.0,381.0,645.0,1026.0,1634.0,62.79
502430,Krškany,791,48.2226679,18.6768625,502430.0,181.0,219.0,400.0,678.0,59.0
502448,Kubáňovo - Szete,256,48.0579444,18.8047845,502448.0,33.0,66.0,99.0,218.0,45.41
502456,Kukučínov,587,48.0892038,18.6961073,502456.0,57.0,128.0,185.0,446.0,41.48
502464,Kuraľany,475,47.9850749,18.5549958,502464.0,74.0,206.0,280.0,406.0,68.97
502472,Keť - Érsekkéty,577,47.9631837,18.5842631,502472.0,40.0,181.0,221.0,476.0,46.43
502481,Lok,1073,48.1766854,18.4719169,502481.0,120.0,276.0,396.0,840.0,47.14
502499,Lontov - Lontó,662,48.0442283,18.7705648,502499.0,39.0,97.0,136.0,499.0,27.25
502502,Lula,175,48.1713067,18.3647392,502502.0,15.0,86.0,101.0,148.0,68.24
502511,Málaš - Málas,480,48.052993,18.5175711,502511.0,54.0,126.0,180.0,410.0,43.9
502537,Malé Ludince - Kisölved,170,47.9840336,18.7003524,502537.0,10.0,52.0,62.0,139.0,44.6
502570,Mýtne Ludany - Vámosladány,980,48.1632565,18.6630738,502570.0,135.0,212.0,347.0,804.0,43.16
502588,Nová Dedina,1456,48.2820002,18.648134,502588.0,352.0,493.0,845.0,1221.0,69.21
502596,Nový Tekov,897,48.2406723,18.4899514,502596.0,214.0,280.0,494.0,748.0,66.04
502600,Nýrovce - Nyírágó,520,48.0188,18.5702234,502600.0,50.0,159.0,209.0,435.0,48.05
502618,Ondrejovce,440,48.1340791,18.5218633,502618.0,94.0,118.0,212.0,349.0,60.74
502626,Pastovce - Ipolypásztó,495,47.9631252,18.7427598,502626.0,47.0,113.0,160.0,427.0,37.47
502634,Pečenice,127,48.2982687,18.7947932,502634.0,50.0,52.0,102.0,122.0,83.61
502642,Plášťovce - Palást,1504,48.1640353,18.9985102,502642.0,180.0,359.0,539.0,1242.0,43.4
502651,Plavé Vozokany,774,48.0741519,18.4660978,502651.0,80.0,223.0,303.0,585.0,51.79
502669,Podlužany (LV),764,48.2480241,18.6192095,502669.0,192.0,255.0,447.0,623.0,71.75
502677,Pohronský Ruskov - Oroszka,1241,47.9760591,18.6463273,502677.0,102.0,302.0,404.0,991.0,40.77
502693,Pukanec,1777,48.3641781,18.7190863,502693.0,336.0,683.0,1019.0,1575.0,64.7
502707,Rybník (LV),1406,48.3107223,18.5690294,502707.0,304.0,511.0,815.0,1158.0,70.38
502715,Santovka,659,48.1552027,18.7742805,502715.0,156.0,241.0,397.0,616.0,64.45
502723,Sazdice - Százd,465,48.0861412,18.7940008,502723.0,59.0,82.0,141.0,351.0,40.17
502731,Sikenica - Peszektergenye,627,48.0665863,18.7248964,502731.0,64.0,121.0,185.0,510.0,36.27
502740,Slatina - Szalatnya,312,48.1478248,18.9063885,502740.0,23.0,49.0,72.0,242.0,29.75
502758,Starý Hrádok,207,48.1552981,18.6338031,502758.0,47.0,36.0,83.0,168.0,49.4
502766,Starý Tekov,1495,48.2440255,18.5508455,502766.0,445.0,478.0,923.0,1264.0,73.02
502782,Šahy - Ipolyság,7267,48.0795055,18.9560404,502782.0,943.0,1455.0,2398.0,5747.0,41.73
502791,Šalov - Garamsalló,352,48.0133238,18.7193487,502791.0,6.0,58.0,64.0,264.0,24.24
502804,Šarovce - Sáró,1606,48.0993094,18.6214513,502804.0,142.0,254.0,396.0,1276.0,31.03
502812,Tehla,465,48.1960433,18.3817747,502812.0,69.0,140.0,209.0,384.0,54.43
502821,Tekovské Lužany - Nagysalló,2843,48.0915389,18.5393228,502821.0,385.0,619.0,1004.0,2258.0,44.46
502847,Tekovský Hrádok - Barsvárad,380,48.1650499,18.5459111,502847.0,43.0,110.0,153.0,316.0,48.42
502863,Tlmače,3637,48.2893445,18.5300325,502863.0,731.0,1127.0,1858.0,2929.0,63.43
502871,Tupá - Kistompa,568,48.1190811,18.9065985,502871.0,108.0,172.0,280.0,474.0,59.07
502880,Turá - Tőre,215,48.1450323,18.5751109,502880.0,15.0,75.0,90.0,189.0,47.62
502898,Uhliská,180,48.3942245,18.7445907,502898.0,29.0,82.0,111.0,173.0,64.16
502910,Veľké Ludince - Nagyölved,1464,47.9622892,18.5008994,502910.0,120.0,325.0,445.0,1234.0,36.06
502928,Veľké Turovce - Nagytúr,742,48.1034726,18.9560439,502928.0,115.0,219.0,334.0,642.0,52.02
502936,Veľký Ďur,1319,48.2118034,18.4400194,502936.0,257.0,375.0,632.0,1071.0,59.01
502944,Vyškovce nad Ipľom - Ipolyvisk,655,48.074519,18.8535623,502944.0,52.0,165.0,217.0,540.0,40.19
502952,Vyšné nad Hronom - Nagyod,175,48.168227,18.5916882,502952.0,27.0,47.0,74.0,146.0,50.68
502961,Zalaba - Zalaba,141,47.962197,18.7038533,502961.0,21.0,40.0,61.0,111.0,54.95
502979,Zbrojníky - Kétfegyvernek,498,48.1111761,18.7095785,502979.0,88.0,123.0,211.0,414.0,50.97
502987,Želiezovce - Zselíz,6756,48.050115,18.6319535,502987.0,1212.0,1476.0,2688.0,5640.0,47.66
502995,Žemberovce,1229,48.2536652,18.7571984,502995.0,241.0,399.0,640.0,1007.0,63.56
503002,Žemliare - Zsemlér,150,48.1503477,18.6080309,503002.0,11.0,54.0,65.0,128.0,50.78
503011,Nové Zámky - Érsekújvár,37791,47.993465,18.1638947,503011.0,9371.0,8137.0,17508.0,30269.0,57.84
503029,Andovce - Andód,1623,47.9897037,18.0908741,503029.0,445.0,404.0,849.0,1408.0,60.3
503037,Bajtava - Bajta,392,47.8532363,18.7428778,503037.0,18.0,103.0,121.0,303.0,39.93
503045,Bánov,3697,48.0454256,18.1920799,503045.0,742.0,1160.0,1902.0,2898.0,65.63
503053,Bardoňovo - Barsbaracska,682,48.1124403,18.4233609,503053.0,119.0,192.0,311.0,592.0,52.53
503061,Belá (NZ) - Béla,325,47.8294505,18.5844522,503061.0,29.0,115.0,144.0,293.0,49.15
503070,Bešeňov - Zsitvabesenyő,1621,48.0450705,18.2717944,503070.0,285.0,272.0,557.0,1323.0,42.1
503088,Bíňa - Bény,1433,47.9246837,18.6366902,503088.0,86.0,336.0,422.0,1178.0,35.82
503096,Branovo,579,48.0229068,18.30593,503096.0,152.0,176.0,328.0,489.0,67.08
503100,Bruty - Bart,578,47.9169381,18.5723279,503100.0,38.0,119.0,157.0,486.0,32.3
