IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Korčok,Pellegrini,voted,voters,turnout
500011,Nitra,78489,48.3008691,18.0861155,500011.0,21859.0,20291.0,42150.0,63235.0,66.66
500020,Alekšince,1699,48.3553515,17.9560658,500020.0,245.0,652.0,897.0,1474.0,60.85
500046,Báb,1195,48.2995085,17.8772558,500046.0,210.0,417.0,627.0,989.0,63.4
500062,Beladice,1666,48.3391457,18.2901583,500062.0,314.0,596.0,910.0,1369.0,66.47
500071,Branč,2168,48.2136214,18.145517,500071.0,551.0,570.0,1121.0,1822.0,61.53
500101,Čakajovce,1163,48.3731662,18.0398708,500101.0,240.0,382.0,622.0,938.0,66.31
500127,Čaradice,512,48.3697463,18.5053147,500127.0,104.0,154.0,258.0,414.0,62.32
500135,Čeľadice,1078,48.3174988,18.2450801,500135.0,199.0,369.0,568.0,881.0,64.47
500151,Čierne Kľačany,1168,48.3564351,18.4482756,500151.0,227.0,431.0,658.0,936.0,70.3
500160,Čifáre,596,48.2422969,18.4037826,500160.0,87.0,185.0,272.0,503.0,54.08
500194,Dolné Obdokovce - Alsóbodok,1140,48.3063621,18.2164425,500194.0,311.0,229.0,540.0,924.0,58.44
500232,Golianovo,1892,48.2678523,18.2073347,500232.0,433.0,644.0,1077.0,1521.0,70.81
500241,Hájske,1346,48.2576534,17.8732145,500241.0,269.0,430.0,699.0,1085.0,64.42
500267,Záhorie (vojenský obvod),147,48.3298547,17.1472567,500267.0,17.0,62.0,79.0,128.0,61.72
500283,Hostie,1209,48.4643536,18.4412699,500283.0,232.0,449.0,681.0,965.0,70.57
500305,Hosťovce (ZM),750,48.4420484,18.3458862,500305.0,116.0,283.0,399.0,578.0,69.03
500313,Hruboňovo,526,48.4465253,18.026133,500313.0,129.0,195.0,324.0,464.0,69.83
500321,Choča,501,48.3548663,18.3253193,500321.0,65.0,190.0,255.0,403.0,63.28
500348,Zubák,829,49.151216,18.186276,500348.0,137.0,293.0,430.0,707.0,60.82
500356,Jarok,2065,48.2713441,17.9611337,500356.0,527.0,649.0,1176.0,1712.0,68.69
500364,Jedľové Kostoľany,887,48.4783589,18.5045939,500364.0,185.0,358.0,543.0,820.0,66.22
500372,Jelenec - Gímes,2075,48.3915438,18.2179182,500372.0,528.0,554.0,1082.0,1760.0,61.48
500381,Jelšovce,988,48.3850455,18.0621678,500381.0,221.0,282.0,503.0,818.0,61.49
500399,Kapince,184,48.4503322,17.9729479,500399.0,31.0,84.0,115.0,153.0,75.16
500402,Klasov - Kalász,1426,48.2677543,18.2581438,500402.0,312.0,326.0,638.0,1034.0,61.7
500411,Kolíňany - Kolon,1551,48.3525799,18.2196557,500411.0,417.0,320.0,737.0,1254.0,58.77
