IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate,obec_code,víťaz,Korčok,Pellegrini
500011,Nitra,4,SK,90.7%,1.0%,0.1%,0.0%,500011.0,Pellegrini,5.82,94.18
500020,Alekšince,4,SK,91.3%,0.4%,0.1%,0.0%,500020.0,Pellegrini,25.0,75.0
500046,Báb,4,SK,95.5%,0.3%,0.0%,0.0%,500046.0,Korčok,0.0,0.0
500062,Beladice,4,SK,91.4%,0.6%,1.3%,0.0%,500062.0,Pellegrini,20.0,80.0
500071,Branč,4,SK,83.2%,13.8%,0.3%,0.0%,500071.0,Pellegrini,25.0,75.0
500101,Čakajovce,4,SK,93.6%,0.2%,0.3%,0.0%,500101.0,Pellegrini,0.0,100.0
500127,Čaradice,4,SK,92.0%,0.4%,0.0%,0.0%,500127.0,Korčok,50.0,50.0
500135,Čeľadice,4,SK,95.7%,1.2%,0.1%,0.0%,500135.0,Pellegrini,0.0,100.0
500151,Čierne Kľačany,4,SK,98.1%,0.3%,0.1%,0.1%,500151.0,Pellegrini,7.69,92.31
500160,Čifáre,4,SK,78.5%,17.1%,0.0%,0.0%,500160.0,Korčok,50.0,50.0
500194,Dolné Obdokovce - Alsóbodok,4,SK,49.9%,45.9%,0.0%,0.0%,500194.0,Pellegrini,33.33,66.67
500232,Golianovo,4,SK,96.4%,1.0%,0.0%,0.1%,500232.0,Pellegrini,11.11,88.89
500241,Hájske,4,SK,91.0%,0.8%,0.3%,0.1%,500241.0,Pellegrini,25.0,75.0
500267,Záhorie (vojenský obvod),1,SK,90.5%,0.0%,0.0%,0.0%,500267.0,Pellegrini,0.0,100.0
500283,Hostie,4,SK,97.4%,0.0%,0.0%,0.0%,500283.0,Pellegrini,25.0,75.0
500305,Hosťovce (ZM),4,SK,93.9%,0.4%,0.0%,0.0%,500305.0,Korčok,66.67,33.33
500313,Hruboňovo,4,SK,95.4%,0.0%,0.0%,0.0%,500313.0,Pellegrini,0.0,100.0
500321,Choča,4,SK,94.2%,0.0%,1.6%,0.0%,500321.0,Pellegrini,0.0,100.0
500348,Zubák,3,SK,98.1%,0.0%,0.0%,0.0%,500348.0,Pellegrini,22.22,77.78
500356,Jarok,4,SK,96.4%,0.4%,0.0%,0.0%,500356.0,Pellegrini,0.0,100.0
500364,Jedľové Kostoľany,4,SK,97.3%,0.0%,0.0%,0.0%,500364.0,Pellegrini,33.33,66.67
500372,Jelenec - Gímes,4,SK,72.0%,21.7%,0.0%,0.0%,500372.0,Pellegrini,0.0,100.0
500381,Jelšovce,4,SK,94.2%,1.4%,0.1%,0.0%,500381.0,Korčok,66.67,33.33
500399,Kapince,4,SK,98.4%,1.1%,0.0%,0.5%,500399.0,Korčok,0.0,0.0
500402,Klasov - Kalász,4,SK,67.7%,23.1%,0.0%,0.0%,500402.0,Pellegrini,33.33,66.67
500411,Kolíňany - Kolon,4,SK,56.7%,39.4%,0.0%,0.0%,500411.0,Pellegrini,0.0,100.0
500429,Kostoľany pod Tribečom,4,SK,96.5%,2.0%,0.0%,0.0%,500429.0,Korčok,0.0,0.0
500437,Ladice - Barslédec,4,SK,69.4%,24.3%,0.0%,0.0%,500437.0,Pellegrini,0.0,100.0
500453,Lehota,4,SK,94.5%,0.2%,0.0%,0.0%,500453.0,Pellegrini,0.0,100.0
500461,Lovce,4,SK,97.7%,0.6%,0.0%,0.3%,500461.0,Korčok,100.0,0.0
500470,Lúčnica nad Žitavou,4,SK,92.5%,0.6%,0.4%,0.0%,500470.0,Pellegrini,0.0,100.0
500488,Lukáčovce,4,SK,97.3%,0.1%,0.3%,0.0%,500488.0,Pellegrini,0.0,100.0
500500,Machulince,4,SK,96.8%,0.1%,0.0%,0.0%,500500.0,Pellegrini,0.0,100.0
500518,Veľké Chyndice,4,SK,86.4%,10.4%,0.0%,0.0%,500518.0,Pellegrini,0.0,100.0
500534,Malé Zálužie,4,SK,94.7%,0.0%,0.0%,0.0%,500534.0,Korčok,0.0,0.0
500542,Mankovce,4,SK,97.3%,0.2%,0.0%,0.0%,500542.0,Korčok,0.0,0.0
500551,Martin nad Žitavou,4,SK,97.4%,0.2%,0.2%,0.0%,500551.0,Pellegrini,0.0,100.0
500569,Melek,4,SK,93.0%,0.0%,0.2%,0.0%,500569.0,Pellegrini,33.33,66.67
500577,Mojmírovce,4,SK,92.0%,0.5%,0.0%,0.0%,500577.0,Pellegrini,14.29,85.71
500585,Nemčiňany,4,SK,92.7%,0.2%,0.3%,0.0%,500585.0,Pellegrini,0.0,100.0
500593,Neverice,4,SK,96.8%,0.6%,0.0%,0.0%,500593.0,Korčok,0.0,0.0
500607,Nevidzany (ZM),4,SK,96.6%,1.0%,0.0%,0.0%,500607.0,Pellegrini,0.0,100.0
500631,Nová Ves nad Žitavou,4,SK,89.9%,0.2%,0.0%,0.0%,500631.0,Pellegrini,33.33,66.67
500640,Nové Sady,4,SK,94.8%,0.2%,0.0%,0.0%,500640.0,Pellegrini,0.0,100.0
500658,Obyce,4,SK,96.7%,0.0%,0.0%,0.0%,500658.0,Pellegrini,42.86,57.14
500666,Paňa,4,SK,92.1%,3.8%,0.0%,0.3%,500666.0,Korčok,0.0,0.0
500674,Podhorany (NR),4,SK,95.8%,2.8%,0.0%,0.0%,500674.0,Pellegrini,0.0,100.0
500682,Pohranice - Pográny,4,SK,59.3%,36.8%,0.0%,0.1%,500682.0,Pellegrini,0.0,100.0
500691,Poľný Kesov,4,SK,93.4%,0.3%,0.0%,0.0%,500691.0,Pellegrini,0.0,100.0
500704,Rišňovce,4,SK,95.2%,0.3%,0.0%,0.0%,500704.0,Pellegrini,10.0,90.0
500712,Rumanová,4,SK,97.6%,0.4%,0.0%,0.0%,500712.0,Pellegrini,25.0,75.0
500721,Skýcov,4,SK,96.8%,0.4%,0.0%,0.0%,500721.0,Pellegrini,0.0,100.0
500739,Močenok,4,SK,92.1%,1.2%,0.2%,0.0%,500739.0,Pellegrini,21.62,78.38
500747,Sľažany,4,SK,95.6%,0.5%,0.0%,0.1%,500747.0,Pellegrini,25.0,75.0
500755,Slepčany,4,SK,94.0%,0.5%,0.0%,0.0%,500755.0,Pellegrini,33.33,66.67
500780,Šurianky,4,SK,96.8%,0.3%,0.0%,0.0%,500780.0,Korčok,0.0,0.0
500798,Tajná,4,SK,94.5%,0.4%,0.0%,0.0%,500798.0,Korčok,0.0,0.0
500810,Tesárske Mlyňany,4,SK,91.7%,0.3%,0.1%,0.1%,500810.0,Pellegrini,0.0,100.0
500828,Topoľčianky,4,SK,96.7%,0.1%,0.0%,0.0%,500828.0,Pellegrini,0.0,100.0
500836,Velčice,4,SK,97.9%,0.6%,0.0%,0.0%,500836.0,Pellegrini,0.0,100.0
500844,Veľká Dolina,4,SK,94.3%,0.1%,0.0%,0.0%,500844.0,Pellegrini,0.0,100.0
500887,Veľké Zálužie,4,SK,93.0%,0.3%,0.0%,0.0%,500887.0,Pellegrini,14.29,85.71
500895,Veľký Cetín - Nagycétény,4,HU,39.2%,56.5%,0.0%,0.1%,500895.0,Pellegrini,0.0,100.0
500909,Vieska nad Žitavou,4,SK,98.1%,0.9%,0.0%,0.0%,500909.0,Korčok,0.0,0.0
500917,Vinodol,4,SK,94.9%,2.1%,0.4%,0.0%,500917.0,Pellegrini,33.33,66.67
500925,Volkovce,4,SK,97.5%,1.0%,0.1%,0.0%,500925.0,Pellegrini,0.0,100.0
500933,Vráble,4,SK,89.7%,2.4%,0.1%,0.0%,500933.0,Pellegrini,13.79,86.21
500941,Výčapy-Opatovce,4,SK,95.2%,1.3%,0.0%,0.0%,500941.0,Pellegrini,9.09,90.91
500950,Zbehy,4,SK,91.4%,0.4%,0.1%,0.0%,500950.0,Pellegrini,0.0,100.0
500968,Zlaté Moravce,4,SK,89.0%,0.3%,1.3%,0.0%,500968.0,Pellegrini,16.67,83.33
500976,Zlatno (ZM),4,SK,98.1%,0.5%,0.0%,0.0%,500976.0,Pellegrini,33.33,66.67
500984,Žikava,4,SK,95.1%,0.2%,0.0%,0.0%,500984.0,Pellegrini,0.0,100.0
500992,Žirany - Zsére,4,SK,57.4%,37.2%,0.1%,0.0%,500992.0,Korčok,0.0,0.0
501018,Žitavce,4,SK,93.4%,0.5%,0.0%,0.0%,501018.0,Korčok,0.0,0.0
501026,Komárno - Komárom,4,HU,31.3%,53.7%,0.5%,0.0%,501026.0,Pellegrini,12.5,87.5
501034,Bajč - Bajcs,4,SK,48.1%,40.5%,0.8%,0.0%,501034.0,Pellegrini,0.0,100.0
501042,Bodza - Bogya,4,HU,14.4%,80.1%,0.3%,0.0%,501042.0,Pellegrini,0.0,100.0
501069,Brestovec (KN) - Szilas,4,HU,6.8%,91.1%,0.0%,0.0%,501069.0,Korčok,0.0,0.0
501077,Búč - Búcs,4,HU,10.4%,86.8%,0.1%,0.0%,501077.0,Korčok,66.67,33.33
501085,Čalovec - Megyercs,4,HU,26.2%,67.2%,0.1%,0.0%,501085.0,Korčok,0.0,0.0
501093,Číčov - Csicsó,4,HU,10.7%,78.8%,0.0%,0.0%,501093.0,Korčok,100.0,0.0
501107,Dedina Mládeže - Ifjúságfalva,4,HU,38.6%,55.5%,0.5%,0.0%,501107.0,Korčok,0.0,0.0
501115,Svätý Peter - Komáromszentpéter,4,HU,29.5%,64.9%,0.2%,0.0%,501115.0,Korčok,100.0,0.0
501123,Dulovce,4,SK,92.2%,3.8%,0.4%,0.0%,501123.0,Korčok,0.0,0.0
501140,Hurbanovo - Ógyalla,4,SK,50.6%,40.7%,2.4%,0.0%,501140.0,Pellegrini,25.0,75.0
501158,Chotín - Hetény,4,HU,12.7%,82.3%,0.0%,0.0%,501158.0,Korčok,100.0,0.0
501166,Imeľ - Ímely,4,SK,58.5%,39.5%,0.0%,0.0%,501166.0,Pellegrini,20.0,80.0
501174,Iža - Izsa,4,HU,26.8%,63.5%,0.2%,0.1%,501174.0,Korčok,0.0,0.0
501182,Kameničná - Keszegfalva,4,HU,22.8%,69.1%,1.0%,0.0%,501182.0,Korčok,100.0,0.0
501191,Klížska Nemá - Kolozsnéma,4,HU,11.8%,84.2%,0.0%,0.0%,501191.0,Pellegrini,0.0,100.0
501204,Kolárovo - Gúta,4,HU,20.4%,74.1%,0.3%,0.0%,501204.0,Pellegrini,42.86,57.14
501212,Kravany nad Dunajom - Karva,4,HU,18.2%,77.4%,0.0%,0.0%,501212.0,Pellegrini,0.0,100.0
501221,Lipové,4,SK,79.6%,12.0%,0.0%,0.0%,501221.0,Korčok,100.0,0.0
501239,Marcelová - Marcelháza,4,HU,13.8%,73.8%,0.8%,0.0%,501239.0,Pellegrini,0.0,100.0
501247,Martovce - Martos,4,HU,13.0%,82.3%,1.0%,0.0%,501247.0,Korčok,50.0,50.0
501255,Moča - Dunamocs,4,HU,7.2%,87.8%,0.0%,0.0%,501255.0,Pellegrini,0.0,100.0
501263,Modrany - Madar,4,HU,11.8%,81.7%,0.2%,0.0%,501263.0,Pellegrini,0.0,100.0
501271,Mudroňovo,4,SK,85.5%,8.9%,0.0%,0.0%,501271.0,Korčok,0.0,0.0
501280,Nesvady - Naszvad,4,HU,41.1%,49.1%,8.3%,0.0%,501280.0,Pellegrini,16.67,83.33
501301,Okoličná na Ostrove - Ekel,4,HU,17.2%,79.8%,0.1%,0.0%,501301.0,Pellegrini,0.0,100.0
501310,Patince - Pat,4,HU,16.1%,78.6%,0.2%,0.0%,501310.0,Pellegrini,0.0,100.0
501328,Pribeta - Perbete,4,HU,26.8%,67.6%,0.6%,0.0%,501328.0,Pellegrini,0.0,100.0
501336,Radvaň nad Dunajom - Dunaradvány,4,HU,13.1%,84.8%,0.0%,0.0%,501336.0,Korčok,0.0,0.0
501344,Sokolce - Lakszakállas,4,HU,7.0%,85.4%,0.4%,0.0%,501344.0,Pellegrini,0.0,100.0
501352,Šrobárová,4,SK,91.5%,3.8%,0.0%,0.2%,501352.0,Korčok,0.0,0.0
501361,Tôň - Tany,4,HU,14.7%,82.1%,0.0%,0.0%,501361.0,Korčok,0.0,0.0
501379,Trávnik - Komáromfüss,4,HU,14.1%,81.1%,0.0%,0.0%,501379.0,Korčok,0.0,0.0
501387,Veľké Kosihy - Nagykeszi,4,HU,17.8%,75.3%,0.2%,0.0%,501387.0,Korčok,100.0,0.0
501395,Bátorove Kosihy - Bátorkeszi,4,HU,19.7%,76.0%,0.2%,0.0%,501395.0,Pellegrini,33.33,66.67
501409,Vrbová nad Váhom - Vágfüzes,4,HU,14.2%,78.3%,2.8%,0.2%,501409.0,Korčok,100.0,0.0
501417,Zemianska Olča - Nemesócsa,4,HU,11.2%,80.5%,0.0%,0.0%,501417.0,Pellegrini,0.0,100.0
501425,Zlatná na Ostrove - Csallóközaranyos,4,HU,13.3%,73.6%,0.3%,0.0%,501425.0,Pellegrini,0.0,100.0
501433,Dunajská Streda - Dunaszerdahely,2,HU,19.0%,71.9%,0.4%,0.0%,501433.0,Pellegrini,6.25,93.75
501441,Báč - Bacsfa,2,HU,24.9%,72.5%,0.0%,0.0%,501441.0,Pellegrini,25.0,75.0
501450,Baka - Baka,2,HU,13.0%,83.0%,0.0%,0.0%,501450.0,Korčok,50.0,50.0
501468,Baloň - Balony,2,HU,9.3%,87.8%,0.1%,0.0%,501468.0,Korčok,100.0,0.0
501484,Blahová - Sárrét,2,SK,60.8%,31.7%,0.0%,0.6%,501484.0,Pellegrini,0.0,100.0
501492,Blatná na Ostrove - Sárosfa,2,HU,27.1%,70.1%,0.0%,0.0%,501492.0,Korčok,0.0,0.0
501506,Boheľov - Bögellő,2,HU,14.0%,84.3%,0.0%,0.0%,501506.0,Pellegrini,0.0,100.0
501514,Čakany - Pozsonycsákány,2,HU,35.3%,60.2%,0.2%,0.0%,501514.0,Pellegrini,0.0,100.0
501522,Veľký Meder - Nagymegyer,2,HU,14.6%,78.4%,0.2%,0.0%,501522.0,Pellegrini,0.0,100.0
501531,Čiližská Radvaň - Csilizradvány,2,HU,9.5%,87.7%,0.0%,0.0%,501531.0,Korčok,50.0,50.0
501549,Dobrohošť - Doborgaz,2,HU,45.6%,49.9%,0.2%,0.0%,501549.0,Pellegrini,0.0,100.0
501557,Dolný Bar - Albár,2,HU,25.6%,71.7%,0.0%,0.0%,501557.0,Korčok,50.0,50.0
501573,Gabčíkovo - Bős,2,HU,13.9%,80.6%,0.0%,0.0%,501573.0,Pellegrini,33.33,66.67
501581,Holice - Egyházgelle,2,HU,16.4%,81.6%,0.0%,0.0%,501581.0,Korčok,100.0,0.0
501590,Horná Potôň - Felsőpatony,2,HU,28.5%,65.8%,0.0%,0.0%,501590.0,Pellegrini,0.0,100.0
501603,Horný Bar - Felbár,2,HU,23.7%,74.2%,0.4%,0.0%,501603.0,Pellegrini,0.0,100.0
501611,Dolný Štál - Alistál,2,HU,10.4%,86.6%,0.0%,0.0%,501611.0,Korčok,0.0,0.0
501620,Hubice - Nemesgomba,2,HU,42.0%,56.1%,0.3%,0.0%,501620.0,Pellegrini,0.0,100.0
501638,Hviezdoslavov,2,SK,85.0%,7.3%,0.0%,0.0%,501638.0,Pellegrini,0.0,100.0
501654,Jahodná - Pozsonyeperjes,2,HU,16.3%,80.5%,0.2%,0.0%,501654.0,Pellegrini,0.0,100.0
501662,Janíky - Jányok,2,HU,28.7%,68.6%,0.0%,0.0%,501662.0,Pellegrini,0.0,100.0
501671,Jurová - Dercsika,2,HU,14.8%,82.7%,0.0%,0.0%,501671.0,Korčok,0.0,0.0
501689,Kľúčovec - Kulcsod,2,HU,11.9%,84.3%,0.0%,0.0%,501689.0,Korčok,100.0,0.0
501697,Kostolné Kračany - Egyházkarcsa,2,HU,11.4%,87.0%,0.0%,0.0%,501697.0,Pellegrini,0.0,100.0
501701,Kráľovičove Kračany - Királyfiakarcsa,2,HU,17.4%,77.3%,0.0%,0.0%,501701.0,Pellegrini,0.0,100.0
501719,Kútniky - Hegyéte,2,HU,18.5%,77.2%,0.1%,0.0%,501719.0,Pellegrini,10.0,90.0
501727,Kvetoslavov,2,SK,79.1%,15.2%,0.0%,0.1%,501727.0,Pellegrini,10.0,90.0
501735,Lehnice - Lég,2,SK,47.9%,46.9%,0.5%,0.1%,501735.0,Pellegrini,20.0,80.0
501743,Lúč na Ostrove - Lúcs,2,HU,12.2%,85.7%,0.0%,0.0%,501743.0,Korčok,50.0,50.0
501760,Medveďov - Medve,2,HU,16.7%,80.8%,0.0%,0.0%,501760.0,Pellegrini,0.0,100.0
501778,Mierovo - Béke,2,HU,22.1%,73.0%,0.5%,0.0%,501778.0,Korčok,0.0,0.0
501786,Michal na Ostrove - Szentmihályfa,2,HU,27.3%,67.2%,0.2%,0.0%,501786.0,Pellegrini,0.0,100.0
501808,Nový Život - Illésháza,2,HU,28.5%,67.4%,1.4%,0.0%,501808.0,Pellegrini,0.0,100.0
501816,Ohrady - Csallóközkürt,2,HU,8.1%,90.7%,0.0%,0.0%,501816.0,Pellegrini,0.0,100.0
501824,Okoč - Ekecs,2,HU,10.2%,85.6%,0.3%,0.0%,501824.0,Pellegrini,0.0,100.0
501832,Oľdza - Olgya,2,SK,55.6%,41.7%,0.0%,0.2%,501832.0,Pellegrini,0.0,100.0
501859,Orechová Potôň - Diósförgepatony,2,HU,19.5%,77.5%,0.3%,0.0%,501859.0,Pellegrini,33.33,66.67
501867,Padáň - Padány,2,HU,14.6%,82.9%,0.2%,0.0%,501867.0,Pellegrini,0.0,100.0
501875,Sap - Szap,2,HU,12.4%,84.4%,0.0%,0.0%,501875.0,Korčok,0.0,0.0
501883,Pataš - Csilizpatas,2,HU,15.5%,79.8%,2.7%,0.0%,501883.0,Pellegrini,0.0,100.0
501891,Rohovce - Nagyszarva,2,HU,21.5%,74.7%,0.2%,0.0%,501891.0,Pellegrini,33.33,66.67
501905,Šamorín - Somorja,2,HU,41.1%,49.5%,0.2%,0.0%,501905.0,Pellegrini,13.64,86.36
501913,Štvrtok na Ostrove - Csallóközcsütörtök,2,HU,29.8%,67.2%,0.7%,0.0%,501913.0,Pellegrini,33.33,66.67
501921,Topoľníky - Nyárasd,2,HU,10.1%,86.5%,0.1%,0.0%,501921.0,Pellegrini,25.0,75.0
501930,Ňárad - Csiliznyárad,2,HU,7.4%,90.6%,0.0%,0.0%,501930.0,Pellegrini,0.0,100.0
501956,Trnávka (DS) - Csallóköztárnok,2,HU,32.8%,63.2%,0.0%,0.2%,501956.0,Pellegrini,0.0,100.0
