IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
500372,Jelenec - Gímes,2075,48.3915438,18.2179182,500372,0,7,84,94,338,7,14,22,0,292,1,859,1738,49.42
500381,Jelšovce,988,48.3850455,18.0621678,500381,2,1,2,57,160,4,5,13,5,167,1,417,821,50.79
500399,Kapince,184,48.4503322,17.9729479,500399,0,0,0,12,24,1,0,0,0,56,0,93,154,60.39
500402,Klasov - Kalász,1426,48.2677543,18.2581438,500402,1,2,58,48,240,0,7,12,2,193,2,565,1032,54.75
500411,Kolíňany - Kolon,1551,48.3525799,18.2196557,500411,0,1,93,53,280,1,7,19,2,145,2,603,1257,47.97
500429,Kostoľany pod Tribečom,344,48.4304673,18.2331271,500429,0,0,0,21,57,0,5,4,0,98,0,185,294,62.93
500437,Ladice - Barslédec,758,48.392138,18.2713903,500437,0,1,28,49,119,1,1,13,0,100,0,312,645,48.37
500453,Lehota,2382,48.3138935,17.9903629,500453,0,9,1,180,401,6,25,12,1,552,2,1189,1983,59.96
500461,Lovce,699,48.4623097,18.3563174,500461,1,0,0,44,82,1,8,6,1,205,0,348,581,59.9
500470,Lúčnica nad Žitavou,957,48.2120413,18.2733573,500470,0,2,0,101,134,0,9,9,0,230,0,485,819,59.22
500488,Lukáčovce,1167,48.3957958,17.9353151,500488,0,6,1,80,193,1,7,13,0,201,0,502,972,51.65
500500,Machulince,1101,48.4123979,18.4500759,500500,0,7,0,86,190,1,12,25,0,228,0,549,886,61.96
500518,Veľké Chyndice,338,48.2856616,18.2874085,500518,0,1,1,18,53,0,1,5,0,81,0,160,280,57.14
500534,Malé Zálužie,266,48.435782,17.9839318,500534,0,0,0,18,49,0,2,0,0,78,0,147,243,60.49
500542,Mankovce,528,48.421587,18.328842,500542,0,0,0,20,65,1,3,10,1,162,0,262,410,63.9
500551,Martin nad Žitavou,535,48.3940694,18.3551247,500551,0,2,0,48,76,6,1,13,1,127,0,274,473,57.93
500569,Melek,497,48.2021869,18.3321367,500569,1,2,1,36,88,0,4,8,2,131,1,274,454,60.35
500577,Mojmírovce,2922,48.2011947,18.0644879,500577,2,12,1,138,339,4,21,28,0,612,0,1157,2361,49
500585,Nemčiňany,654,48.3019881,18.4497633,500585,0,1,0,50,84,0,2,4,0,164,1,306,541,56.56
500593,Neverice,692,48.3650626,18.2784108,500593,0,0,0,38,79,3,2,7,1,187,0,317,552,57.43
500607,Nevidzany (ZM),583,48.2828559,18.3786424,500607,0,3,0,42,110,2,3,6,0,126,0,292,477,61.22
500631,Nová Ves nad Žitavou,1338,48.2853228,18.3239076,500631,2,4,0,54,189,4,13,12,0,358,2,638,1115,57.22
