IDN4,obec,populace,centroid-lat,centroid-lon,obec_code,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec,voted,voters,turnout
506851,Bučany,2386,48.414229,17.6902912,506851,1,4,1,137,490,1,17,33,1,436,0,1121,1963,57.11
506869,Buková,642,48.5371163,17.3943905,506869,1,2,1,58,115,0,5,12,1,163,0,358,593,60.37
506877,Cífer,4500,48.3184127,17.4981273,506877,3,18,0,242,1212,16,56,49,4,811,1,2412,3859,62.5
506885,Červeník,1685,48.4636453,17.7603195,506885,1,13,0,86,348,10,22,18,0,335,1,834,1348,61.87
506893,Dechtice,1790,48.550077,17.574542,506893,1,25,0,164,313,6,12,20,1,419,1,962,1452,66.25
506915,Dobrá Voda,803,48.6033177,17.5414333,506915,0,9,0,83,165,4,23,12,1,157,0,454,696,65.23
506923,Dolná Krupá,2435,48.4773162,17.5558311,506923,0,5,0,132,527,3,15,43,3,496,1,1225,2063,59.38
506931,Dolné Dubové,736,48.495129,17.5928738,506931,2,1,0,44,160,3,8,8,0,135,0,361,615,58.7
506940,Dolné Orešany,1359,48.4441692,17.4051518,506940,0,9,0,108,288,13,21,24,2,236,1,702,1131,62.07
506958,Dolné Otrokovce,386,48.4669824,17.9129675,506958,0,0,0,35,61,1,7,8,0,67,0,179,312,57.37
506966,Dolné Trhovište,610,48.442555,17.9055294,506966,1,2,0,38,72,3,5,2,2,158,0,283,487,58.11
506982,Dolný Lopašov,996,48.5845136,17.6395837,506982,0,6,0,51,162,2,6,9,2,191,1,430,798,53.88
506991,Drahovce,2592,48.5285974,17.790243,506991,1,8,0,196,430,9,16,19,2,443,0,1124,2165,51.92
507008,Dubovany,1066,48.532737,17.7187333,507008,0,3,1,90,163,5,8,16,0,208,0,494,859,57.51
507024,Dvorníky,2026,48.355321,17.7855758,507024,1,6,1,141,253,7,13,15,1,345,1,784,1613,48.61
507032,Hlohovec,20556,48.424722,17.8017625,507032,10,60,3,1182,3639,33,151,209,17,3705,7,9016,16432,54.87
507041,Horná Krupá,488,48.5205255,17.5197334,507041,0,0,0,34,119,1,9,2,0,91,0,256,417,61.39
507059,Horné Dubové,369,48.5176794,17.5606112,507059,0,2,0,26,58,0,5,12,0,88,0,191,300,63.67
507067,Horné Orešany,1934,48.4630044,17.4077948,507067,0,4,1,123,448,8,28,26,3,331,0,972,1615,60.19
507075,Horné Otrokovce,869,48.4905324,17.8794277,507075,1,1,0,60,118,3,2,9,1,243,0,438,733,59.75
507121,Chtelnica,2572,48.5767014,17.605644,507121,0,14,0,123,366,12,34,30,1,708,0,1288,2102,61.27
507130,Jalšové,487,48.5041398,17.8386524,507130,2,1,0,30,58,3,1,4,2,114,0,215,405,53.09
507156,Jaslovské Bohunice,2337,48.4761706,17.6443123,507156,2,5,0,157,492,3,27,40,2,431,3,1162,1888,61.55
507164,Kátlovce,1133,48.5203651,17.610995,507164,0,10,0,88,197,3,17,22,0,271,0,608,947,64.2
507172,Kľačany,1127,48.3891721,17.8703656,507172,0,4,0,83,204,6,6,11,1,203,3,521,907,57.44
507199,Kočín-Lančár,519,48.6076521,17.6428899,507199,0,3,0,40,55,2,12,3,1,146,0,262,400,65.5
507202,Koplotovce,785,48.4847468,17.8147774,507202,0,1,0,63,178,1,4,15,1,153,0,416,642,64.8
507211,Košolná,824,48.429126,17.4608257,507211,0,0,0,49,200,2,7,11,2,108,0,379,694,54.61
507229,Krakovany,1467,48.615959,17.7503366,507229,0,8,0,75,380,1,17,21,0,212,1,715,1145,62.45
507253,Leopoldov,3973,48.4440728,17.7699339,507253,3,13,2,289,753,8,34,36,1,1015,4,2158,3490,61.83
507288,Madunice,2274,48.48866,17.7833289,507288,0,6,0,154,411,6,18,22,2,490,1,1110,1855,59.84
507296,Majcichov,2163,48.2874835,17.6167894,507296,0,8,1,111,456,3,17,21,1,383,0,1001,1689,59.27
507300,Ivachnová,680,49.0871918,19.4076266,507300,0,4,0,51,151,2,13,1,0,115,0,337,549,61.38
507318,Malženice,1560,48.4461979,17.6642896,507318,2,9,0,126,252,2,10,19,5,287,0,712,1183,60.19
507326,Merašice,426,48.4650752,17.9428208,507326,0,0,0,32,48,3,1,10,0,97,0,191,356,53.65
507342,Moravany nad Váhom,2440,48.5992309,17.8766884,507342,0,5,2,128,563,5,23,29,2,422,2,1181,2014,58.64
507351,Naháč,394,48.5566015,17.5157043,507351,1,2,2,27,87,0,3,2,0,99,0,223,364,61.26
507369,Nižná (PN),545,48.5274749,17.6558481,507369,0,4,0,38,99,0,2,9,0,88,1,241,456,52.85
507385,Ostrov (PN),1204,48.6355159,17.7594099,507385,0,5,0,68,299,1,9,11,0,161,0,554,998,55.51
507393,Konská (LM),223,49.1381637,19.7246885,507393,0,1,1,14,27,0,6,1,1,69,1,121,189,64.02
507407,Turík,279,49.1180085,19.3723312,507407,0,1,0,21,62,0,0,2,0,62,0,148,215,68.84
507415,Pastuchov,976,48.4186888,17.8859418,507415,0,2,0,54,122,1,1,7,3,151,0,341,726,46.97
507431,Pečeňady,565,48.4859541,17.7185877,507431,0,2,3,33,82,2,7,9,0,125,0,263,454,57.93
507440,Piešťany,27681,48.592697,17.8123528,507440,9,89,13,1385,6785,51,292,270,19,4132,7,13052,22696,57.51
507466,Prašník,812,48.6487019,17.6636079,507466,2,3,0,61,108,2,12,12,0,188,0,388,688,56.4
507482,Rakovice,620,48.5677672,17.7206383,507482,0,6,0,35,101,0,5,5,1,126,0,279,500,55.8
507491,Ratnovce,1079,48.5549245,17.8496487,507491,2,3,0,57,182,0,7,14,1,160,1,427,880,48.52
507512,Ružindol,1659,48.3655149,17.4852241,507512,1,5,1,116,434,0,15,37,0,276,2,887,1346,65.9
507521,Sasinkovo,842,48.3661368,17.8458165,507521,0,2,0,60,93,1,3,10,2,191,0,362,687,52.69
507539,Siladice,673,48.3607658,17.7302697,507539,0,0,0,33,152,2,2,6,0,129,0,324,564,57.45
507555,Smolenice,3248,48.5055646,17.4251046,507555,2,6,3,145,819,4,43,40,4,571,1,1638,2696,60.76
507563,Sokolovce,1368,48.532528,17.8412615,507563,0,1,0,90,174,3,11,19,2,285,1,586,1133,51.72
507571,Suchá nad Parnou,2202,48.4129901,17.4831316,507571,0,11,2,133,544,4,28,24,0,371,2,1119,1807,61.93
507601,Špačince,3110,48.442383,17.6049451,507601,1,9,0,179,811,7,40,58,2,556,1,1664,2611,63.73
507636,Šúrovce,2277,48.3333656,17.7143992,507636,3,15,2,154,384,2,20,23,2,447,0,1052,1816,57.93
507661,Trakovice,1581,48.4396163,17.7135202,507661,2,9,0,84,323,0,15,30,1,288,1,753,1226,61.42
507679,Trebatice,1340,48.5945353,17.7448943,507679,2,6,0,73,277,3,7,10,2,243,4,627,1083,57.89
507687,Trstín,1405,48.541147,17.4708726,507687,1,1,1,89,281,4,11,34,0,218,0,640,1162,55.08
507709,Veľké Kostoľany,2798,48.5094621,17.7140408,507709,1,6,0,183,478,10,20,36,2,490,1,1227,2310,53.12
507725,Veselé,1224,48.5539507,17.7235195,507725,1,3,1,80,234,5,13,11,2,219,0,569,995,57.19
507741,Voderady,1609,48.2820344,17.5646675,507741,0,3,1,106,374,1,19,16,1,267,0,788,1352,58.28
507750,Vrbové,5739,48.6178087,17.7078259,507750,1,23,0,350,1200,22,47,46,3,937,1,2630,4649,56.57
507768,Zavar,2383,48.3565553,17.657858,507768,1,9,1,123,448,6,14,27,1,380,0,1010,1772,57
507776,Zeleneč,2632,48.3173754,17.5837784,507776,0,2,0,134,578,10,11,38,5,464,0,1242,2181,56.95
507792,Žlkovce,663,48.4603218,17.7126654,507792,1,4,0,42,116,1,4,7,0,136,0,311,524,59.35
507806,Báhoň,1879,48.3059223,17.4308531,507806,0,15,0,80,458,2,15,18,3,263,0,854,1475,57.9
507814,Bernolákovo,8801,48.2020148,17.3093792,507814,2,59,12,382,2960,14,99,81,6,1064,4,4683,7278,64.34
507822,Blatné,1828,48.2722204,17.4116362,507822,0,11,0,78,422,6,13,16,0,318,0,864,1440,60
507831,Borinka,860,48.267981,16.9551162,507831,0,4,1,60,303,2,9,4,1,102,1,487,729,66.8
507849,Budmerice,2506,48.362225,17.4011772,507849,1,9,5,154,554,3,16,37,6,408,4,1197,1977,60.55
507857,Častá,2363,48.4090085,17.3207239,507857,4,9,1,142,576,5,31,19,2,405,2,1196,1939,61.68
507865,Čataj,1205,48.2659706,17.4791473,507865,1,2,2,75,298,1,9,17,0,247,0,652,973,67.01
507873,Doľany (PK),1066,48.4294081,17.3549411,507873,0,10,0,55,271,7,10,16,0,197,0,566,903,62.68
507881,Dubová (PK),1142,48.3790628,17.3170066,507881,1,3,0,84,257,4,12,12,0,206,3,582,943,61.72
507890,Gajary,3163,48.4593023,16.9151619,507890,3,4,0,187,401,12,13,22,4,536,1,1183,2495,47.41
507903,Hamuliakovo - Gútor,2568,48.0375135,17.2530709,507903,0,11,78,114,799,2,29,19,1,295,0,1348,2203,61.19
507911,Chorvátsky Grob,6830,48.2259768,17.2664835,507911,0,19,8,240,2649,8,72,31,3,732,2,3764,5402,69.68
507938,Ivanka pri Dunaji,6971,48.187927,17.2537225,507938,1,43,7,288,2175,6,78,45,3,919,0,3565,5477,65.09
507946,Jablonec,1004,48.3395334,17.4529314,507946,0,2,0,57,205,5,8,18,2,176,0,473,825,57.33
507954,Jablonové (MA),1385,48.3481631,17.0927737,507954,0,0,0,66,349,2,9,10,0,212,2,650,1099,59.14
507962,Jakubov,1736,48.410521,16.9287833,507962,1,3,1,92,348,6,17,23,1,304,0,796,1420,56.06
507989,Svätý Jur,5941,48.2494893,17.201747,507989,2,17,5,308,1684,18,59,37,3,788,2,2923,4631,63.12
507997,Kalinkovo,1467,48.056784,17.2336991,507997,0,4,18,70,437,4,9,16,2,213,0,773,1237,62.49
508012,Kostolište,1768,48.4463672,16.9826165,508012,0,5,1,116,565,4,23,8,2,293,0,1017,1722,59.06
508021,Kuchyňa,1769,48.4051834,17.1808259,508021,0,10,1,93,349,4,23,25,3,303,1,812,1493,54.39
508039,Láb,2048,48.3604369,16.9560573,508039,0,6,4,151,585,3,20,22,0,312,1,1104,1691,65.29
508047,Limbach,2287,48.2989337,17.193567,508047,0,8,3,86,756,6,49,10,2,280,1,1201,1839,65.31
508055,Lozorno,3142,48.3192047,17.0735186,508055,1,7,1,105,831,3,37,21,0,365,1,1372,2563,53.53
508063,Malacky,18935,48.4380616,17.0218511,508063,6,42,14,907,4007,41,175,147,15,2851,4,8209,14969,54.84
508071,Malinovo,3887,48.1249696,17.3231843,508071,2,15,103,120,1244,2,40,22,2,353,3,1906,2946,64.7
508080,Marianka,2284,48.2469328,17.0644173,508080,0,12,0,86,865,2,41,10,0,236,0,1252,1796,69.71
508098,Miloslavov,4000,48.0930084,17.3149975,508098,1,20,1,234,2144,6,59,50,1,562,3,3081,4441,69.38
508101,Modra,9346,48.3501181,17.2999968,508101,2,37,4,437,2674,18,108,80,4,1301,12,4677,7622,61.36
508110,Most pri Bratislave,3913,48.1436743,17.2693213,508110,4,15,3,224,1226,11,53,46,1,527,2,2112,3242,65.14
508136,Nová Dedinka,3150,48.1842686,17.3601181,508136,0,12,58,127,1049,3,42,22,0,334,2,1649,2671,61.74
508161,Pernek,895,48.3665431,17.153087,508161,1,2,3,64,167,3,5,12,1,171,2,431,743,58.01
508179,Pezinok,24900,48.3153478,17.2395473,508179,7,96,9,1146,7148,41,273,186,13,3080,7,12006,19509,61.54
508187,Píla (PK),347,48.3924131,17.3269075,508187,0,0,0,38,88,1,4,2,0,69,0,202,319,63.32
508195,Plavecký Štvrtok,2513,48.3748074,16.9100345,508195,1,4,0,99,481,4,25,20,0,300,4,938,2119,44.27
508209,Rovinka,5136,48.0979525,17.2390918,508209,0,20,14,201,1865,9,73,29,5,677,5,2898,4423,65.52
508217,Senec,20116,48.2349399,17.3885591,508217,1,53,360,805,5311,26,182,173,6,2101,3,9021,15462,58.34
508225,Slovenský Grob,5202,48.2486462,17.291233,508225,3,13,5,238,1571,11,77,45,6,837,4,2810,4229,66.45
508233,Stupava,12595,48.2803217,17.0283198,508233,4,49,2,543,3780,22,138,94,6,1346,1,5985,9583,62.45
508241,Suchohrad,673,48.404883,16.8797267,508241,1,2,0,42,97,3,9,10,0,143,0,307,583,52.66
508250,Šenkvice,5260,48.2901967,17.3503156,508250,2,78,1,351,1230,14,49,18,2,894,3,2642,4210,62.76
508268,Štefanová,388,48.3873692,17.4076537,508268,1,1,0,31,89,3,5,4,0,58,0,192,324,59.26
508276,Tomášov - Fél,2715,48.144871,17.3401662,508276,0,2,192,98,659,6,24,23,1,308,0,1313,2264,57.99
508284,Tureň - Zonctorony,1214,48.1843403,17.3880944,508284,1,2,114,30,281,4,5,15,0,128,1,581,987,58.87
508292,Veľký Biel,2975,48.2257061,17.3470266,508292,0,10,76,102,780,3,31,29,1,299,1,1332,2350,56.68
508306,Viničné,2687,48.266226,17.3086103,508306,1,17,1,110,840,5,27,20,1,340,1,1363,2171,62.78
508314,Vinosady,1473,48.3170402,17.2875616,508314,0,3,1,103,426,2,11,12,0,247,0,805,1260,63.89
508322,Vištuk,1392,48.3284388,17.3902067,508322,1,2,1,81,300,5,9,15,0,188,0,602,1106,54.43
508331,Vlky - Vők,415,48.1544939,17.3659065,508331,0,4,47,13,81,0,2,7,1,28,1,184,366,50.27
508349,Vysoká pri Morave,2273,48.3289737,16.9067397,508349,2,5,1,103,418,4,18,17,1,339,1,909,1804,50.39
508365,Záhorská Ves,1885,48.3759817,16.8680532,508365,1,1,0,103,213,6,6,21,1,235,1,588,1478,39.78
508381,Zohor,3448,48.3199077,16.9760103,508381,5,12,0,140,974,7,27,26,0,444,3,1638,2959,55.36
508438,Banská Bystrica,76018,48.7360873,19.1274405,508438,10,200,17,3002,17707,290,916,378,26,12823,9,35378,60685,58.3
508446,Bacúch,897,48.84217,19.7984486,508446,0,1,0,57,82,4,13,5,1,216,0,379,763,49.67
508454,Badín,2028,48.6751978,19.0882895,508454,1,9,2,103,483,9,22,30,0,394,0,1053,1705,61.76
508462,Beňuš,1152,48.833946,19.7232317,508462,0,6,1,55,177,4,9,4,0,220,1,477,961,49.64
508471,Baláže,221,48.8282865,19.1919171,508471,0,0,0,17,36,0,7,0,1,65,0,126,198,63.64
508489,Braväcovo,680,48.854692,19.7487141,508489,0,1,0,32,94,1,11,3,0,160,0,302,540,55.93
508497,Brezno,20061,48.8193168,19.6789864,508497,2,30,5,804,2957,37,225,105,11,3645,10,7831,16204,48.33
508519,Čerín,450,48.6659537,19.2521936,508519,0,1,0,35,76,12,9,0,0,128,0,261,377,69.23
508527,Čierny Balog,5062,48.7138983,19.6849159,508527,0,14,1,215,511,14,49,29,1,1107,3,1944,3998,48.62
508535,Dolná Lehota,681,48.8907489,19.5273506,508535,0,0,1,28,134,0,1,3,0,190,0,357,612,58.33
508543,Dolná Mičiná,439,48.6723435,19.2129129,508543,0,0,0,28,111,4,2,1,1,107,0,254,399,63.66
508551,Dolný Harmanec,261,48.8305873,19.0365374,508551,0,0,0,11,39,1,3,2,0,73,0,129,230,56.09
508560,Donovaly,249,48.873566,19.2321317,508560,0,1,4,40,277,1,19,2,0,135,2,481,569,84.53
508578,Drábsko,176,48.6580776,19.6688864,508578,1,0,0,5,20,0,2,1,0,41,0,70,138,50.72
508586,Dúbravica,418,48.6777605,19.2934808,508586,0,0,0,25,51,3,3,0,0,95,0,177,327,54.13
508594,Harmanec,848,48.7862936,19.0670455,508594,0,2,0,45,64,2,1,6,2,197,0,319,707,45.12
508608,Heľpa,2471,48.8603503,19.9671812,508608,2,5,0,92,238,9,25,14,0,683,0,1068,2020,52.87
508616,Hiadeľ,512,48.830951,19.3116556,508616,0,0,0,26,58,1,3,1,0,145,0,234,412,56.8
508624,Horná Lehota (BR),598,48.8774724,19.5754439,508624,0,0,1,22,86,1,4,6,0,129,0,249,489,50.92
508632,Horná Mičiná,641,48.7003872,19.1972227,508632,0,3,0,21,161,2,12,7,0,132,0,338,546,61.9
508641,Horné Pršany,398,48.6992319,19.070948,508641,0,2,0,30,75,1,3,0,1,91,0,203,316,64.24
508659,Hrochoť,1452,48.662561,19.3714726,508659,0,2,0,66,146,6,2,3,0,326,0,551,1175,46.89
508667,Hronec,1146,48.7461888,19.5362405,508667,0,1,1,54,146,5,14,3,0,251,0,475,951,49.95
508675,Brusno,2153,48.821421,19.3717672,508675,0,0,1,119,365,7,28,17,3,561,0,1101,1784,61.72
508691,Jarabá,39,48.894012,19.7078658,508691,0,0,0,4,13,0,2,0,0,21,0,40,54,74.07
508705,Jasenie,1138,48.8903586,19.4397496,508705,0,0,2,69,134,13,8,5,1,289,1,522,945,55.24
508713,Kordíky,477,48.7729606,19.028775,508713,0,4,0,20,151,2,6,0,0,103,0,286,400,71.5
508721,Králiky,693,48.7340913,19.0291964,508721,0,0,0,27,157,2,10,7,0,189,0,392,615,63.74
508730,Lom nad Rimavicou,228,48.6409023,19.6869648,508730,1,1,0,9,37,4,2,8,0,76,0,138,205,67.32
508748,Ľubietová,1233,48.7342596,19.4224796,508748,1,3,2,92,224,3,13,9,0,276,2,625,1043,59.92
508756,Lučatín,671,48.7791115,19.3242089,508756,1,11,1,31,161,2,17,2,0,143,1,370,585,63.25
508764,Medzibrod,1382,48.802448,19.3463152,508764,0,2,0,73,253,8,34,6,1,345,0,722,1155,62.51
508772,Michalová,1291,48.7823519,19.7941193,508772,0,4,0,66,160,7,13,8,0,257,1,516,1033,49.95
508781,Môlča,412,48.7132921,19.2304306,508781,1,1,0,13,61,1,5,0,0,64,0,146,344,42.44
508799,Moštenica,233,48.833776,19.2791752,508799,0,0,0,30,35,3,5,0,0,70,0,143,219,65.3
508802,Motyčky,105,48.8626819,19.1840856,508802,2,0,0,9,16,0,1,1,0,39,0,68,97,70.1
508811,Mýto pod Ďumbierom,525,48.8530377,19.6328108,508811,0,4,3,23,156,1,12,2,0,110,0,311,468,66.45
508829,Nemecká,1730,48.8049044,19.4320746,508829,0,3,0,91,220,5,22,4,0,417,2,764,1403,54.45
508837,Oravce,177,48.6919792,19.2601916,508837,0,0,0,7,26,0,2,2,0,62,0,99,145,68.28
508845,Osrblie,357,48.7492846,19.5129659,508845,1,0,0,15,56,0,0,5,0,127,1,205,302,67.88
508853,Podbrezová,3622,48.8042223,19.5159938,508853,1,2,2,248,398,13,39,18,0,795,1,1517,2984,50.84
508861,Podkonice,914,48.8199943,19.2479716,508861,0,1,0,37,190,2,6,5,0,200,0,441,761,57.95
508870,Pohorelá,2141,48.8633819,20.0235483,508870,0,3,0,128,166,11,15,10,0,573,2,908,1793,50.64
508888,Pohronská Polhora,1700,48.7538609,19.8331061,508888,0,0,0,99,173,12,12,8,0,289,1,594,1330,44.66
508896,Pohronský Bukovec,116,48.8520935,19.3796835,508896,0,0,0,4,13,1,2,0,0,45,0,65,102,63.73
508900,Polomka,2942,48.8530102,19.8615046,508900,0,0,0,156,248,9,21,9,1,538,1,983,2202,44.64
508918,Poniky,1529,48.7039619,19.3285924,508918,0,3,0,87,257,5,13,5,1,335,2,708,1253,56.5
508926,Povrazník,143,48.7113032,19.3690366,508926,0,0,0,20,16,5,2,0,0,45,0,88,120,73.33
508934,Predajná,1301,48.7985303,19.4756242,508934,0,4,0,73,216,8,21,7,0,238,1,568,1073,52.94
508942,Priechod,1009,48.7910804,19.2206593,508942,0,7,0,40,231,5,15,7,0,170,0,475,836,56.82
508951,Ráztoka,279,48.8285368,19.3996228,508951,0,0,0,16,23,0,3,3,0,71,0,116,230,50.43
508969,Riečka (BB),832,48.7614239,19.0695082,508969,0,1,0,26,207,8,8,3,0,192,0,445,667,66.72
508977,Sebedín-Bečov,358,48.6400925,19.2481958,508977,0,0,0,20,43,2,5,0,0,96,0,166,307,54.07
508985,Selce (BB),2125,48.7826649,19.1895662,508985,0,8,1,96,489,7,28,15,0,398,3,1045,1734,60.27
508993,Sihla,197,48.6657056,19.6096322,508993,1,0,0,4,30,3,0,0,0,47,0,85,153,55.56
509001,Slovenská Ľupča,3265,48.7614718,19.2785951,509001,0,9,0,187,611,17,31,13,1,645,4,1518,2627,57.78
509019,Staré Hory,551,48.843832,19.1225606,509019,0,3,0,27,137,1,2,1,0,113,0,284,462,61.47
509027,Strelníky,770,48.706143,19.4107835,509027,0,0,1,53,122,4,6,4,2,231,0,423,630,67.14
509035,Špania Dolina,223,48.8043567,19.1288247,509035,0,0,0,13,60,2,3,5,0,52,0,135,207,65.22
509043,Šumiac,1335,48.8380821,20.1119999,509043,1,2,0,52,59,3,4,16,0,238,0,375,968,38.74
509051,Telgárt,1499,48.855335,20.1965141,509051,0,6,1,37,81,2,3,21,1,148,1,301,884,34.05
509060,Tajov,668,48.7467191,19.0425115,509060,0,5,1,29,173,3,6,7,0,161,1,386,566,68.2
509086,Valaská,3442,48.7404498,19.5641431,509086,1,1,1,171,458,17,28,12,1,689,0,1379,2876,47.95
509094,Vaľkovňa,418,48.8194736,20.0374853,509094,0,0,0,27,7,0,2,1,0,46,0,83,302,27.48
509124,Závadka nad Hronom,2174,48.8353259,19.9305067,509124,0,2,0,74,166,9,18,4,0,429,2,704,1700,41.41
509132,Čadca,23328,49.4425869,18.7995879,509132,9,60,7,1335,2719,61,195,188,14,4473,10,9071,18532,48.95
509159,Čierne,4419,49.4976889,18.8367177,509159,3,4,2,342,450,12,36,33,3,1045,2,1932,3572,54.09
509167,Dlhá nad Kysucou,619,49.3715607,18.6573858,509167,1,2,0,33,48,1,6,3,1,146,0,241,510,47.25
509175,Dolný Vadičov,513,49.274616,18.8540387,509175,0,3,0,56,77,2,6,2,0,118,0,264,464,56.9
509183,Dunajov,1136,49.3671216,18.8064465,509183,2,1,0,53,134,4,9,8,0,269,0,480,889,53.99
509205,Horný Vadičov,1679,49.2718675,18.8944371,509205,1,7,0,116,221,7,18,18,0,417,3,808,1374,58.81
509213,Klokočov (CA),2287,49.4672442,18.5822181,509213,1,1,0,80,197,4,3,16,1,522,0,825,1876,43.98
509221,Klubina,537,49.3791589,18.9158063,509221,0,0,0,43,39,1,4,3,1,159,1,251,441,56.92
509230,Korňa,1981,49.4193315,18.5432813,509230,0,5,1,97,242,11,8,7,0,473,1,845,1649,51.24
509248,Krásno nad Kysucou,6676,49.3896709,18.8379264,509248,5,20,2,379,719,15,51,44,0,1585,1,2821,5318,53.05
509256,Kysucké Nové Mesto,14660,49.3056178,18.7929028,509256,4,59,2,1085,2008,40,119,118,6,3286,2,6729,11875,56.67
509264,Kysucký Lieskovec,2378,49.3417107,18.8306052,509264,4,4,0,156,317,7,17,16,1,518,3,1043,1889,55.21
509272,Lodno,971,49.3325666,18.8698777,509272,0,8,0,70,83,3,6,13,1,201,0,385,753,51.13
509281,Lopušné Pažite,441,49.2790832,18.8301655,509281,0,6,0,26,44,3,7,1,1,118,0,206,358,57.54
509299,Makov,1710,49.3588399,18.4400461,509299,2,4,0,110,294,6,17,19,1,430,0,883,1519,58.13
509302,Nesluša,3165,49.3377008,18.7312979,509302,3,10,1,185,475,4,18,21,0,685,3,1405,2541,55.29
509311,Nová Bystrica,2680,49.3549209,19.060482,509311,4,3,1,160,207,10,11,11,0,668,0,1075,2137,50.3
509329,Ochodnica,1922,49.3609713,18.7696831,509329,0,4,0,147,180,6,16,10,0,482,0,845,1566,53.96
509337,Olešná,1929,49.4328322,18.6513137,509337,1,3,0,111,215,6,15,10,1,469,0,831,1567,53.03
509345,Oščadnica,5736,49.4399493,18.9132822,509345,0,19,1,383,683,23,46,33,5,1197,1,2391,4689,50.99
509361,Podvysoká,1347,49.4049822,18.6625422,509361,1,1,0,105,131,6,17,6,1,316,1,585,1062,55.08
509370,Povina,1138,49.310289,18.8543353,509370,4,2,0,81,118,2,4,5,2,311,1,530,935,56.68
509396,Radôstka,798,49.3205848,18.9388919,509396,1,4,0,61,53,4,3,7,0,249,0,382,657,58.14
509400,Raková,5630,49.4591229,18.716395,509400,2,30,2,274,781,14,41,30,1,1129,2,2306,4454,51.77
509426,Rudina,1814,49.2888509,18.733909,509426,1,1,0,111,250,5,8,24,1,399,3,803,1429,56.19
509434,Rudinka,397,49.2736361,18.743943,509434,0,1,0,23,72,0,4,2,0,102,0,204,326,62.58
509442,Rudinská,1015,49.3277311,18.7031318,509442,1,3,0,66,75,5,2,8,2,250,1,413,802,51.5
509451,Skalité,5247,49.4949263,18.9169516,509451,1,16,1,326,498,12,37,26,2,1205,2,2126,4093,51.94
509469,Snežnica,1085,49.2631601,18.7938671,509469,0,0,0,76,215,4,3,6,1,257,0,562,867,64.82
509477,Stará Bystrica,2740,49.3563622,18.9422391,509477,0,2,1,171,276,3,20,11,2,723,0,1209,2255,53.61
509485,Staškov,2764,49.4440061,18.6815978,509485,2,4,0,137,261,7,19,19,0,659,0,1108,2271,48.79
509493,Svrčinovec,3370,49.4824087,18.7895864,509493,2,6,0,199,384,5,16,25,1,778,1,1417,2762,51.3
509507,Turzovka,7233,49.398652,18.6121599,509507,2,15,0,339,715,26,32,29,2,1725,2,2887,5806,49.72
509515,Vysoká nad Kysucou,2578,49.3850172,18.5218475,509515,3,4,0,124,244,11,14,16,0,671,0,1087,2099,51.79
509523,Zákopčie,1710,49.3906508,18.7166144,509523,2,4,0,120,164,6,7,25,0,378,1,707,1384,51.08
509531,Zborov nad Bystricou,2187,49.3893734,18.8942664,509531,2,5,0,160,164,7,7,11,0,655,0,1011,1761,57.41
509540,Dolný Kubín,18095,49.2432596,19.2941351,509540,3,97,3,866,4020,39,209,200,13,2477,6,7933,14142,56.1
509558,Babín,1444,49.3230521,19.3844801,509558,0,6,1,42,215,7,3,29,0,215,0,518,1093,47.39
509566,Beňadovo,938,49.4321881,19.3497305,509566,0,13,1,61,133,3,5,26,0,132,0,374,623,60.03
509582,Bobrov,1913,49.4447382,19.5560191,509582,1,15,0,137,275,1,29,14,3,363,0,838,1467,57.12
509591,Breza,1627,49.3998908,19.3665232,509591,1,2,0,78,179,2,15,22,0,281,1,581,1234,47.08
509604,Brezovica (TS),1367,49.3219041,19.6669211,509604,1,15,0,71,244,6,23,28,2,213,1,604,1093,55.26
509639,Dlhá nad Oravou,1433,49.2507749,19.5159209,509639,0,4,0,59,297,2,17,32,1,193,0,605,1102,54.9
509655,Habovka,1374,49.2775172,19.6508034,509655,4,9,0,135,231,1,12,10,1,274,1,678,1107,61.25
509663,Hladovka,1047,49.3732309,19.7543426,509663,0,23,0,60,116,4,5,13,0,176,0,397,783,50.7
509671,Horná Lehota (DK),557,49.2591509,19.4053089,509671,0,5,0,39,121,1,7,8,1,76,0,258,443,58.24
509680,Hruštín,3177,49.3174033,19.3052254,509680,5,22,0,120,700,4,24,43,3,392,3,1316,2475,53.17
509698,Chlebnice,1604,49.2239722,19.484331,509698,1,7,0,65,373,4,13,27,2,135,0,627,1241,50.52
509701,Istebné,1359,49.2243066,19.2088027,509701,1,7,0,66,198,7,16,15,1,291,0,602,1080,55.74
509710,Jasenová,425,49.1641796,19.2982199,509710,0,0,0,17,109,3,8,5,1,66,0,209,356,58.71
509728,Klin,2475,49.4463687,19.4730354,509728,1,15,0,156,358,6,21,23,1,389,1,971,1816,53.47
509744,Kraľovany,430,49.162788,19.1120902,509744,0,1,0,38,58,1,8,5,0,117,2,230,346,66.47
509761,Krivá,808,49.2655459,19.5073296,509761,1,22,0,38,224,3,9,14,2,127,0,440,635,69.29
509779,Krušetnica,973,49.3892384,19.3294329,509779,1,4,1,48,137,3,18,10,2,175,0,399,760,52.5
509787,Leštiny,296,49.1868057,19.3583572,509787,0,2,0,19,59,0,2,3,0,55,0,140,234,59.83
509795,Liesek,2962,49.3609387,19.6903965,509795,3,27,0,215,558,14,47,71,1,291,1,1228,2233,54.99
