,Danko,Dubovský,Forró,Harabin,Korčok,Kotleba,Kubiš,Matovič,Náhlik,Pellegrini,Švec
okres_code,1,2,3,4,5,6,7,8,9,10,11
101,1,1,0.118082093468616,0.49687943925818,1.94509856626011,0.36612045877029,1,0.464001469036596,1,0.569808981868192,1
102,1,1,0.194528641387484,0.656538190100113,1.66742283999283,0.563373020090856,1,0.643095223510876,1,0.719611550049925,1
103,1,1,0.0807290256193945,0.685786654155878,1.71884919059376,0.512254234087092,1,0.56191264915914,1,0.692207515651228,1
104,1,1,0.0645034077413177,0.714157395475749,1.64697147833382,0.582818516252488,1,0.554154489083567,1,0.713636551790011,1
105,1,1,0.119251732421353,0.747344440726472,1.53869597283776,0.643067066858757,1,0.686718020157929,1,0.776197137578346,1
106,1,1,0.0134570980477181,0.911125607647352,1.14170007117463,1.07971459167113,1,0.9413030574881,1,1.01385165765545,1
107,1,1,0.0116219695473432,0.945132817444051,1.31445419894179,0.845573006585189,1,0.784466414147855,1,0.895446963787375,1
108,1,1,0.902897756159103,0.72539420934828,1.43004232972651,0.705740104820292,1,0.867785922193497,1,0.747740582497578,1
201,1,1,10.5722343613026,0.271364112108782,0.654244830058004,0.347055707302024,1,0.856880691571783,1,0.509081687442721,1
202,1,1,4.64243915363821,0.723899592964726,0.789872121346117,0.849524986092421,1,1.15721802075266,1,0.861683942847449,1
203,1,1,0.0161833727581538,1.18411687433319,0.846065642430021,1.19367930897213,1,0.791855831588543,1,1.19995648596793,1
204,1,1,0.0138550632698391,1.03116845003799,1.04862823591304,1.07088172526018,1,0.825953773319166,1,1.07177288624654,1
205,1,1,0.014621164596056,1.03692429335427,0.979073901116672,1.27769676186157,1,1.045930117292,1,1.06594647906452,1
206,1,1,0.00820953433018255,1.06442513332658,1.12549582946905,1.11932961510019,1,1.31725139966467,1,0.897923982112945,1
207,1,1,0.00823059880317284,0.963118642072001,1.08018526123757,1.05934148461071,1,1.26462839630555,1,1.01549422455747,1
301,1,1,0.0054537765740675,1.20274751075116,0.767097198566071,1.14424267806074,1,0.691880226942637,1,1.33263042383486,1
302,1,1,0.0128252401214965,1.37251494807543,0.792623139575205,1.05189379479,1,0.579542232153344,1,1.28997118163776,1
303,1,1,0.00911428977941777,1.05669471264857,1.02901265399435,1.06656315921841,1,0.706754546263318,1,1.1628688170486,1
304,1,1,0.00642465177819274,1.0916940042274,0.943672210455956,1.20152740758392,1,0.82454736447941,1,1.1521081170193,1
305,1,1,0.00181396219246633,1.24596599851227,0.770729777326325,1.17739631543561,1,0.632974950090699,1,1.28847954078507,1
306,1,1,0.00759718194998621,1.3950784900974,0.775164306201388,1.16765465598169,1,0.528578777498302,1,1.31143824700738,1
307,1,1,0.00398141295361195,1.35132086810985,0.819465966454244,1.30772842177665,1,0.665063938810172,1,1.24246329679529,1
308,1,1,0.00345762900355151,1.32389576832298,0.777627191745611,1.1396748633541,1,0.623712592572724,1,1.30296327770837,1
309,1,1,0.0111207511426625,1.12496200005931,1.06318960070187,0.993082740044915,1,0.71618293591842,1,1.05665570001653,1
401,1,1,11.1230488218766,0.339526891390612,0.532133031825721,0.46851153981089,1,0.842702638126738,1,0.575919069657251,1
402,1,1,3.07340548675199,0.786648398224456,0.811858041117546,1.00367807574626,1,1.03887245280134,1,0.983795920849165,1
403,1,1,0.410874354194769,0.944739046588602,0.968113689689246,1.04676041013361,1,0.755747155327002,1,1.16887510020609,1
404,1,1,4.38077478409057,0.734344669232966,0.720388382128125,0.921095082485699,1,0.899592083478496,1,1.00769986702858,1
405,1,1,4.16866381716535,0.636476675263645,0.881626195577677,0.880495059700979,1,1.04643198376097,1,0.888981605933026,1
406,1,1,0.00989014226907611,1.17242966861145,0.668531698931379,1.03771529068557,1,0.60985059869312,1,1.44516476708242,1
407,1,1,0.0656269843502155,1.4823527888033,0.684993169653985,1.203211233227,1,0.701887028964178,1,1.31363886646302,1
501,1,1,0.00248437605131769,1.46787810004032,0.681714920232024,1.28590988540782,1,0.710795374018736,1,1.31976359318078,1
502,1,1,0.00230002792926926,1.31037720948323,0.586427793682553,1.272828557555,1,0.578813903537713,1,1.5315691783417,1
503,1,1,0.00723906272825668,1.19731946035831,1.06306721836656,1.03238550967878,1,1.01225184855973,1,0.874011549989532,1
504,1,1,0.00235150869880524,1.65572073894135,0.668264642945431,1.28547988104037,1,0.636853178792228,1,1.35734132317622,1
505,1,1,0.017721478707094,1.31171804389816,0.984146399006961,1.23669025321442,1,0.761202022575713,1,1.10057921904115,1
506,1,1,0.00754674457533665,1.40840305256799,0.982558045124447,1.14539660925236,1,0.711251256488893,1,1.1001168007994,1
507,1,1,0.00204306459866026,1.26822145373316,0.943793438095807,1.01978754454842,1,0.837109609718427,1,0.821610187572067,1
