result,candidate,hi,lo
0.09468295657222696,votes_1,0.19832628538326114,0.0
0.7015658356011009,votes_2,0.8225472013831109,0.5805844698190908
3.2062683583120197,votes_3,3.398806570465358,3.0137301461586814
11.845169457938136,votes_4,12.284512435606693,11.405826480269578
41.47319810821019,votes_5,42.75898423638837,40.18741198003201
0.5209942825703082,votes_6,0.6368168996537815,0.40517166548683486
1.9329405686351466,votes_7,2.0891010791652063,1.776780058105087
2.302887019613018,votes_8,2.4696165303010646,2.1361575089249714
0.13780396626632851,votes_9,0.24267921920331348,0.03292871332934355
37.69744071894456,votes_10,38.87535723426881,36.519524203620314
0.08704872733696586,votes_11,0.19047395385297786,0.0
