IDN4,obec,IDN2,nationality_majority,SK-2021-rate,HU-2021-rate,RMY-2021-rate,RUE-2021-rate
500011,Nitra,4,SK,90.7%,1.0%,0.1%,0.0%
500020,Alekšince,4,SK,91.3%,0.4%,0.1%,0.0%
500046,Báb,4,SK,95.5%,0.3%,0.0%,0.0%
500062,Beladice,4,SK,91.4%,0.6%,1.3%,0.0%
500071,Branč,4,SK,83.2%,13.8%,0.3%,0.0%
500101,Čakajovce,4,SK,93.6%,0.2%,0.3%,0.0%
500127,Čaradice,4,SK,92.0%,0.4%,0.0%,0.0%
500135,Čeľadice,4,SK,95.7%,1.2%,0.1%,0.0%
500151,Čierne Kľačany,4,SK,98.1%,0.3%,0.1%,0.1%
500160,Čifáre,4,SK,78.5%,17.1%,0.0%,0.0%
500194,Dolné Obdokovce - Alsóbodok,4,SK,49.9%,45.9%,0.0%,0.0%
500232,Golianovo,4,SK,96.4%,1.0%,0.0%,0.1%
500241,Hájske,4,SK,91.0%,0.8%,0.3%,0.1%
500267,Záhorie (vojenský obvod),1,SK,90.5%,0.0%,0.0%,0.0%
500283,Hostie,4,SK,97.4%,0.0%,0.0%,0.0%
500305,Hosťovce (ZM),4,SK,93.9%,0.4%,0.0%,0.0%
500313,Hruboňovo,4,SK,95.4%,0.0%,0.0%,0.0%
500321,Choča,4,SK,94.2%,0.0%,1.6%,0.0%
500348,Zubák,3,SK,98.1%,0.0%,0.0%,0.0%
500356,Jarok,4,SK,96.4%,0.4%,0.0%,0.0%
500364,Jedľové Kostoľany,4,SK,97.3%,0.0%,0.0%,0.0%
500372,Jelenec - Gímes,4,SK,72.0%,21.7%,0.0%,0.0%
500381,Jelšovce,4,SK,94.2%,1.4%,0.1%,0.0%
500399,Kapince,4,SK,98.4%,1.1%,0.0%,0.5%
500402,Klasov - Kalász,4,SK,67.7%,23.1%,0.0%,0.0%
500411,Kolíňany - Kolon,4,SK,56.7%,39.4%,0.0%,0.0%
500429,Kostoľany pod Tribečom,4,SK,96.5%,2.0%,0.0%,0.0%
500437,Ladice - Barslédec,4,SK,69.4%,24.3%,0.0%,0.0%
500453,Lehota,4,SK,94.5%,0.2%,0.0%,0.0%
500461,Lovce,4,SK,97.7%,0.6%,0.0%,0.3%
500470,Lúčnica nad Žitavou,4,SK,92.5%,0.6%,0.4%,0.0%
500488,Lukáčovce,4,SK,97.3%,0.1%,0.3%,0.0%
500500,Machulince,4,SK,96.8%,0.1%,0.0%,0.0%
500518,Veľké Chyndice,4,SK,86.4%,10.4%,0.0%,0.0%
500534,Malé Zálužie,4,SK,94.7%,0.0%,0.0%,0.0%
500542,Mankovce,4,SK,97.3%,0.2%,0.0%,0.0%
500551,Martin nad Žitavou,4,SK,97.4%,0.2%,0.2%,0.0%
500569,Melek,4,SK,93.0%,0.0%,0.2%,0.0%
500577,Mojmírovce,4,SK,92.0%,0.5%,0.0%,0.0%
500585,Nemčiňany,4,SK,92.7%,0.2%,0.3%,0.0%
500593,Neverice,4,SK,96.8%,0.6%,0.0%,0.0%
500607,Nevidzany (ZM),4,SK,96.6%,1.0%,0.0%,0.0%
500631,Nová Ves nad Žitavou,4,SK,89.9%,0.2%,0.0%,0.0%
500640,Nové Sady,4,SK,94.8%,0.2%,0.0%,0.0%
500658,Obyce,4,SK,96.7%,0.0%,0.0%,0.0%
500666,Paňa,4,SK,92.1%,3.8%,0.0%,0.3%
500674,Podhorany (NR),4,SK,95.8%,2.8%,0.0%,0.0%
500682,Pohranice - Pográny,4,SK,59.3%,36.8%,0.0%,0.1%
500691,Poľný Kesov,4,SK,93.4%,0.3%,0.0%,0.0%
500704,Rišňovce,4,SK,95.2%,0.3%,0.0%,0.0%
500712,Rumanová,4,SK,97.6%,0.4%,0.0%,0.0%
500721,Skýcov,4,SK,96.8%,0.4%,0.0%,0.0%
500739,Močenok,4,SK,92.1%,1.2%,0.2%,0.0%
500747,Sľažany,4,SK,95.6%,0.5%,0.0%,0.1%
500755,Slepčany,4,SK,94.0%,0.5%,0.0%,0.0%
500780,Šurianky,4,SK,96.8%,0.3%,0.0%,0.0%
500798,Tajná,4,SK,94.5%,0.4%,0.0%,0.0%
500810,Tesárske Mlyňany,4,SK,91.7%,0.3%,0.1%,0.1%
500828,Topoľčianky,4,SK,96.7%,0.1%,0.0%,0.0%
500836,Velčice,4,SK,97.9%,0.6%,0.0%,0.0%
500844,Veľká Dolina,4,SK,94.3%,0.1%,0.0%,0.0%
500887,Veľké Zálužie,4,SK,93.0%,0.3%,0.0%,0.0%
500895,Veľký Cetín - Nagycétény,4,HU,39.2%,56.5%,0.0%,0.1%
500909,Vieska nad Žitavou,4,SK,98.1%,0.9%,0.0%,0.0%
500917,Vinodol,4,SK,94.9%,2.1%,0.4%,0.0%
500925,Volkovce,4,SK,97.5%,1.0%,0.1%,0.0%
500933,Vráble,4,SK,89.7%,2.4%,0.1%,0.0%
500941,Výčapy-Opatovce,4,SK,95.2%,1.3%,0.0%,0.0%
500950,Zbehy,4,SK,91.4%,0.4%,0.1%,0.0%
500968,Zlaté Moravce,4,SK,89.0%,0.3%,1.3%,0.0%
500976,Zlatno (ZM),4,SK,98.1%,0.5%,0.0%,0.0%
500984,Žikava,4,SK,95.1%,0.2%,0.0%,0.0%
500992,Žirany - Zsére,4,SK,57.4%,37.2%,0.1%,0.0%
501018,Žitavce,4,SK,93.4%,0.5%,0.0%,0.0%
501026,Komárno - Komárom,4,HU,31.3%,53.7%,0.5%,0.0%
501034,Bajč - Bajcs,4,SK,48.1%,40.5%,0.8%,0.0%
501042,Bodza - Bogya,4,HU,14.4%,80.1%,0.3%,0.0%
501069,Brestovec (KN) - Szilas,4,HU,6.8%,91.1%,0.0%,0.0%
501077,Búč - Búcs,4,HU,10.4%,86.8%,0.1%,0.0%
501085,Čalovec - Megyercs,4,HU,26.2%,67.2%,0.1%,0.0%
501093,Číčov - Csicsó,4,HU,10.7%,78.8%,0.0%,0.0%
501107,Dedina Mládeže - Ifjúságfalva,4,HU,38.6%,55.5%,0.5%,0.0%
501115,Svätý Peter - Komáromszentpéter,4,HU,29.5%,64.9%,0.2%,0.0%
501123,Dulovce,4,SK,92.2%,3.8%,0.4%,0.0%
501140,Hurbanovo - Ógyalla,4,SK,50.6%,40.7%,2.4%,0.0%
501158,Chotín - Hetény,4,HU,12.7%,82.3%,0.0%,0.0%
501166,Imeľ - Ímely,4,SK,58.5%,39.5%,0.0%,0.0%
501174,Iža - Izsa,4,HU,26.8%,63.5%,0.2%,0.1%
501182,Kameničná - Keszegfalva,4,HU,22.8%,69.1%,1.0%,0.0%
501191,Klížska Nemá - Kolozsnéma,4,HU,11.8%,84.2%,0.0%,0.0%
501204,Kolárovo - Gúta,4,HU,20.4%,74.1%,0.3%,0.0%
501212,Kravany nad Dunajom - Karva,4,HU,18.2%,77.4%,0.0%,0.0%
501221,Lipové,4,SK,79.6%,12.0%,0.0%,0.0%
501239,Marcelová - Marcelháza,4,HU,13.8%,73.8%,0.8%,0.0%
501247,Martovce - Martos,4,HU,13.0%,82.3%,1.0%,0.0%
501255,Moča - Dunamocs,4,HU,7.2%,87.8%,0.0%,0.0%
501263,Modrany - Madar,4,HU,11.8%,81.7%,0.2%,0.0%
501271,Mudroňovo,4,SK,85.5%,8.9%,0.0%,0.0%
501280,Nesvady - Naszvad,4,HU,41.1%,49.1%,8.3%,0.0%
501301,Okoličná na Ostrove - Ekel,4,HU,17.2%,79.8%,0.1%,0.0%
501310,Patince - Pat,4,HU,16.1%,78.6%,0.2%,0.0%
501328,Pribeta - Perbete,4,HU,26.8%,67.6%,0.6%,0.0%
501336,Radvaň nad Dunajom - Dunaradvány,4,HU,13.1%,84.8%,0.0%,0.0%
501344,Sokolce - Lakszakállas,4,HU,7.0%,85.4%,0.4%,0.0%
501352,Šrobárová,4,SK,91.5%,3.8%,0.0%,0.2%
501361,Tôň - Tany,4,HU,14.7%,82.1%,0.0%,0.0%
501379,Trávnik - Komáromfüss,4,HU,14.1%,81.1%,0.0%,0.0%
501387,Veľké Kosihy - Nagykeszi,4,HU,17.8%,75.3%,0.2%,0.0%
501395,Bátorove Kosihy - Bátorkeszi,4,HU,19.7%,76.0%,0.2%,0.0%
501409,Vrbová nad Váhom - Vágfüzes,4,HU,14.2%,78.3%,2.8%,0.2%
501417,Zemianska Olča - Nemesócsa,4,HU,11.2%,80.5%,0.0%,0.0%
501425,Zlatná na Ostrove - Csallóközaranyos,4,HU,13.3%,73.6%,0.3%,0.0%
501433,Dunajská Streda - Dunaszerdahely,2,HU,19.0%,71.9%,0.4%,0.0%
501441,Báč - Bacsfa,2,HU,24.9%,72.5%,0.0%,0.0%
501450,Baka - Baka,2,HU,13.0%,83.0%,0.0%,0.0%
501468,Baloň - Balony,2,HU,9.3%,87.8%,0.1%,0.0%
501484,Blahová - Sárrét,2,SK,60.8%,31.7%,0.0%,0.6%
501492,Blatná na Ostrove - Sárosfa,2,HU,27.1%,70.1%,0.0%,0.0%
501506,Boheľov - Bögellő,2,HU,14.0%,84.3%,0.0%,0.0%
501514,Čakany - Pozsonycsákány,2,HU,35.3%,60.2%,0.2%,0.0%
501522,Veľký Meder - Nagymegyer,2,HU,14.6%,78.4%,0.2%,0.0%
501531,Čiližská Radvaň - Csilizradvány,2,HU,9.5%,87.7%,0.0%,0.0%
501549,Dobrohošť - Doborgaz,2,HU,45.6%,49.9%,0.2%,0.0%
501557,Dolný Bar - Albár,2,HU,25.6%,71.7%,0.0%,0.0%
501573,Gabčíkovo - Bős,2,HU,13.9%,80.6%,0.0%,0.0%
501581,Holice - Egyházgelle,2,HU,16.4%,81.6%,0.0%,0.0%
501590,Horná Potôň - Felsőpatony,2,HU,28.5%,65.8%,0.0%,0.0%
501603,Horný Bar - Felbár,2,HU,23.7%,74.2%,0.4%,0.0%
501611,Dolný Štál - Alistál,2,HU,10.4%,86.6%,0.0%,0.0%
501620,Hubice - Nemesgomba,2,HU,42.0%,56.1%,0.3%,0.0%
