OKRES|PC_HL|P_HL_K|DAT_AKT
101|1|4|23.03.2024 23:50:00
101|2|144|
101|3|74|
101|4|963|
101|5|12588|
101|6|35|
101|7|497|
101|8|224|
101|9|6|
101|10|2957|
101|11|3|
102|1|7|
102|2|253|
102|3|239|
102|4|3499|
102|5|29783|
102|6|130|
102|7|1202|
102|8|571|
102|9|36|
102|10|9582|
102|11|13|
103|1|15|
103|2|169|
103|3|75|
103|4|1924|
103|5|17742|
103|6|74|
103|7|662|
103|8|314|
103|9|24|
103|10|5315|
103|11|8|
104|1|23|
104|2|357|
104|3|74|
104|4|3421|
104|5|27716|
104|6|114|
104|7|1167|
104|8|519|
104|9|50|
104|10|9469|
104|11|20|
105|1|11|
105|2|165|
105|3|105|
105|4|2287|
105|5|17030|
105|6|91|
105|7|665|
105|8|366|
105|9|29|
105|10|6207|
105|11|14|
106|1|31|
106|2|202|
106|3|37|
106|4|3643|
106|5|16515|
106|6|174|
106|7|674|
106|8|611|
106|9|44|
106|10|10781|
106|11|33|
107|1|20|
107|2|213|
107|3|27|
107|4|2406|
107|5|12552|
107|6|111|
107|7|504|
107|8|409|
107|9|38|
107|10|6787|
107|11|32|
108|1|17|
108|2|331|
108|3|1041|
108|4|3248|
108|5|23347|
108|6|123|
108|7|786|
108|8|686|
108|9|36|
108|10|9165|
108|11|28|
201|1|35|
201|2|277|
201|3|12754|
201|4|2381|
201|5|11976|
201|6|105|
201|7|346|
201|8|915|
201|9|25|
201|10|8124|
201|11|12|
202|1|29|
202|2|174|
202|3|6250|
202|4|3957|
202|5|13504|
202|6|146|
202|7|464|
202|8|932|
202|9|39|
202|10|11431|
202|11|30|
203|1|14|
203|2|91|
203|3|2|
203|4|1836|
203|5|5166|
203|6|79|
203|7|210|
203|8|294|
203|9|38|
203|10|5960|
203|11|15|
204|1|21|
204|2|218|
204|3|24|
204|4|3380|
204|5|12475|
204|6|150|
204|7|562|
204|8|599|
204|9|45|
204|10|10188|
204|11|24|
205|1|18|
205|2|198|
205|3|21|
205|4|3118|
205|5|12175|
205|6|172|
205|7|388|
205|8|660|
205|9|49|
205|10|9698|
205|11|13|
206|1|30|
206|2|128|
206|3|20|
206|4|2093|
206|5|10117|
206|6|132|
206|7|317|
206|8|530|
206|9|32|
206|10|6095|
206|11|20|
207|1|28|
207|2|289|
207|3|33|
207|4|4656|
207|5|18176|
207|6|203|
207|7|784|
207|8|1231|
207|9|54|
207|10|13937|
207|11|27|
301|1|18|
301|2|82|
301|3|10|
301|4|2445|
301|5|5394|
301|6|108|
301|7|361|
301|8|310|
301|9|21|
301|10|7536|
301|11|18|
302|1|29|
302|2|186|
302|3|17|
302|4|4251|
302|5|9298|
302|6|171|
302|7|620|
302|8|444|
302|9|32|
302|10|12220|
302|11|33|
303|1|16|
303|2|33|
303|3|7|
303|4|1423|
303|5|4852|
303|6|69|
303|7|354|
303|8|179|
303|9|25|
303|10|4423|
303|11|13|
304|1|35|
304|2|194|
304|3|16|
304|4|3572|
304|5|11417|
304|6|198|
304|7|640|
304|8|523|
304|9|41|
